response_id,campaign_id,customer_id,response_date,channel,outcome,converted,conversion_value_thb
CRS00000061,CMP0022,CUS0004058,2024-04-01,Outbound Call,No Response,False,0.0
CRS00000062,CMP0025,CUS0004716,2025-10-11,Mobile App,Opted Out,False,0.0
CRS00000063,CMP0022,CUS0008976,2024-05-14,Outbound Call,No Response,False,0.0
CRS00000064,CMP0024,CUS0006710,2024-09-30,Outbound Call,No Response,False,0.0
CRS00000065,CMP0028,CUS0009509,2025-05-19,Email,Converted,True,129943.57
CRS00000066,CMP0029,CUS0002165,2025-06-27,Mobile App,No Response,False,0.0
CRS00000067,CMP0004,CUS0008103,2025-12-31,SMS,Not Interested,False,0.0
CRS00000068,CMP0010,CUS0006401,2024-11-20,LINE OA,Not Interested,False,0.0
CRS00000069,CMP0014,CUS0000036,2024-11-19,Outbound Call,Interested,False,0.0
CRS00000070,CMP0009,CUS0005574,2025-12-23,SMS,Opted Out,False,0.0
CRS00000071,CMP0005,CUS0009293,2025-09-13,SMS,Interested,False,0.0
CRS00000072,CMP0026,CUS0000804,2025-03-26,Email,No Response,False,0.0
CRS00000073,CMP0017,CUS0005667,2026-03-19,Mobile App,No Response,False,0.0
CRS00000074,CMP0019,CUS0000105,2025-06-20,Email,Not Interested,False,0.0
CRS00000075,CMP0019,CUS0008074,2025-10-18,SMS,Not Interested,False,0.0
CRS00000076,CMP0004,CUS0006735,2026-03-26,Branch,Opted Out,False,0.0
CRS00000077,CMP0006,CUS0002270,2024-01-26,Mobile App,Converted,True,40942.9
CRS00000078,CMP0004,CUS0005250,2025-05-08,SMS,Opted Out,False,0.0
CRS00000079,CMP0008,CUS0005952,2025-12-28,LINE OA,No Response,False,0.0
CRS00000080,CMP0028,CUS0002097,2025-09-07,Outbound Call,Not Interested,False,0.0
CRS00000081,CMP0016,CUS0006289,2025-09-15,LINE OA,Converted,True,92545.73
CRS00000082,CMP0022,CUS0007714,2024-12-17,SMS,No Response,False,0.0
CRS00000083,CMP0023,CUS0003121,2025-06-03,Outbound Call,No Response,False,0.0
CRS00000084,CMP0019,CUS0003886,2025-05-20,Outbound Call,Interested,False,0.0
CRS00000085,CMP0027,CUS0002167,2026-04-27,Mobile App,No Response,False,0.0
CRS00000086,CMP0001,CUS0000476,2024-02-26,Outbound Call,Not Interested,False,0.0
CRS00000087,CMP0011,CUS0002639,2024-08-10,Branch,No Response,False,0.0
CRS00000088,CMP0004,CUS0008371,2024-08-15,Outbound Call,Converted,True,149848.97
CRS00000089,CMP0017,CUS0001141,2025-09-12,Mobile App,Interested,False,0.0
CRS00000090,CMP0008,CUS0008317,2026-01-04,SMS,No Response,False,0.0
CRS00000091,CMP0021,CUS0006545,2025-01-06,SMS,No Response,False,0.0
CRS00000092,CMP0019,CUS0008468,2024-05-26,LINE OA,Opted Out,False,0.0
CRS00000093,CMP0005,CUS0008940,2024-01-30,Email,Interested,False,0.0
CRS00000094,CMP0010,CUS0002637,2024-09-24,SMS,No Response,False,0.0
CRS00000095,CMP0002,CUS0009028,2025-03-05,LINE OA,Converted,True,127032.81
CRS00000096,CMP0029,CUS0004892,2025-04-27,Email,Converted,True,7834.23
CRS00000097,CMP0029,CUS0003927,2026-02-04,Mobile App,Interested,False,0.0
CRS00000098,CMP0022,CUS0005960,2025-10-11,SMS,No Response,False,0.0
CRS00000099,CMP0019,CUS0008592,2024-11-01,LINE OA,Converted,True,104431.9
CRS00000100,CMP0010,CUS0004937,2024-03-05,Outbound Call,No Response,False,0.0
CRS00000101,CMP0003,CUS0002190,2025-06-22,SMS,Interested,False,0.0
CRS00000102,CMP0004,CUS0006841,2024-06-27,Mobile App,Interested,False,0.0
CRS00000103,CMP0005,CUS0003831,2024-09-25,LINE OA,No Response,False,0.0
CRS00000104,CMP0027,CUS0007439,2024-10-26,Email,Interested,False,0.0
CRS00000105,CMP0017,CUS0001400,2026-04-26,Mobile App,No Response,False,0.0
CRS00000106,CMP0005,CUS0001338,2026-04-06,Outbound Call,Interested,False,0.0
CRS00000107,CMP0007,CUS0000791,2024-02-10,Mobile App,Interested,False,0.0
CRS00000108,CMP0001,CUS0005665,2025-01-13,SMS,Converted,True,51424.07
CRS00000109,CMP0004,CUS0002286,2025-10-24,Mobile App,Interested,False,0.0
CRS00000110,CMP0027,CUS0005149,2024-11-20,SMS,No Response,False,0.0
CRS00000111,CMP0029,CUS0008307,2025-09-05,SMS,Interested,False,0.0
CRS00000112,CMP0018,CUS0003513,2024-08-31,Mobile App,No Response,False,0.0
CRS00000113,CMP0025,CUS0002760,2024-06-09,Outbound Call,No Response,False,0.0
CRS00000114,CMP0008,CUS0001687,2024-03-04,LINE OA,Not Interested,False,0.0
CRS00000115,CMP0028,CUS0003059,2026-03-29,LINE OA,Interested,False,0.0
CRS00000116,CMP0022,CUS0004097,2024-01-29,Outbound Call,Interested,False,0.0
CRS00000117,CMP0024,CUS0000430,2024-09-23,LINE OA,Converted,True,93699.95
CRS00000118,CMP0008,CUS0008107,2026-02-15,Branch,Interested,False,0.0
CRS00000119,CMP0007,CUS0005120,2026-01-02,LINE OA,Opted Out,False,0.0
CRS00000120,CMP0029,CUS0003657,2024-12-08,Email,No Response,False,0.0
CRS00000121,CMP0002,CUS0002560,2024-10-21,Outbound Call,Opted Out,False,0.0
CRS00000122,CMP0005,CUS0008808,2025-06-15,SMS,No Response,False,0.0
CRS00000123,CMP0027,CUS0006182,2025-05-25,Outbound Call,Not Interested,False,0.0
CRS00000124,CMP0019,CUS0006405,2024-10-06,Mobile App,Interested,False,0.0
CRS00000125,CMP0028,CUS0000241,2025-07-03,Branch,Interested,False,0.0
CRS00000126,CMP0011,CUS0000847,2024-04-08,Email,Converted,True,138976.04
CRS00000127,CMP0016,CUS0007465,2025-04-23,LINE OA,Interested,False,0.0
CRS00000128,CMP0020,CUS0006603,2024-08-03,Outbound Call,Interested,False,0.0
CRS00000129,CMP0008,CUS0005992,2024-12-09,SMS,No Response,False,0.0
CRS00000130,CMP0030,CUS0003840,2025-10-23,Branch,Interested,False,0.0
CRS00000131,CMP0011,CUS0003765,2025-04-07,Mobile App,Interested,False,0.0
CRS00000132,CMP0007,CUS0004033,2025-06-18,Email,Interested,False,0.0
CRS00000133,CMP0029,CUS0009067,2024-03-20,Outbound Call,No Response,False,0.0
CRS00000134,CMP0007,CUS0002138,2024-01-01,Email,Opted Out,False,0.0
CRS00000135,CMP0016,CUS0008847,2025-06-30,Branch,Converted,True,175833.57
CRS00000136,CMP0001,CUS0003001,2025-04-11,Outbound Call,Not Interested,False,0.0
CRS00000137,CMP0029,CUS0005203,2024-12-15,Outbound Call,Not Interested,False,0.0
CRS00000138,CMP0017,CUS0002843,2024-10-19,Email,Not Interested,False,0.0
CRS00000139,CMP0016,CUS0006658,2024-09-04,Outbound Call,Interested,False,0.0
CRS00000140,CMP0026,CUS0005641,2024-11-15,Email,No Response,False,0.0
CRS00000141,CMP0007,CUS0007127,2025-07-22,LINE OA,Not Interested,False,0.0
CRS00000142,CMP0008,CUS0005111,2024-06-13,Email,No Response,False,0.0
CRS00000143,CMP0018,CUS0003342,2024-09-21,Email,Interested,False,0.0
CRS00000144,CMP0020,CUS0005276,2026-01-10,Email,Interested,False,0.0
CRS00000145,CMP0011,CUS0003760,2024-06-15,Outbound Call,Opted Out,False,0.0
CRS00000146,CMP0028,CUS0008374,2025-05-13,SMS,No Response,False,0.0
CRS00000147,CMP0010,CUS0003619,2025-01-26,Mobile App,No Response,False,0.0
CRS00000148,CMP0006,CUS0001984,2025-11-19,SMS,Not Interested,False,0.0
CRS00000149,CMP0025,CUS0002913,2026-02-03,Outbound Call,No Response,False,0.0
CRS00000150,CMP0003,CUS0000353,2026-03-07,SMS,Not Interested,False,0.0
CRS00000151,CMP0004,CUS0007683,2025-12-27,Branch,Interested,False,0.0
CRS00000152,CMP0019,CUS0004179,2024-01-20,Outbound Call,Interested,False,0.0
CRS00000153,CMP0019,CUS0008896,2025-12-09,Mobile App,No Response,False,0.0
CRS00000154,CMP0010,CUS0003272,2025-11-07,Email,No Response,False,0.0
CRS00000155,CMP0017,CUS0006828,2025-06-17,SMS,No Response,False,0.0
CRS00000156,CMP0025,CUS0008665,2025-10-17,Branch,Opted Out,False,0.0
CRS00000157,CMP0028,CUS0007377,2024-01-17,LINE OA,Not Interested,False,0.0
CRS00000158,CMP0029,CUS0002083,2025-12-01,LINE OA,Not Interested,False,0.0
CRS00000159,CMP0005,CUS0003578,2024-11-08,Mobile App,Interested,False,0.0
CRS00000160,CMP0011,CUS0005408,2025-12-17,LINE OA,Converted,True,14155.54
CRS00000161,CMP0019,CUS0006799,2024-05-16,Outbound Call,Interested,False,0.0
CRS00000162,CMP0016,CUS0009810,2025-01-06,Outbound Call,Interested,False,0.0
CRS00000163,CMP0011,CUS0003640,2025-12-04,Mobile App,Converted,True,109446.64
CRS00000164,CMP0017,CUS0000456,2024-12-15,SMS,Not Interested,False,0.0
CRS00000165,CMP0023,CUS0004362,2025-11-02,Email,Interested,False,0.0
CRS00000166,CMP0029,CUS0002873,2025-04-26,Mobile App,No Response,False,0.0
CRS00000167,CMP0013,CUS0001697,2025-01-15,SMS,Interested,False,0.0
CRS00000168,CMP0013,CUS0002130,2024-06-30,Outbound Call,No Response,False,0.0
CRS00000169,CMP0027,CUS0002306,2025-07-31,Mobile App,Converted,True,110993.22
CRS00000170,CMP0016,CUS0002016,2024-01-12,Mobile App,No Response,False,0.0
CRS00000171,CMP0029,CUS0009876,2025-12-16,Outbound Call,No Response,False,0.0
CRS00000172,CMP0023,CUS0008631,2025-03-30,LINE OA,Converted,True,158801.76
CRS00000173,CMP0019,CUS0000007,2024-01-12,Branch,No Response,False,0.0
CRS00000174,CMP0023,CUS0009372,2025-08-13,Email,Interested,False,0.0
CRS00000175,CMP0027,CUS0008290,2026-03-21,SMS,Converted,True,55443.45
CRS00000176,CMP0024,CUS0009227,2024-11-26,Outbound Call,Not Interested,False,0.0
CRS00000177,CMP0010,CUS0007937,2024-09-26,Email,No Response,False,0.0
CRS00000178,CMP0016,CUS0009552,2024-01-26,Outbound Call,No Response,False,0.0
CRS00000179,CMP0026,CUS0000666,2024-07-22,Email,No Response,False,0.0
CRS00000180,CMP0017,CUS0000614,2026-03-22,Email,Interested,False,0.0
CRS00000181,CMP0017,CUS0000210,2024-09-05,SMS,No Response,False,0.0
CRS00000182,CMP0008,CUS0007477,2026-03-29,Mobile App,Not Interested,False,0.0
CRS00000183,CMP0007,CUS0002024,2025-09-25,LINE OA,No Response,False,0.0
CRS00000184,CMP0019,CUS0003047,2024-04-06,Branch,Converted,True,84235.9
CRS00000185,CMP0023,CUS0005128,2025-01-11,SMS,Opted Out,False,0.0
CRS00000186,CMP0002,CUS0009390,2024-08-16,LINE OA,No Response,False,0.0
CRS00000187,CMP0018,CUS0006752,2024-03-15,LINE OA,Not Interested,False,0.0
CRS00000188,CMP0001,CUS0003068,2024-10-15,Email,No Response,False,0.0
CRS00000189,CMP0030,CUS0005022,2024-12-17,LINE OA,Converted,True,194499.85
CRS00000190,CMP0028,CUS0007216,2025-02-11,SMS,Interested,False,0.0
CRS00000191,CMP0013,CUS0007584,2026-01-22,LINE OA,Not Interested,False,0.0
CRS00000192,CMP0026,CUS0003115,2025-11-29,Outbound Call,Converted,True,156685.74
CRS00000193,CMP0020,CUS0007331,2025-06-24,SMS,Not Interested,False,0.0
CRS00000194,CMP0003,CUS0002815,2024-07-30,Branch,Not Interested,False,0.0
CRS00000195,CMP0027,CUS0003946,2024-08-27,SMS,No Response,False,0.0
CRS00000196,CMP0021,CUS0002010,2025-05-09,SMS,Not Interested,False,0.0
CRS00000197,CMP0012,CUS0002367,2024-09-13,Branch,No Response,False,0.0
CRS00000198,CMP0007,CUS0000943,2026-01-30,LINE OA,No Response,False,0.0
CRS00000199,CMP0022,CUS0009067,2026-01-10,Outbound Call,Not Interested,False,0.0
CRS00000200,CMP0011,CUS0009323,2025-01-04,LINE OA,Converted,True,165407.44
CRS00000201,CMP0014,CUS0005650,2024-04-02,Mobile App,No Response,False,0.0
CRS00000202,CMP0012,CUS0008830,2025-11-22,Email,No Response,False,0.0
CRS00000203,CMP0006,CUS0005180,2024-11-12,Branch,Not Interested,False,0.0
CRS00000204,CMP0018,CUS0009121,2025-12-31,Branch,Not Interested,False,0.0
CRS00000205,CMP0016,CUS0006319,2024-07-13,Outbound Call,Not Interested,False,0.0
CRS00000206,CMP0015,CUS0007140,2024-02-08,Mobile App,Interested,False,0.0
CRS00000207,CMP0012,CUS0001055,2024-11-10,Email,Interested,False,0.0
CRS00000208,CMP0022,CUS0004372,2025-11-07,Branch,Interested,False,0.0
CRS00000209,CMP0028,CUS0005097,2024-08-29,LINE OA,No Response,False,0.0
CRS00000210,CMP0015,CUS0002906,2024-06-14,Branch,Interested,False,0.0
CRS00000211,CMP0008,CUS0003743,2025-03-23,LINE OA,Not Interested,False,0.0
CRS00000212,CMP0016,CUS0008798,2025-11-03,Mobile App,No Response,False,0.0
CRS00000213,CMP0009,CUS0008234,2025-09-28,LINE OA,Not Interested,False,0.0
CRS00000214,CMP0008,CUS0007393,2024-08-22,Outbound Call,No Response,False,0.0
CRS00000215,CMP0006,CUS0001677,2026-03-08,Mobile App,Not Interested,False,0.0
CRS00000216,CMP0025,CUS0003256,2025-07-28,Email,Interested,False,0.0
CRS00000217,CMP0028,CUS0003148,2025-01-31,Mobile App,No Response,False,0.0
CRS00000218,CMP0022,CUS0009936,2024-01-09,Email,Interested,False,0.0
CRS00000219,CMP0024,CUS0003367,2024-09-10,Outbound Call,Not Interested,False,0.0
CRS00000220,CMP0024,CUS0005857,2026-01-11,LINE OA,No Response,False,0.0
CRS00000221,CMP0004,CUS0004460,2025-02-05,SMS,Not Interested,False,0.0
CRS00000222,CMP0024,CUS0005547,2025-07-25,Mobile App,No Response,False,0.0
CRS00000223,CMP0013,CUS0003316,2024-11-29,Mobile App,Not Interested,False,0.0
CRS00000224,CMP0003,CUS0005051,2024-12-28,Email,Opted Out,False,0.0
CRS00000225,CMP0027,CUS0004286,2025-08-23,SMS,Converted,True,161386.37
CRS00000226,CMP0021,CUS0002770,2025-05-07,Email,Not Interested,False,0.0
CRS00000227,CMP0006,CUS0000297,2026-01-03,Email,Not Interested,False,0.0
CRS00000228,CMP0023,CUS0006599,2024-05-01,Email,Interested,False,0.0
CRS00000229,CMP0025,CUS0001225,2026-03-31,Email,No Response,False,0.0
CRS00000230,CMP0017,CUS0007545,2024-03-09,Email,Interested,False,0.0
CRS00000231,CMP0030,CUS0003390,2024-06-05,SMS,No Response,False,0.0
CRS00000232,CMP0007,CUS0009689,2024-03-20,Email,Not Interested,False,0.0
CRS00000233,CMP0029,CUS0006084,2026-01-23,Branch,No Response,False,0.0
CRS00000234,CMP0011,CUS0001999,2024-04-23,Outbound Call,Not Interested,False,0.0
CRS00000235,CMP0012,CUS0000573,2026-04-18,LINE OA,Interested,False,0.0
CRS00000236,CMP0019,CUS0009795,2024-12-13,Mobile App,No Response,False,0.0
CRS00000237,CMP0027,CUS0002251,2025-10-19,Branch,No Response,False,0.0
CRS00000238,CMP0014,CUS0004136,2025-09-26,Branch,No Response,False,0.0
CRS00000239,CMP0010,CUS0002775,2024-05-15,LINE OA,Not Interested,False,0.0
CRS00000240,CMP0007,CUS0008222,2024-07-21,Branch,Converted,True,137889.82
CRS00000241,CMP0015,CUS0004694,2025-11-22,Mobile App,No Response,False,0.0
CRS00000242,CMP0007,CUS0005354,2024-03-22,SMS,No Response,False,0.0
CRS00000243,CMP0016,CUS0003597,2025-01-18,Outbound Call,Converted,True,126606.65
CRS00000244,CMP0015,CUS0008497,2025-08-23,Outbound Call,No Response,False,0.0
CRS00000245,CMP0021,CUS0001865,2025-04-15,LINE OA,No Response,False,0.0
CRS00000246,CMP0026,CUS0009320,2024-01-19,LINE OA,No Response,False,0.0
CRS00000247,CMP0027,CUS0008555,2025-09-14,SMS,No Response,False,0.0
CRS00000248,CMP0007,CUS0001756,2024-12-12,Email,Not Interested,False,0.0
CRS00000249,CMP0030,CUS0004976,2024-04-30,Email,No Response,False,0.0
CRS00000250,CMP0027,CUS0002562,2025-10-19,Outbound Call,Converted,True,75888.28
CRS00000251,CMP0020,CUS0001748,2025-10-09,Mobile App,Interested,False,0.0
CRS00000252,CMP0001,CUS0005818,2025-02-27,SMS,Opted Out,False,0.0
CRS00000253,CMP0003,CUS0006773,2024-06-06,Outbound Call,Interested,False,0.0
CRS00000254,CMP0021,CUS0001951,2025-01-05,LINE OA,Interested,False,0.0
CRS00000255,CMP0015,CUS0009636,2024-04-07,Outbound Call,Not Interested,False,0.0
CRS00000256,CMP0030,CUS0005991,2024-12-06,Email,Opted Out,False,0.0
CRS00000257,CMP0021,CUS0004415,2025-06-13,Email,Interested,False,0.0
CRS00000258,CMP0026,CUS0004481,2026-04-11,LINE OA,Not Interested,False,0.0
CRS00000259,CMP0005,CUS0008605,2026-01-22,Branch,Not Interested,False,0.0
CRS00000260,CMP0013,CUS0002540,2025-05-05,Outbound Call,No Response,False,0.0
CRS00000261,CMP0025,CUS0003565,2025-12-30,Email,Converted,True,155689.75
CRS00000262,CMP0017,CUS0002403,2025-07-17,Branch,Opted Out,False,0.0
CRS00000263,CMP0019,CUS0007271,2024-03-24,Branch,No Response,False,0.0
CRS00000264,CMP0024,CUS0006521,2024-06-17,Mobile App,No Response,False,0.0
CRS00000265,CMP0020,CUS0006876,2024-09-15,Outbound Call,Interested,False,0.0
CRS00000266,CMP0015,CUS0000583,2025-10-10,Outbound Call,Not Interested,False,0.0
CRS00000267,CMP0020,CUS0007166,2024-03-28,Email,Converted,True,88995.35
CRS00000268,CMP0002,CUS0009259,2025-12-30,Branch,No Response,False,0.0
CRS00000269,CMP0011,CUS0002263,2025-01-15,LINE OA,No Response,False,0.0
CRS00000270,CMP0003,CUS0000710,2024-09-08,SMS,Not Interested,False,0.0
CRS00000271,CMP0007,CUS0002389,2026-03-17,Email,Opted Out,False,0.0
CRS00000272,CMP0008,CUS0007083,2024-12-18,LINE OA,Not Interested,False,0.0
CRS00000273,CMP0021,CUS0004699,2025-07-17,Outbound Call,Interested,False,0.0
CRS00000274,CMP0028,CUS0006821,2025-12-20,Mobile App,No Response,False,0.0
CRS00000275,CMP0018,CUS0002996,2026-01-06,Branch,No Response,False,0.0
CRS00000276,CMP0014,CUS0001278,2025-05-28,Mobile App,Not Interested,False,0.0
CRS00000277,CMP0026,CUS0008468,2025-05-29,Outbound Call,Not Interested,False,0.0
CRS00000278,CMP0029,CUS0008847,2026-02-27,LINE OA,Converted,True,2580.17
CRS00000279,CMP0030,CUS0006247,2024-04-16,SMS,Not Interested,False,0.0
CRS00000280,CMP0018,CUS0006156,2025-05-01,SMS,Interested,False,0.0
CRS00000281,CMP0028,CUS0004787,2025-05-04,Branch,Converted,True,57806.69
CRS00000282,CMP0003,CUS0002858,2024-12-28,LINE OA,Interested,False,0.0
CRS00000283,CMP0021,CUS0009123,2024-09-29,Mobile App,Interested,False,0.0
CRS00000284,CMP0004,CUS0001763,2024-09-28,Branch,No Response,False,0.0
CRS00000285,CMP0003,CUS0007419,2025-01-31,Outbound Call,Interested,False,0.0
CRS00000286,CMP0028,CUS0002385,2025-11-08,Email,Opted Out,False,0.0
CRS00000287,CMP0025,CUS0006194,2025-08-15,SMS,No Response,False,0.0
CRS00000288,CMP0019,CUS0003835,2026-04-24,Branch,No Response,False,0.0
CRS00000289,CMP0002,CUS0001561,2026-04-24,Email,No Response,False,0.0
CRS00000290,CMP0024,CUS0009161,2024-06-21,Mobile App,Not Interested,False,0.0
CRS00000291,CMP0016,CUS0009296,2025-12-18,SMS,No Response,False,0.0
CRS00000292,CMP0004,CUS0004773,2024-03-11,LINE OA,Converted,True,195313.24
CRS00000293,CMP0002,CUS0008008,2024-06-04,Email,Interested,False,0.0
CRS00000294,CMP0004,CUS0004865,2025-09-13,LINE OA,No Response,False,0.0
CRS00000295,CMP0025,CUS0002359,2024-04-28,Email,Not Interested,False,0.0
CRS00000296,CMP0006,CUS0002063,2024-01-07,Email,Interested,False,0.0
CRS00000297,CMP0017,CUS0007705,2026-01-24,SMS,Not Interested,False,0.0
CRS00000298,CMP0004,CUS0006737,2025-07-14,Outbound Call,Interested,False,0.0
CRS00000299,CMP0018,CUS0002936,2026-02-10,Mobile App,Opted Out,False,0.0
CRS00000300,CMP0020,CUS0000322,2024-09-13,Email,Interested,False,0.0
CRS00000301,CMP0003,CUS0000385,2025-09-18,Email,Converted,True,82366.45
CRS00000302,CMP0009,CUS0007616,2024-12-11,LINE OA,No Response,False,0.0
CRS00000303,CMP0006,CUS0003268,2025-11-23,SMS,Not Interested,False,0.0
CRS00000304,CMP0005,CUS0001213,2024-06-12,Mobile App,Converted,True,110975.27
CRS00000305,CMP0015,CUS0002983,2025-11-22,LINE OA,No Response,False,0.0
CRS00000306,CMP0011,CUS0006944,2024-11-17,Outbound Call,No Response,False,0.0
CRS00000307,CMP0002,CUS0007871,2025-03-05,LINE OA,No Response,False,0.0
CRS00000308,CMP0003,CUS0001095,2025-07-10,Mobile App,Not Interested,False,0.0
CRS00000309,CMP0020,CUS0001361,2024-05-03,LINE OA,Converted,True,122241.75
CRS00000310,CMP0030,CUS0000262,2025-06-11,LINE OA,Interested,False,0.0
CRS00000311,CMP0009,CUS0006627,2024-09-03,Branch,Not Interested,False,0.0
CRS00000312,CMP0017,CUS0009277,2026-04-21,Outbound Call,No Response,False,0.0
CRS00000313,CMP0012,CUS0007657,2024-09-30,SMS,No Response,False,0.0
CRS00000314,CMP0030,CUS0000101,2025-07-11,Outbound Call,No Response,False,0.0
CRS00000315,CMP0009,CUS0000706,2026-04-29,Mobile App,No Response,False,0.0
CRS00000316,CMP0029,CUS0005956,2024-08-14,Email,Not Interested,False,0.0
CRS00000317,CMP0020,CUS0008960,2024-05-07,SMS,Not Interested,False,0.0
CRS00000318,CMP0010,CUS0008068,2024-01-31,Branch,Converted,True,162248.47
CRS00000319,CMP0005,CUS0003526,2025-07-18,SMS,No Response,False,0.0
CRS00000320,CMP0016,CUS0001454,2024-01-16,Mobile App,No Response,False,0.0
CRS00000321,CMP0012,CUS0003288,2025-06-16,Email,No Response,False,0.0
CRS00000322,CMP0017,CUS0004027,2026-03-22,Branch,Opted Out,False,0.0
CRS00000323,CMP0015,CUS0005362,2024-06-12,Branch,No Response,False,0.0
CRS00000324,CMP0010,CUS0003003,2024-03-05,LINE OA,Interested,False,0.0
CRS00000325,CMP0025,CUS0009704,2025-09-22,SMS,Interested,False,0.0
