schedule_id,loan_id,installment_no,due_date,principal_due_thb,interest_due_thb,total_due_thb,paid
LRS00000042,LON0000003,6,2023-06-12,38195.77,16369.62,54565.39,True
LRS00000043,LON0000003,7,2023-07-12,38195.77,16369.62,54565.39,True
LRS00000044,LON0000003,8,2023-08-11,38195.77,16369.62,54565.39,True
LRS00000045,LON0000003,9,2023-09-10,38195.77,16369.62,54565.39,True
LRS00000046,LON0000003,10,2023-10-10,38195.77,16369.62,54565.39,True
LRS00000047,LON0000003,11,2023-11-09,38195.77,16369.62,54565.39,True
LRS00000048,LON0000003,12,2023-12-09,38195.77,16369.62,54565.39,True
LRS00000049,LON0000003,13,2024-01-08,38195.77,16369.62,54565.39,True
LRS00000050,LON0000003,14,2024-02-07,38195.77,16369.62,54565.39,True
LRS00000051,LON0000003,15,2024-03-08,38195.77,16369.62,54565.39,True
LRS00000052,LON0000003,16,2024-04-07,38195.77,16369.62,54565.39,True
LRS00000053,LON0000003,17,2024-05-07,38195.77,16369.62,54565.39,True
LRS00000054,LON0000003,18,2024-06-06,38195.77,16369.62,54565.39,True
LRS00000055,LON0000003,19,2024-07-06,38195.77,16369.62,54565.39,True
LRS00000056,LON0000003,20,2024-08-05,38195.77,16369.62,54565.39,True
LRS00000057,LON0000003,21,2024-09-04,38195.77,16369.62,54565.39,True
LRS00000058,LON0000003,22,2024-10-04,38195.77,16369.62,54565.39,True
LRS00000059,LON0000003,23,2024-11-03,38195.77,16369.62,54565.39,True
LRS00000060,LON0000003,24,2024-12-03,38195.77,16369.62,54565.39,True
LRS00000061,LON0000004,1,2020-09-21,116653.82,49994.5,166648.32,True
LRS00000062,LON0000004,2,2020-10-21,116653.82,49994.5,166648.32,True
LRS00000063,LON0000004,3,2020-11-20,116653.82,49994.5,166648.32,True
LRS00000064,LON0000004,4,2020-12-20,116653.82,49994.5,166648.32,True
LRS00000065,LON0000004,5,2021-01-19,116653.82,49994.5,166648.32,True
LRS00000066,LON0000004,6,2021-02-18,116653.82,49994.5,166648.32,True
LRS00000067,LON0000004,7,2021-03-20,116653.82,49994.5,166648.32,True
LRS00000068,LON0000004,8,2021-04-19,116653.82,49994.5,166648.32,False
LRS00000069,LON0000004,9,2021-05-19,116653.82,49994.5,166648.32,True
LRS00000070,LON0000004,10,2021-06-18,116653.82,49994.5,166648.32,True
LRS00000071,LON0000004,11,2021-07-18,116653.82,49994.5,166648.32,True
LRS00000072,LON0000004,12,2021-08-17,116653.82,49994.5,166648.32,True
LRS00000073,LON0000004,13,2021-09-16,116653.82,49994.5,166648.32,False
LRS00000074,LON0000004,14,2021-10-16,116653.82,49994.5,166648.32,False
LRS00000075,LON0000004,15,2021-11-15,116653.82,49994.5,166648.32,True
LRS00000076,LON0000004,16,2021-12-15,116653.82,49994.5,166648.32,True
LRS00000077,LON0000004,17,2022-01-14,116653.82,49994.5,166648.32,True
LRS00000078,LON0000004,18,2022-02-13,116653.82,49994.5,166648.32,True
LRS00000079,LON0000004,19,2022-03-15,116653.82,49994.5,166648.32,True
LRS00000080,LON0000004,20,2022-04-14,116653.82,49994.5,166648.32,True
LRS00000081,LON0000004,21,2022-05-14,116653.82,49994.5,166648.32,True
LRS00000082,LON0000004,22,2022-06-13,116653.82,49994.5,166648.32,True
LRS00000083,LON0000004,23,2022-07-13,116653.82,49994.5,166648.32,True
LRS00000084,LON0000004,24,2022-08-12,116653.82,49994.5,166648.32,True
LRS00000085,LON0000005,1,2022-12-13,38777.4,16618.89,55396.29,True
LRS00000086,LON0000005,2,2023-01-12,38777.4,16618.89,55396.29,True
LRS00000087,LON0000005,3,2023-02-11,38777.4,16618.89,55396.29,True
LRS00000088,LON0000005,4,2023-03-13,38777.4,16618.89,55396.29,True
LRS00000089,LON0000005,5,2023-04-12,38777.4,16618.89,55396.29,True
LRS00000090,LON0000005,6,2023-05-12,38777.4,16618.89,55396.29,True
LRS00000091,LON0000005,7,2023-06-11,38777.4,16618.89,55396.29,True
LRS00000092,LON0000005,8,2023-07-11,38777.4,16618.89,55396.29,True
LRS00000093,LON0000005,9,2023-08-10,38777.4,16618.89,55396.29,True
LRS00000094,LON0000005,10,2023-09-09,38777.4,16618.89,55396.29,True
LRS00000095,LON0000005,11,2023-10-09,38777.4,16618.89,55396.29,True
LRS00000096,LON0000005,12,2023-11-08,38777.4,16618.89,55396.29,True
LRS00000097,LON0000005,13,2023-12-08,38777.4,16618.89,55396.29,False
LRS00000098,LON0000005,14,2024-01-07,38777.4,16618.89,55396.29,True
LRS00000099,LON0000005,15,2024-02-06,38777.4,16618.89,55396.29,True
LRS00000100,LON0000005,16,2024-03-07,38777.4,16618.89,55396.29,True
LRS00000101,LON0000005,17,2024-04-06,38777.4,16618.89,55396.29,True
LRS00000102,LON0000005,18,2024-05-06,38777.4,16618.89,55396.29,True
LRS00000103,LON0000005,19,2024-06-05,38777.4,16618.89,55396.29,False
LRS00000104,LON0000005,20,2024-07-05,38777.4,16618.89,55396.29,True
LRS00000105,LON0000005,21,2024-08-04,38777.4,16618.89,55396.29,True
LRS00000106,LON0000005,22,2024-09-03,38777.4,16618.89,55396.29,True
LRS00000107,LON0000005,23,2024-10-03,38777.4,16618.89,55396.29,True
LRS00000108,LON0000005,24,2024-11-02,38777.4,16618.89,55396.29,True
LRS00000109,LON0000006,1,2023-12-12,37971.18,16273.36,54244.55,True
LRS00000110,LON0000006,2,2024-01-11,37971.18,16273.36,54244.55,True
LRS00000111,LON0000006,3,2024-02-10,37971.18,16273.36,54244.55,True
LRS00000112,LON0000006,4,2024-03-11,37971.18,16273.36,54244.55,True
LRS00000113,LON0000006,5,2024-04-10,37971.18,16273.36,54244.55,True
LRS00000114,LON0000006,6,2024-05-10,37971.18,16273.36,54244.55,True
LRS00000115,LON0000006,7,2024-06-09,37971.18,16273.36,54244.55,True
LRS00000116,LON0000006,8,2024-07-09,37971.18,16273.36,54244.55,True
LRS00000117,LON0000006,9,2024-08-08,37971.18,16273.36,54244.55,True
LRS00000118,LON0000006,10,2024-09-07,37971.18,16273.36,54244.55,True
LRS00000119,LON0000006,11,2024-10-07,37971.18,16273.36,54244.55,True
LRS00000120,LON0000006,12,2024-11-06,37971.18,16273.36,54244.55,True
LRS00000121,LON0000007,1,2026-03-08,6580.64,2820.28,9400.92,True
LRS00000122,LON0000007,2,2026-04-07,6580.64,2820.28,9400.92,True
LRS00000123,LON0000007,3,2026-05-07,6580.64,2820.28,9400.92,False
LRS00000124,LON0000007,4,2026-06-06,6580.64,2820.28,9400.92,False
LRS00000125,LON0000007,5,2026-07-06,6580.64,2820.28,9400.92,False
LRS00000126,LON0000007,6,2026-08-05,6580.64,2820.28,9400.92,False
LRS00000127,LON0000007,7,2026-09-04,6580.64,2820.28,9400.92,False
LRS00000128,LON0000007,8,2026-10-04,6580.64,2820.28,9400.92,False
LRS00000129,LON0000007,9,2026-11-03,6580.64,2820.28,9400.92,False
LRS00000130,LON0000007,10,2026-12-03,6580.64,2820.28,9400.92,False
LRS00000131,LON0000007,11,2027-01-02,6580.64,2820.28,9400.92,False
LRS00000132,LON0000007,12,2027-02-01,6580.64,2820.28,9400.92,False
LRS00000133,LON0000007,13,2027-03-03,6580.64,2820.28,9400.92,False
LRS00000134,LON0000007,14,2027-04-02,6580.64,2820.28,9400.92,False
LRS00000135,LON0000007,15,2027-05-02,6580.64,2820.28,9400.92,False
LRS00000136,LON0000007,16,2027-06-01,6580.64,2820.28,9400.92,False
LRS00000137,LON0000007,17,2027-07-01,6580.64,2820.28,9400.92,False
LRS00000138,LON0000007,18,2027-07-31,6580.64,2820.28,9400.92,False
LRS00000139,LON0000007,19,2027-08-30,6580.64,2820.28,9400.92,False
LRS00000140,LON0000007,20,2027-09-29,6580.64,2820.28,9400.92,False
LRS00000141,LON0000007,21,2027-10-29,6580.64,2820.28,9400.92,False
LRS00000142,LON0000007,22,2027-11-28,6580.64,2820.28,9400.92,False
LRS00000143,LON0000007,23,2027-12-28,6580.64,2820.28,9400.92,False
LRS00000144,LON0000007,24,2028-01-27,6580.64,2820.28,9400.92,False
LRS00000145,LON0000008,1,2023-06-06,5541.56,2374.95,7916.51,True
LRS00000146,LON0000008,2,2023-07-06,5541.56,2374.95,7916.51,True
LRS00000147,LON0000008,3,2023-08-05,5541.56,2374.95,7916.51,True
LRS00000148,LON0000008,4,2023-09-04,5541.56,2374.95,7916.51,True
LRS00000149,LON0000008,5,2023-10-04,5541.56,2374.95,7916.51,True
LRS00000150,LON0000008,6,2023-11-03,5541.56,2374.95,7916.51,True
LRS00000151,LON0000008,7,2023-12-03,5541.56,2374.95,7916.51,True
LRS00000152,LON0000008,8,2024-01-02,5541.56,2374.95,7916.51,True
LRS00000153,LON0000008,9,2024-02-01,5541.56,2374.95,7916.51,True
LRS00000154,LON0000008,10,2024-03-02,5541.56,2374.95,7916.51,True
LRS00000155,LON0000008,11,2024-04-01,5541.56,2374.95,7916.51,True
LRS00000156,LON0000008,12,2024-05-01,5541.56,2374.95,7916.51,True
LRS00000157,LON0000008,13,2024-05-31,5541.56,2374.95,7916.51,True
LRS00000158,LON0000008,14,2024-06-30,5541.56,2374.95,7916.51,True
LRS00000159,LON0000008,15,2024-07-30,5541.56,2374.95,7916.51,True
LRS00000160,LON0000008,16,2024-08-29,5541.56,2374.95,7916.51,True
LRS00000161,LON0000008,17,2024-09-28,5541.56,2374.95,7916.51,True
LRS00000162,LON0000008,18,2024-10-28,5541.56,2374.95,7916.51,True
LRS00000163,LON0000008,19,2024-11-27,5541.56,2374.95,7916.51,True
LRS00000164,LON0000008,20,2024-12-27,5541.56,2374.95,7916.51,True
LRS00000165,LON0000008,21,2025-01-26,5541.56,2374.95,7916.51,True
LRS00000166,LON0000008,22,2025-02-25,5541.56,2374.95,7916.51,True
LRS00000167,LON0000008,23,2025-03-27,5541.56,2374.95,7916.51,False
LRS00000168,LON0000008,24,2025-04-26,5541.56,2374.95,7916.51,True
LRS00000169,LON0000009,1,2022-11-15,9741.28,4174.84,13916.12,True
LRS00000170,LON0000009,2,2022-12-15,9741.28,4174.84,13916.12,True
LRS00000171,LON0000009,3,2023-01-14,9741.28,4174.84,13916.12,True
LRS00000172,LON0000009,4,2023-02-13,9741.28,4174.84,13916.12,True
LRS00000173,LON0000009,5,2023-03-15,9741.28,4174.84,13916.12,True
LRS00000174,LON0000009,6,2023-04-14,9741.28,4174.84,13916.12,True
LRS00000175,LON0000009,7,2023-05-14,9741.28,4174.84,13916.12,True
LRS00000176,LON0000009,8,2023-06-13,9741.28,4174.84,13916.12,True
LRS00000177,LON0000009,9,2023-07-13,9741.28,4174.84,13916.12,True
LRS00000178,LON0000009,10,2023-08-12,9741.28,4174.84,13916.12,True
LRS00000179,LON0000009,11,2023-09-11,9741.28,4174.84,13916.12,True
LRS00000180,LON0000009,12,2023-10-11,9741.28,4174.84,13916.12,True
LRS00000181,LON0000009,13,2023-11-10,9741.28,4174.84,13916.12,True
LRS00000182,LON0000009,14,2023-12-10,9741.28,4174.84,13916.12,True
LRS00000183,LON0000009,15,2024-01-09,9741.28,4174.84,13916.12,True
LRS00000184,LON0000009,16,2024-02-08,9741.28,4174.84,13916.12,True
LRS00000185,LON0000009,17,2024-03-09,9741.28,4174.84,13916.12,True
LRS00000186,LON0000009,18,2024-04-08,9741.28,4174.84,13916.12,True
LRS00000187,LON0000009,19,2024-05-08,9741.28,4174.84,13916.12,True
LRS00000188,LON0000009,20,2024-06-07,9741.28,4174.84,13916.12,True
LRS00000189,LON0000009,21,2024-07-07,9741.28,4174.84,13916.12,True
LRS00000190,LON0000009,22,2024-08-06,9741.28,4174.84,13916.12,True
LRS00000191,LON0000009,23,2024-09-05,9741.28,4174.84,13916.12,True
LRS00000192,LON0000009,24,2024-10-05,9741.28,4174.84,13916.12,True
LRS00000193,LON0000010,1,2024-11-14,37047.53,15877.51,52925.05,True
LRS00000194,LON0000010,2,2024-12-14,37047.53,15877.51,52925.05,True
LRS00000195,LON0000010,3,2025-01-13,37047.53,15877.51,52925.05,True
LRS00000196,LON0000010,4,2025-02-12,37047.53,15877.51,52925.05,True
LRS00000197,LON0000010,5,2025-03-14,37047.53,15877.51,52925.05,True
LRS00000198,LON0000010,6,2025-04-13,37047.53,15877.51,52925.05,True
LRS00000199,LON0000010,7,2025-05-13,37047.53,15877.51,52925.05,True
LRS00000200,LON0000010,8,2025-06-12,37047.53,15877.51,52925.05,True
LRS00000201,LON0000010,9,2025-07-12,37047.53,15877.51,52925.05,True
LRS00000202,LON0000010,10,2025-08-11,37047.53,15877.51,52925.05,True
LRS00000203,LON0000010,11,2025-09-10,37047.53,15877.51,52925.05,True
LRS00000204,LON0000010,12,2025-10-10,37047.53,15877.51,52925.05,True
LRS00000205,LON0000010,13,2025-11-09,37047.53,15877.51,52925.05,True
LRS00000206,LON0000010,14,2025-12-09,37047.53,15877.51,52925.05,True
LRS00000207,LON0000010,15,2026-01-08,37047.53,15877.51,52925.05,True
LRS00000208,LON0000010,16,2026-02-07,37047.53,15877.51,52925.05,True
LRS00000209,LON0000010,17,2026-03-09,37047.53,15877.51,52925.05,True
LRS00000210,LON0000010,18,2026-04-08,37047.53,15877.51,52925.05,True
LRS00000211,LON0000010,19,2026-05-08,37047.53,15877.51,52925.05,False
LRS00000212,LON0000010,20,2026-06-07,37047.53,15877.51,52925.05,False
LRS00000213,LON0000010,21,2026-07-07,37047.53,15877.51,52925.05,False
LRS00000214,LON0000010,22,2026-08-06,37047.53,15877.51,52925.05,False
LRS00000215,LON0000010,23,2026-09-05,37047.53,15877.51,52925.05,False
LRS00000216,LON0000010,24,2026-10-05,37047.53,15877.51,52925.05,False
LRS00000217,LON0000011,1,2026-03-04,36966.93,15842.97,52809.9,True
LRS00000218,LON0000011,2,2026-04-03,36966.93,15842.97,52809.9,True
LRS00000219,LON0000011,3,2026-05-03,36966.93,15842.97,52809.9,False
LRS00000220,LON0000011,4,2026-06-02,36966.93,15842.97,52809.9,False
LRS00000221,LON0000011,5,2026-07-02,36966.93,15842.97,52809.9,False
LRS00000222,LON0000011,6,2026-08-01,36966.93,15842.97,52809.9,False
LRS00000223,LON0000011,7,2026-08-31,36966.93,15842.97,52809.9,False
LRS00000224,LON0000011,8,2026-09-30,36966.93,15842.97,52809.9,False
LRS00000225,LON0000011,9,2026-10-30,36966.93,15842.97,52809.9,False
LRS00000226,LON0000011,10,2026-11-29,36966.93,15842.97,52809.9,False
LRS00000227,LON0000011,11,2026-12-29,36966.93,15842.97,52809.9,False
LRS00000228,LON0000011,12,2027-01-28,36966.93,15842.97,52809.9,False
LRS00000229,LON0000011,13,2027-02-27,36966.93,15842.97,52809.9,False
LRS00000230,LON0000011,14,2027-03-29,36966.93,15842.97,52809.9,False
LRS00000231,LON0000011,15,2027-04-28,36966.93,15842.97,52809.9,False
LRS00000232,LON0000011,16,2027-05-28,36966.93,15842.97,52809.9,False
LRS00000233,LON0000011,17,2027-06-27,36966.93,15842.97,52809.9,False
LRS00000234,LON0000011,18,2027-07-27,36966.93,15842.97,52809.9,False
LRS00000235,LON0000011,19,2027-08-26,36966.93,15842.97,52809.9,False
LRS00000236,LON0000011,20,2027-09-25,36966.93,15842.97,52809.9,False
LRS00000237,LON0000011,21,2027-10-25,36966.93,15842.97,52809.9,False
LRS00000238,LON0000011,22,2027-11-24,36966.93,15842.97,52809.9,False
LRS00000239,LON0000011,23,2027-12-24,36966.93,15842.97,52809.9,False
LRS00000240,LON0000011,24,2028-01-23,36966.93,15842.97,52809.9,False
LRS00000241,LON0000012,1,2020-07-22,2042.17,875.21,2917.38,True
LRS00000242,LON0000012,2,2020-08-21,2042.17,875.21,2917.38,True
LRS00000243,LON0000012,3,2020-09-20,2042.17,875.21,2917.38,True
LRS00000244,LON0000012,4,2020-10-20,2042.17,875.21,2917.38,True
LRS00000245,LON0000012,5,2020-11-19,2042.17,875.21,2917.38,True
LRS00000246,LON0000012,6,2020-12-19,2042.17,875.21,2917.38,True
LRS00000247,LON0000012,7,2021-01-18,2042.17,875.21,2917.38,True
LRS00000248,LON0000012,8,2021-02-17,2042.17,875.21,2917.38,True
LRS00000249,LON0000012,9,2021-03-19,2042.17,875.21,2917.38,True
LRS00000250,LON0000012,10,2021-04-18,2042.17,875.21,2917.38,True
LRS00000251,LON0000012,11,2021-05-18,2042.17,875.21,2917.38,True
LRS00000252,LON0000012,12,2021-06-17,2042.17,875.21,2917.38,True
LRS00000253,LON0000012,13,2021-07-17,2042.17,875.21,2917.38,True
LRS00000254,LON0000012,14,2021-08-16,2042.17,875.21,2917.38,True
LRS00000255,LON0000012,15,2021-09-15,2042.17,875.21,2917.38,True
LRS00000256,LON0000012,16,2021-10-15,2042.17,875.21,2917.38,True
LRS00000257,LON0000012,17,2021-11-14,2042.17,875.21,2917.38,True
LRS00000258,LON0000012,18,2021-12-14,2042.17,875.21,2917.38,True
LRS00000259,LON0000012,19,2022-01-13,2042.17,875.21,2917.38,True
LRS00000260,LON0000012,20,2022-02-12,2042.17,875.21,2917.38,False
LRS00000261,LON0000012,21,2022-03-14,2042.17,875.21,2917.38,True
LRS00000262,LON0000012,22,2022-04-13,2042.17,875.21,2917.38,True
LRS00000263,LON0000012,23,2022-05-13,2042.17,875.21,2917.38,True
LRS00000264,LON0000012,24,2022-06-12,2042.17,875.21,2917.38,True
LRS00000265,LON0000013,1,2024-10-07,58333.67,25000.15,83333.82,True
LRS00000266,LON0000013,2,2024-11-06,58333.67,25000.15,83333.82,False
LRS00000267,LON0000013,3,2024-12-06,58333.67,25000.15,83333.82,True
LRS00000268,LON0000013,4,2025-01-05,58333.67,25000.15,83333.82,True
LRS00000269,LON0000013,5,2025-02-04,58333.67,25000.15,83333.82,True
LRS00000270,LON0000013,6,2025-03-06,58333.67,25000.15,83333.82,True
LRS00000271,LON0000013,7,2025-04-05,58333.67,25000.15,83333.82,False
LRS00000272,LON0000013,8,2025-05-05,58333.67,25000.15,83333.82,True
LRS00000273,LON0000013,9,2025-06-04,58333.67,25000.15,83333.82,True
LRS00000274,LON0000013,10,2025-07-04,58333.67,25000.15,83333.82,True
LRS00000275,LON0000013,11,2025-08-03,58333.67,25000.15,83333.82,True
LRS00000276,LON0000013,12,2025-09-02,58333.67,25000.15,83333.82,True
LRS00000277,LON0000013,13,2025-10-02,58333.67,25000.15,83333.82,True
LRS00000278,LON0000013,14,2025-11-01,58333.67,25000.15,83333.82,False
LRS00000279,LON0000013,15,2025-12-01,58333.67,25000.15,83333.82,True
LRS00000280,LON0000013,16,2025-12-31,58333.67,25000.15,83333.82,True
LRS00000281,LON0000013,17,2026-01-30,58333.67,25000.15,83333.82,True
LRS00000282,LON0000013,18,2026-03-01,58333.67,25000.15,83333.82,True
LRS00000283,LON0000013,19,2026-03-31,58333.67,25000.15,83333.82,True
LRS00000284,LON0000013,20,2026-04-30,58333.67,25000.15,83333.82,True
LRS00000285,LON0000013,21,2026-05-30,58333.67,25000.15,83333.82,False
LRS00000286,LON0000013,22,2026-06-29,58333.67,25000.15,83333.82,False
LRS00000287,LON0000013,23,2026-07-29,58333.67,25000.15,83333.82,False
LRS00000288,LON0000013,24,2026-08-28,58333.67,25000.15,83333.82,False
LRS00000289,LON0000014,1,2025-07-24,311065.05,133313.6,444378.65,True
LRS00000290,LON0000014,2,2025-08-23,311065.05,133313.6,444378.65,True
LRS00000291,LON0000014,3,2025-09-22,311065.05,133313.6,444378.65,True
LRS00000292,LON0000014,4,2025-10-22,311065.05,133313.6,444378.65,True
LRS00000293,LON0000014,5,2025-11-21,311065.05,133313.6,444378.65,True
LRS00000294,LON0000014,6,2025-12-21,311065.05,133313.6,444378.65,True
LRS00000295,LON0000014,7,2026-01-20,311065.05,133313.6,444378.65,True
LRS00000296,LON0000014,8,2026-02-19,311065.05,133313.6,444378.65,True
LRS00000297,LON0000014,9,2026-03-21,311065.05,133313.6,444378.65,True
LRS00000298,LON0000014,10,2026-04-20,311065.05,133313.6,444378.65,True
LRS00000299,LON0000014,11,2026-05-20,311065.05,133313.6,444378.65,False
LRS00000300,LON0000014,12,2026-06-19,311065.05,133313.6,444378.65,False
LRS00000301,LON0000014,13,2026-07-19,311065.05,133313.6,444378.65,False
LRS00000302,LON0000014,14,2026-08-18,311065.05,133313.6,444378.65,False
LRS00000303,LON0000014,15,2026-09-17,311065.05,133313.6,444378.65,False
LRS00000304,LON0000014,16,2026-10-17,311065.05,133313.6,444378.65,False
LRS00000305,LON0000014,17,2026-11-16,311065.05,133313.6,444378.65,False
LRS00000306,LON0000014,18,2026-12-16,311065.05,133313.6,444378.65,False
LRS00000307,LON0000014,19,2027-01-15,311065.05,133313.6,444378.65,False
LRS00000308,LON0000014,20,2027-02-14,311065.05,133313.6,444378.65,False
LRS00000309,LON0000014,21,2027-03-16,311065.05,133313.6,444378.65,False
LRS00000310,LON0000014,22,2027-04-15,311065.05,133313.6,444378.65,False
LRS00000311,LON0000014,23,2027-05-15,311065.05,133313.6,444378.65,False
LRS00000312,LON0000014,24,2027-06-14,311065.05,133313.6,444378.65,False
LRS00000313,LON0000015,1,2025-04-30,27213.77,11663.04,38876.81,False
LRS00000314,LON0000015,2,2025-05-30,27213.77,11663.04,38876.81,False
LRS00000315,LON0000015,3,2025-06-29,27213.77,11663.04,38876.81,True
LRS00000316,LON0000015,4,2025-07-29,27213.77,11663.04,38876.81,True
LRS00000317,LON0000015,5,2025-08-28,27213.77,11663.04,38876.81,True
LRS00000318,LON0000015,6,2025-09-27,27213.77,11663.04,38876.81,True
LRS00000319,LON0000015,7,2025-10-27,27213.77,11663.04,38876.81,True
LRS00000320,LON0000015,8,2025-11-26,27213.77,11663.04,38876.81,True
LRS00000321,LON0000015,9,2025-12-26,27213.77,11663.04,38876.81,True
LRS00000322,LON0000015,10,2026-01-25,27213.77,11663.04,38876.81,True
LRS00000323,LON0000015,11,2026-02-24,27213.77,11663.04,38876.81,True
LRS00000324,LON0000015,12,2026-03-26,27213.77,11663.04,38876.81,True
LRS00000325,LON0000015,13,2026-04-25,27213.77,11663.04,38876.81,True
LRS00000326,LON0000015,14,2026-05-25,27213.77,11663.04,38876.81,False
LRS00000327,LON0000015,15,2026-06-24,27213.77,11663.04,38876.81,False
LRS00000328,LON0000015,16,2026-07-24,27213.77,11663.04,38876.81,False
LRS00000329,LON0000015,17,2026-08-23,27213.77,11663.04,38876.81,False
LRS00000330,LON0000015,18,2026-09-22,27213.77,11663.04,38876.81,False
LRS00000331,LON0000015,19,2026-10-22,27213.77,11663.04,38876.81,False
LRS00000332,LON0000015,20,2026-11-21,27213.77,11663.04,38876.81,False
LRS00000333,LON0000015,21,2026-12-21,27213.77,11663.04,38876.81,False
LRS00000334,LON0000015,22,2027-01-20,27213.77,11663.04,38876.81,False
LRS00000335,LON0000015,23,2027-02-19,27213.77,11663.04,38876.81,False
LRS00000336,LON0000015,24,2027-03-21,27213.77,11663.04,38876.81,False
LRS00000337,LON0000016,1,2025-11-25,25948.04,11120.59,37068.63,False
LRS00000338,LON0000016,2,2025-12-25,25948.04,11120.59,37068.63,True
LRS00000339,LON0000016,3,2026-01-24,25948.04,11120.59,37068.63,True
LRS00000340,LON0000016,4,2026-02-23,25948.04,11120.59,37068.63,True
LRS00000341,LON0000016,5,2026-03-25,25948.04,11120.59,37068.63,True
LRS00000342,LON0000016,6,2026-04-24,25948.04,11120.59,37068.63,True
LRS00000343,LON0000016,7,2026-05-24,25948.04,11120.59,37068.63,False
LRS00000344,LON0000016,8,2026-06-23,25948.04,11120.59,37068.63,False
LRS00000345,LON0000016,9,2026-07-23,25948.04,11120.59,37068.63,False
LRS00000346,LON0000016,10,2026-08-22,25948.04,11120.59,37068.63,False
LRS00000347,LON0000016,11,2026-09-21,25948.04,11120.59,37068.63,False
LRS00000348,LON0000016,12,2026-10-21,25948.04,11120.59,37068.63,False
LRS00000349,LON0000016,13,2026-11-20,25948.04,11120.59,37068.63,False
LRS00000350,LON0000016,14,2026-12-20,25948.04,11120.59,37068.63,False
LRS00000351,LON0000016,15,2027-01-19,25948.04,11120.59,37068.63,False
LRS00000352,LON0000016,16,2027-02-18,25948.04,11120.59,37068.63,False
LRS00000353,LON0000016,17,2027-03-20,25948.04,11120.59,37068.63,False
LRS00000354,LON0000016,18,2027-04-19,25948.04,11120.59,37068.63,False
LRS00000355,LON0000016,19,2027-05-19,25948.04,11120.59,37068.63,False
LRS00000356,LON0000016,20,2027-06-18,25948.04,11120.59,37068.63,False
LRS00000357,LON0000016,21,2027-07-18,25948.04,11120.59,37068.63,False
