kyc_id,customer_id,kyc_tier,risk_rating,pep_flag,last_review,next_review,status
KYC0000050,CUS0000050,Tier2,Low,False,2024-12-26,2026-09-29,Approved
KYC0000051,CUS0000051,Tier1,Low,False,2024-02-07,2027-09-22,Approved
KYC0000052,CUS0000052,Tier2,Low,False,2024-11-03,2026-06-24,Approved
KYC0000053,CUS0000053,Tier1,Low,False,2024-11-22,2027-04-20,Approved
KYC0000054,CUS0000054,Tier2,High,False,2024-12-17,2027-11-29,Approved
KYC0000055,CUS0000055,Tier2,Low,False,2026-01-10,2027-03-07,Approved
KYC0000056,CUS0000056,Tier1,Low,False,2025-08-20,2027-04-02,Approved
KYC0000057,CUS0000057,Tier1,Medium,False,2025-11-25,2027-03-10,Approved
KYC0000058,CUS0000058,Tier1,Low,False,2026-03-30,2026-08-13,Approved
KYC0000059,CUS0000059,Tier2,Low,False,2026-02-06,2026-08-04,Approved
KYC0000060,CUS0000060,Tier2,Low,False,2024-02-25,2027-09-07,Approved
KYC0000061,CUS0000061,Tier1,Low,False,2025-02-25,2027-12-01,Approved
KYC0000062,CUS0000062,Tier1,Low,False,2025-11-30,2026-08-02,Approved
KYC0000063,CUS0000063,Tier1,Low,True,2024-06-22,2026-05-28,Pending
KYC0000064,CUS0000064,Tier2,Low,False,2025-11-28,2027-12-18,Pending
KYC0000065,CUS0000065,Tier1,Medium,False,2025-04-21,2027-08-19,Approved
KYC0000066,CUS0000066,Tier2,Low,False,2025-11-11,2027-03-15,Approved
KYC0000067,CUS0000067,Tier3,Low,False,2024-11-18,2027-10-05,Approved
KYC0000068,CUS0000068,Tier3,Low,False,2025-08-27,2026-10-29,Approved
KYC0000069,CUS0000069,Tier1,Low,False,2024-05-18,2027-09-12,Approved
KYC0000070,CUS0000070,Tier3,Low,False,2026-04-16,2026-05-15,Approved
KYC0000071,CUS0000071,Tier1,Medium,False,2025-06-17,2026-11-17,Approved
KYC0000072,CUS0000072,Tier1,Medium,False,2026-01-03,2026-12-29,Approved
KYC0000073,CUS0000073,Tier2,Low,False,2024-03-12,2026-10-08,Approved
KYC0000074,CUS0000074,Tier1,Low,False,2024-12-24,2027-05-14,Approved
KYC0000075,CUS0000075,Tier2,Low,False,2024-08-09,2026-12-10,Approved
KYC0000076,CUS0000076,Tier2,Medium,False,2024-08-18,2026-05-05,Approved
KYC0000077,CUS0000077,Tier2,Low,False,2024-05-28,2027-05-16,Pending
KYC0000078,CUS0000078,Tier1,Low,False,2025-04-11,2027-12-07,Pending
KYC0000079,CUS0000079,Tier1,Low,False,2024-09-03,2026-06-16,Approved
KYC0000080,CUS0000080,Tier2,Low,False,2025-11-03,2027-08-14,Approved
KYC0000081,CUS0000081,Tier1,Low,False,2025-01-18,2027-04-21,Approved
KYC0000082,CUS0000082,Tier3,Low,False,2024-01-20,2026-08-31,Approved
KYC0000083,CUS0000083,Tier1,Low,False,2026-03-17,2027-02-13,Approved
KYC0000084,CUS0000084,Tier2,Low,False,2024-01-31,2027-12-04,Approved
KYC0000085,CUS0000085,Tier1,Medium,False,2025-01-28,2027-05-01,Approved
KYC0000086,CUS0000086,Tier1,Medium,False,2024-06-08,2026-07-05,Approved
KYC0000087,CUS0000087,Tier2,Medium,False,2026-01-21,2027-04-17,Approved
KYC0000088,CUS0000088,Tier2,Medium,False,2024-12-18,2027-03-23,Approved
KYC0000089,CUS0000089,Tier1,Medium,False,2025-04-14,2027-12-16,Approved
KYC0000090,CUS0000090,Tier1,Low,False,2025-08-27,2027-08-06,Approved
KYC0000091,CUS0000091,Tier2,Low,False,2025-01-14,2026-11-17,Approved
KYC0000092,CUS0000092,Tier2,Low,False,2024-07-11,2027-10-05,Approved
KYC0000093,CUS0000093,Tier2,Low,False,2024-07-05,2027-09-29,Approved
KYC0000094,CUS0000094,Tier2,Low,False,2025-08-07,2027-08-19,Approved
KYC0000095,CUS0000095,Tier2,Low,False,2025-10-03,2027-08-31,Approved
KYC0000096,CUS0000096,Tier2,Medium,False,2025-01-19,2027-12-17,Approved
KYC0000097,CUS0000097,Tier2,Medium,False,2025-02-09,2027-10-07,Approved
KYC0000098,CUS0000098,Tier1,Low,False,2025-01-13,2027-08-17,Approved
KYC0000099,CUS0000099,Tier1,Low,False,2025-01-30,2026-11-22,Approved
KYC0000100,CUS0000100,Tier3,Low,False,2026-03-07,2027-11-06,Approved
KYC0000101,CUS0000101,Tier2,Low,False,2025-09-18,2026-10-31,Approved
KYC0000102,CUS0000102,Tier1,High,False,2024-05-09,2027-04-28,Approved
KYC0000103,CUS0000103,Tier1,Medium,False,2024-12-25,2027-05-09,Approved
KYC0000104,CUS0000104,Tier2,Low,False,2025-11-11,2027-09-16,Approved
KYC0000105,CUS0000105,Tier1,Medium,False,2025-07-23,2027-09-13,Approved
KYC0000106,CUS0000106,Tier2,Low,False,2026-02-03,2026-08-07,Approved
KYC0000107,CUS0000107,Tier2,Low,False,2025-03-03,2027-07-18,Approved
KYC0000108,CUS0000108,Tier2,Low,False,2025-08-23,2027-02-23,Approved
KYC0000109,CUS0000109,Tier1,Low,False,2026-02-24,2027-01-26,Approved
KYC0000110,CUS0000110,Tier3,Medium,False,2025-07-14,2026-09-17,Approved
KYC0000111,CUS0000111,Tier2,Low,False,2024-05-05,2027-05-17,Approved
KYC0000112,CUS0000112,Tier1,Low,False,2024-12-20,2026-09-13,Approved
KYC0000113,CUS0000113,Tier1,Low,False,2024-09-10,2027-08-22,Approved
KYC0000114,CUS0000114,Tier3,Low,False,2026-03-14,2027-11-28,Approved
KYC0000115,CUS0000115,Tier3,Low,False,2025-08-15,2026-07-18,Approved
KYC0000116,CUS0000116,Tier2,Low,False,2024-01-24,2027-06-07,Approved
KYC0000117,CUS0000117,Tier1,Low,False,2026-01-10,2027-09-03,Approved
KYC0000118,CUS0000118,Tier2,Low,False,2024-05-06,2027-07-24,Approved
KYC0000119,CUS0000119,Tier1,Low,False,2024-11-24,2027-05-04,Approved
KYC0000120,CUS0000120,Tier1,Medium,False,2026-01-05,2026-06-05,Approved
KYC0000121,CUS0000121,Tier2,Low,False,2024-06-28,2027-09-25,Approved
KYC0000122,CUS0000122,Tier1,Low,False,2025-08-02,2027-06-10,Approved
KYC0000123,CUS0000123,Tier2,Low,False,2024-09-20,2027-11-05,Approved
KYC0000124,CUS0000124,Tier3,Medium,False,2024-09-05,2026-05-22,Approved
KYC0000125,CUS0000125,Tier2,Medium,False,2024-10-05,2027-11-06,Approved
KYC0000126,CUS0000126,Tier1,Low,False,2024-10-10,2026-10-14,Approved
KYC0000127,CUS0000127,Tier3,Low,False,2024-10-02,2027-08-01,Approved
KYC0000128,CUS0000128,Tier1,Medium,False,2025-07-06,2026-08-11,Approved
KYC0000129,CUS0000129,Tier1,Low,False,2024-02-16,2027-10-16,Rejected
KYC0000130,CUS0000130,Tier2,Medium,False,2024-04-13,2026-06-12,Approved
KYC0000131,CUS0000131,Tier2,Low,False,2025-07-21,2026-05-28,Pending
KYC0000132,CUS0000132,Tier2,Low,False,2024-01-19,2027-03-26,Approved
KYC0000133,CUS0000133,Tier2,Low,False,2025-01-18,2027-10-27,Approved
KYC0000134,CUS0000134,Tier1,Low,False,2024-07-24,2026-07-26,Approved
KYC0000135,CUS0000135,Tier3,Low,False,2025-03-30,2026-11-10,Approved
KYC0000136,CUS0000136,Tier3,Medium,False,2024-09-09,2026-09-04,Approved
KYC0000137,CUS0000137,Tier2,Low,False,2025-07-13,2027-01-27,Approved
KYC0000138,CUS0000138,Tier1,Medium,False,2024-11-22,2027-07-11,Approved
KYC0000139,CUS0000139,Tier3,Low,False,2024-07-07,2027-06-14,Approved
KYC0000140,CUS0000140,Tier2,Low,False,2025-08-25,2027-08-26,Approved
KYC0000141,CUS0000141,Tier3,Medium,False,2025-10-12,2027-03-22,Approved
KYC0000142,CUS0000142,Tier1,Low,False,2026-01-18,2027-12-10,Pending
KYC0000143,CUS0000143,Tier2,Medium,False,2025-12-02,2026-11-16,Approved
KYC0000144,CUS0000144,Tier1,Medium,False,2025-09-18,2027-10-17,Approved
KYC0000145,CUS0000145,Tier1,Low,False,2026-04-10,2027-02-11,Approved
KYC0000146,CUS0000146,Tier2,Low,True,2025-06-27,2026-10-08,Approved
KYC0000147,CUS0000147,Tier2,Low,False,2024-11-04,2026-05-27,Approved
KYC0000148,CUS0000148,Tier2,Medium,False,2024-06-24,2027-06-05,Approved
KYC0000149,CUS0000149,Tier2,Low,False,2025-11-05,2026-10-19,Approved
KYC0000150,CUS0000150,Tier2,Low,False,2024-05-01,2027-08-17,Approved
KYC0000151,CUS0000151,Tier1,Low,False,2024-11-07,2026-07-08,Approved
KYC0000152,CUS0000152,Tier2,Low,False,2025-10-21,2027-02-16,Approved
KYC0000153,CUS0000153,Tier1,Low,False,2024-07-17,2027-05-15,Approved
KYC0000154,CUS0000154,Tier1,Low,False,2024-02-09,2027-11-05,Approved
KYC0000155,CUS0000155,Tier2,Low,False,2025-09-15,2026-05-01,Approved
KYC0000156,CUS0000156,Tier3,Low,False,2026-04-12,2026-08-11,Approved
KYC0000157,CUS0000157,Tier1,Low,False,2025-02-10,2026-07-24,Approved
KYC0000158,CUS0000158,Tier2,High,False,2026-01-31,2027-06-29,Approved
KYC0000159,CUS0000159,Tier2,Medium,False,2024-07-29,2026-09-16,Approved
KYC0000160,CUS0000160,Tier2,Low,False,2026-03-10,2027-08-22,Approved
KYC0000161,CUS0000161,Tier2,Low,False,2026-02-11,2027-07-03,Approved
KYC0000162,CUS0000162,Tier3,Medium,False,2025-07-05,2027-03-25,Approved
KYC0000163,CUS0000163,Tier1,Low,False,2024-01-05,2027-08-05,Approved
KYC0000164,CUS0000164,Tier2,Low,False,2025-05-06,2027-08-31,Approved
KYC0000165,CUS0000165,Tier2,Low,False,2025-08-30,2027-07-07,Approved
KYC0000166,CUS0000166,Tier2,Medium,False,2024-09-30,2026-11-26,Pending
KYC0000167,CUS0000167,Tier3,Low,False,2025-12-20,2027-08-21,Approved
KYC0000168,CUS0000168,Tier3,High,False,2025-10-15,2027-01-19,Approved
KYC0000169,CUS0000169,Tier2,Low,False,2025-10-29,2026-12-24,Approved
KYC0000170,CUS0000170,Tier2,Medium,False,2025-08-10,2026-10-04,Pending
KYC0000171,CUS0000171,Tier2,Low,False,2024-01-27,2027-05-07,Approved
KYC0000172,CUS0000172,Tier2,Low,False,2026-04-08,2027-06-28,Approved
KYC0000173,CUS0000173,Tier1,Low,False,2024-06-20,2026-07-10,Approved
KYC0000174,CUS0000174,Tier2,Low,False,2026-02-19,2027-04-07,Approved
KYC0000175,CUS0000175,Tier2,High,False,2024-06-22,2026-05-04,Approved
KYC0000176,CUS0000176,Tier2,Medium,False,2026-01-23,2026-10-27,Pending
KYC0000177,CUS0000177,Tier2,Low,False,2025-03-31,2027-01-11,Approved
KYC0000178,CUS0000178,Tier1,Low,False,2025-09-07,2027-12-08,Approved
KYC0000179,CUS0000179,Tier1,Low,False,2026-02-21,2027-05-25,Approved
KYC0000180,CUS0000180,Tier1,Low,False,2025-08-05,2027-04-04,Approved
KYC0000181,CUS0000181,Tier2,Low,False,2024-09-20,2027-02-09,Pending
KYC0000182,CUS0000182,Tier1,Medium,False,2024-09-07,2027-03-06,Approved
KYC0000183,CUS0000183,Tier1,Medium,False,2024-04-30,2027-12-30,Approved
KYC0000184,CUS0000184,Tier1,High,False,2024-07-04,2027-01-07,Approved
KYC0000185,CUS0000185,Tier1,Low,False,2024-01-03,2027-05-16,Approved
KYC0000186,CUS0000186,Tier1,Medium,False,2026-02-13,2027-04-12,Approved
KYC0000187,CUS0000187,Tier1,Medium,False,2024-12-10,2026-07-25,Approved
KYC0000188,CUS0000188,Tier2,Medium,False,2024-07-08,2027-10-30,Approved
KYC0000189,CUS0000189,Tier1,Low,False,2025-08-31,2027-10-17,Approved
KYC0000190,CUS0000190,Tier1,Medium,False,2024-04-06,2027-05-23,Approved
KYC0000191,CUS0000191,Tier1,Low,False,2026-03-26,2026-06-18,Approved
KYC0000192,CUS0000192,Tier1,Low,False,2026-04-26,2027-05-17,Approved
KYC0000193,CUS0000193,Tier2,Low,False,2024-08-05,2027-06-10,Approved
KYC0000194,CUS0000194,Tier2,Low,False,2024-05-12,2026-08-14,Approved
KYC0000195,CUS0000195,Tier1,Low,False,2025-11-07,2027-01-11,Rejected
KYC0000196,CUS0000196,Tier2,Low,False,2025-01-12,2026-05-10,Approved
KYC0000197,CUS0000197,Tier2,Low,False,2024-10-28,2027-03-27,Approved
KYC0000198,CUS0000198,Tier1,Low,False,2026-04-05,2026-07-28,Approved
KYC0000199,CUS0000199,Tier2,Low,False,2026-04-01,2027-10-22,Approved
KYC0000200,CUS0000200,Tier1,Low,False,2024-07-03,2026-08-17,Approved
KYC0000201,CUS0000201,Tier2,Medium,False,2026-02-22,2026-09-23,Approved
KYC0000202,CUS0000202,Tier1,Low,False,2025-12-03,2027-06-10,Approved
KYC0000203,CUS0000203,Tier2,High,False,2026-04-30,2026-05-08,Approved
KYC0000204,CUS0000204,Tier2,Low,False,2025-06-23,2027-03-19,Approved
KYC0000205,CUS0000205,Tier3,Medium,False,2026-02-16,2026-12-24,Approved
KYC0000206,CUS0000206,Tier1,Medium,False,2024-09-05,2026-08-09,Approved
KYC0000207,CUS0000207,Tier2,Low,False,2026-04-15,2027-09-19,Approved
KYC0000208,CUS0000208,Tier1,Low,False,2024-05-22,2026-08-06,Pending
KYC0000209,CUS0000209,Tier1,Low,False,2024-11-23,2026-08-31,Approved
KYC0000210,CUS0000210,Tier3,Low,False,2024-12-14,2027-04-21,Approved
KYC0000211,CUS0000211,Tier2,Low,False,2024-11-10,2026-09-25,Approved
KYC0000212,CUS0000212,Tier2,Low,False,2025-02-02,2027-02-02,Approved
KYC0000213,CUS0000213,Tier2,Low,True,2024-01-23,2027-06-06,Approved
KYC0000214,CUS0000214,Tier2,Low,False,2025-03-24,2027-04-17,Approved
KYC0000215,CUS0000215,Tier1,Medium,False,2025-01-22,2027-12-27,Approved
KYC0000216,CUS0000216,Tier1,Low,False,2025-08-24,2027-10-31,Approved
KYC0000217,CUS0000217,Tier2,Low,False,2024-10-18,2026-08-11,Approved
KYC0000218,CUS0000218,Tier1,Medium,False,2025-03-10,2027-07-21,Approved
KYC0000219,CUS0000219,Tier3,Low,False,2024-01-19,2027-07-25,Pending
KYC0000220,CUS0000220,Tier2,Medium,False,2024-08-26,2027-02-14,Approved
KYC0000221,CUS0000221,Tier1,Low,False,2025-06-09,2027-01-13,Approved
KYC0000222,CUS0000222,Tier1,Low,False,2026-03-10,2027-01-02,Approved
KYC0000223,CUS0000223,Tier2,Low,False,2024-02-19,2027-12-24,Approved
KYC0000224,CUS0000224,Tier1,Low,False,2025-11-19,2027-06-23,Approved
KYC0000225,CUS0000225,Tier2,High,False,2024-03-14,2027-07-23,Approved
KYC0000226,CUS0000226,Tier2,Medium,False,2025-04-30,2027-08-04,Approved
KYC0000227,CUS0000227,Tier2,Medium,False,2024-09-27,2027-04-11,Approved
KYC0000228,CUS0000228,Tier1,Medium,False,2025-10-19,2027-10-08,Approved
KYC0000229,CUS0000229,Tier1,High,False,2025-07-28,2026-07-14,Approved
KYC0000230,CUS0000230,Tier1,Medium,False,2024-04-25,2027-04-09,Approved
KYC0000231,CUS0000231,Tier1,Low,False,2024-07-14,2027-04-08,Approved
KYC0000232,CUS0000232,Tier1,Low,False,2025-03-20,2026-06-15,Approved
KYC0000233,CUS0000233,Tier1,High,False,2026-01-24,2027-08-14,Approved
KYC0000234,CUS0000234,Tier1,Medium,False,2024-01-02,2026-09-20,Approved
KYC0000235,CUS0000235,Tier2,Low,False,2025-12-01,2027-11-18,Pending
KYC0000236,CUS0000236,Tier1,Medium,False,2024-09-10,2026-08-22,Approved
KYC0000237,CUS0000237,Tier2,Low,False,2024-10-01,2027-03-07,Approved
KYC0000238,CUS0000238,Tier2,Low,False,2024-11-10,2026-12-30,Approved
KYC0000239,CUS0000239,Tier2,Low,False,2025-04-02,2026-07-11,Approved
KYC0000240,CUS0000240,Tier2,Low,False,2024-05-09,2027-09-15,Approved
KYC0000241,CUS0000241,Tier3,Medium,False,2025-08-16,2026-07-05,Approved
KYC0000242,CUS0000242,Tier1,Low,False,2024-06-18,2027-08-30,Approved
KYC0000243,CUS0000243,Tier2,Medium,False,2024-09-05,2027-08-30,Approved
KYC0000244,CUS0000244,Tier1,Low,False,2025-12-28,2027-12-02,Approved
KYC0000245,CUS0000245,Tier1,Low,False,2025-08-12,2026-09-07,Approved
KYC0000246,CUS0000246,Tier2,Low,False,2024-08-07,2026-06-18,Approved
KYC0000247,CUS0000247,Tier1,Low,False,2024-09-06,2027-06-11,Approved
KYC0000248,CUS0000248,Tier1,Low,False,2025-02-25,2027-04-10,Pending
KYC0000249,CUS0000249,Tier1,Low,False,2025-04-09,2027-10-30,Approved
KYC0000250,CUS0000250,Tier3,Low,False,2026-01-21,2026-12-30,Approved
KYC0000251,CUS0000251,Tier1,Low,False,2026-04-14,2027-12-31,Approved
KYC0000252,CUS0000252,Tier2,Low,False,2025-11-29,2027-12-07,Approved
KYC0000253,CUS0000253,Tier2,Low,False,2024-10-04,2027-02-15,Approved
KYC0000254,CUS0000254,Tier2,Medium,False,2024-09-17,2027-03-02,Approved
KYC0000255,CUS0000255,Tier2,High,False,2025-05-16,2027-05-31,Approved
KYC0000256,CUS0000256,Tier2,Low,False,2024-02-23,2026-12-13,Approved
KYC0000257,CUS0000257,Tier1,High,False,2025-03-16,2027-10-13,Approved
KYC0000258,CUS0000258,Tier1,Low,False,2025-12-05,2026-07-31,Approved
KYC0000259,CUS0000259,Tier1,Low,False,2024-11-20,2026-12-18,Approved
KYC0000260,CUS0000260,Tier2,Low,False,2025-11-13,2027-11-02,Approved
KYC0000261,CUS0000261,Tier2,Low,False,2024-10-28,2026-11-21,Approved
KYC0000262,CUS0000262,Tier2,Low,False,2025-10-04,2026-05-20,Approved
KYC0000263,CUS0000263,Tier1,Medium,False,2026-04-30,2026-10-30,Approved
KYC0000264,CUS0000264,Tier2,Low,False,2025-11-08,2026-06-18,Approved
KYC0000265,CUS0000265,Tier2,Low,False,2025-06-25,2027-11-07,Approved
KYC0000266,CUS0000266,Tier1,Medium,False,2024-02-25,2026-09-17,Approved
KYC0000267,CUS0000267,Tier1,Low,False,2025-01-30,2027-12-04,Approved
KYC0000268,CUS0000268,Tier1,Medium,False,2024-01-25,2026-10-30,Approved
KYC0000269,CUS0000269,Tier2,Low,False,2025-09-03,2027-05-27,Approved
KYC0000270,CUS0000270,Tier1,Low,False,2026-02-11,2026-09-17,Approved
KYC0000271,CUS0000271,Tier3,Medium,False,2025-04-06,2026-11-05,Approved
KYC0000272,CUS0000272,Tier1,Low,False,2024-02-21,2026-05-30,Approved
KYC0000273,CUS0000273,Tier2,Low,False,2024-08-14,2027-08-01,Approved
KYC0000274,CUS0000274,Tier2,Low,False,2025-02-16,2026-07-28,Approved
KYC0000275,CUS0000275,Tier3,Low,False,2024-06-22,2027-06-11,Approved
KYC0000276,CUS0000276,Tier1,Low,False,2024-03-25,2027-04-27,Approved
KYC0000277,CUS0000277,Tier1,Low,False,2024-08-27,2026-10-07,Approved
KYC0000278,CUS0000278,Tier3,Medium,False,2024-07-11,2027-06-20,Approved
KYC0000279,CUS0000279,Tier2,Low,False,2026-04-06,2027-10-23,Approved
KYC0000280,CUS0000280,Tier2,Low,False,2026-04-27,2027-12-15,Pending
KYC0000281,CUS0000281,Tier2,Low,False,2026-03-19,2026-06-16,Approved
KYC0000282,CUS0000282,Tier1,Low,False,2024-08-14,2027-10-05,Approved
KYC0000283,CUS0000283,Tier2,High,False,2024-05-21,2026-07-24,Approved
KYC0000284,CUS0000284,Tier1,High,False,2026-02-04,2027-10-04,Approved
KYC0000285,CUS0000285,Tier1,Low,False,2025-02-17,2027-01-14,Approved
KYC0000286,CUS0000286,Tier2,Low,False,2024-03-28,2027-02-09,Approved
KYC0000287,CUS0000287,Tier3,Medium,False,2025-05-12,2026-08-11,Approved
KYC0000288,CUS0000288,Tier2,Low,False,2025-08-01,2027-02-27,Approved
KYC0000289,CUS0000289,Tier3,Low,False,2026-03-07,2027-05-15,Approved
KYC0000290,CUS0000290,Tier1,Low,False,2024-05-04,2027-11-16,Approved
KYC0000291,CUS0000291,Tier1,Medium,False,2025-11-12,2026-11-03,Approved
KYC0000292,CUS0000292,Tier3,Medium,False,2024-01-16,2026-12-07,Approved
KYC0000293,CUS0000293,Tier2,Low,False,2024-06-11,2026-07-18,Approved
KYC0000294,CUS0000294,Tier1,Medium,False,2024-07-14,2027-01-20,Approved
KYC0000295,CUS0000295,Tier2,Low,False,2024-01-08,2027-02-23,Approved
KYC0000296,CUS0000296,Tier1,Low,False,2025-03-12,2027-01-16,Approved
KYC0000297,CUS0000297,Tier2,Medium,False,2026-01-28,2027-03-15,Approved
KYC0000298,CUS0000298,Tier1,Medium,False,2024-01-03,2027-07-01,Approved
KYC0000299,CUS0000299,Tier1,Low,False,2026-02-03,2027-09-20,Approved
KYC0000300,CUS0000300,Tier1,Low,False,2024-06-02,2027-05-04,Approved
KYC0000301,CUS0000301,Tier1,Low,False,2025-02-12,2026-12-12,Pending
KYC0000302,CUS0000302,Tier2,Low,False,2024-09-05,2026-11-02,Approved
KYC0000303,CUS0000303,Tier1,High,False,2025-03-19,2026-07-03,Approved
KYC0000304,CUS0000304,Tier2,Low,False,2026-04-16,2027-01-14,Approved
KYC0000305,CUS0000305,Tier2,Low,False,2024-06-03,2027-04-20,Pending
KYC0000306,CUS0000306,Tier1,Low,False,2025-05-28,2027-07-09,Pending
KYC0000307,CUS0000307,Tier1,Low,False,2024-02-16,2026-10-24,Approved
KYC0000308,CUS0000308,Tier3,Low,False,2025-05-25,2027-04-05,Approved
KYC0000309,CUS0000309,Tier2,Low,False,2025-05-06,2027-08-02,Approved
KYC0000310,CUS0000310,Tier1,Medium,True,2024-02-22,2027-03-05,Approved
KYC0000311,CUS0000311,Tier1,Low,False,2025-10-08,2027-07-21,Approved
KYC0000312,CUS0000312,Tier2,High,False,2025-02-28,2026-10-13,Approved
KYC0000313,CUS0000313,Tier1,Low,False,2026-03-22,2026-08-12,Approved
KYC0000314,CUS0000314,Tier1,Low,False,2025-08-17,2026-05-03,Approved
KYC0000315,CUS0000315,Tier1,Low,False,2025-03-06,2027-05-09,Approved
KYC0000316,CUS0000316,Tier1,Low,False,2025-04-30,2026-06-12,Approved
KYC0000317,CUS0000317,Tier1,High,False,2024-09-12,2027-11-15,Approved
KYC0000318,CUS0000318,Tier2,Low,False,2026-04-21,2027-08-18,Pending
KYC0000319,CUS0000319,Tier1,Medium,False,2025-04-28,2027-01-20,Approved
KYC0000320,CUS0000320,Tier2,Low,False,2025-08-29,2027-02-01,Approved
KYC0000321,CUS0000321,Tier2,Low,False,2025-08-21,2026-05-21,Approved
KYC0000322,CUS0000322,Tier1,Low,False,2026-02-23,2027-01-09,Approved
KYC0000323,CUS0000323,Tier2,Medium,False,2025-01-21,2027-02-15,Approved
KYC0000324,CUS0000324,Tier1,Low,False,2025-06-20,2027-08-23,Approved
KYC0000325,CUS0000325,Tier1,Low,False,2024-04-22,2027-09-18,Approved
KYC0000326,CUS0000326,Tier1,Low,False,2026-04-15,2026-09-17,Approved
KYC0000327,CUS0000327,Tier3,Low,False,2025-06-09,2027-12-13,Approved
KYC0000328,CUS0000328,Tier2,High,False,2025-02-14,2026-06-05,Approved
KYC0000329,CUS0000329,Tier1,Low,False,2024-11-17,2027-01-01,Approved
KYC0000330,CUS0000330,Tier2,Low,False,2024-07-26,2027-10-28,Approved
