loan_id,customer_id,product_id,branch_id,principal_thb,interest_rate_pct,term_months,start_date,end_date,monthly_payment_thb,outstanding_balance_thb,status
LON0000090,CUS0002694,PRD-LN02,BR0010,2444148.34,9.94,360,2021-12-31,2051-07-27,21340.86,2264472.62,Current
LON0000091,CUS0009748,PRD-LN02,BR0047,2084795.16,6.06,120,2020-06-17,2030-04-26,23208.37,395829.9,Current
LON0000092,CUS0006448,PRD-LN03,BR0039,12119007.82,9.26,48,2020-01-13,2023-12-23,303080.42,8984152.4,Current
LON0000093,CUS0005418,PRD-LN02,BR0036,2067519.89,9.19,84,2020-09-09,2027-08-04,33464.19,1631141.62,Late
LON0000094,CUS0007578,PRD-LN02,BR0038,1177178.93,14.42,240,2021-07-16,2041-04-02,14998.91,383889.95,Current
LON0000095,CUS0003768,PRD-LN01,BR0005,968529.5,6.74,120,2025-05-12,2035-03-21,11116.1,698015.08,Late
LON0000096,CUS0003116,PRD-LN01,BR0004,254408.95,5.49,240,2023-09-01,2043-05-19,1748.61,54317.57,Current
LON0000097,CUS0005920,PRD-LN02,BR0014,1030143.78,15.76,24,2026-03-24,2028-03-13,50320.99,797644.22,Current
LON0000098,CUS0002946,PRD-LN03,BR0003,4815385.07,8.0,240,2025-06-18,2045-03-05,40277.81,2350183.11,Closed
LON0000099,CUS0008330,PRD-LN01,BR0008,951361.06,4.17,360,2024-11-25,2054-06-21,4635.68,913749.77,Current
LON0000100,CUS0007211,PRD-LN03,BR0020,11926737.44,7.63,360,2020-08-14,2050-03-10,84457.73,11718848.12,Late
LON0000101,CUS0001951,PRD-LN02,BR0001,1052639.93,17.9,60,2025-01-07,2029-12-12,26672.91,195510.97,Late
LON0000102,CUS0008311,PRD-LN01,BR0045,124773.03,21.82,12,2025-07-02,2026-06-27,11667.25,47793.4,Current
LON0000103,CUS0006821,PRD-LN02,BR0009,1064377.34,17.2,24,2021-06-27,2023-06-17,52727.57,958514.46,Current
LON0000104,CUS0003382,PRD-LN04,BR0020,2537797.14,11.74,24,2023-12-27,2025-12-16,119155.02,954714.22,Current
LON0000105,CUS0006734,PRD-LN04,BR0001,8673459.27,15.73,48,2022-03-17,2026-02-24,244610.55,2778927.8,Current
LON0000106,CUS0003763,PRD-LN03,BR0042,8753994.16,17.29,84,2023-01-14,2029-12-08,180365.08,6951195.31,Late
LON0000107,CUS0007089,PRD-LN03,BR0034,6579250.15,13.03,240,2020-08-09,2040-04-26,77221.55,6215232.14,Current
LON0000108,CUS0006901,PRD-LN03,BR0012,12512817.75,7.08,12,2022-10-02,2023-09-27,1083154.93,11329411.71,Current
LON0000109,CUS0002459,PRD-LN04,BR0047,8301986.98,7.83,240,2026-04-18,2046-01-03,68565.37,1395822.56,Current
LON0000110,CUS0007823,PRD-LN01,BR0027,866774.4,4.94,84,2025-08-27,2032-07-21,12226.49,440977.26,Current
LON0000111,CUS0002234,PRD-LN02,BR0012,1965076.03,11.42,12,2022-09-06,2023-09-01,174061.89,811554.95,Current
LON0000112,CUS0000571,PRD-LN02,BR0032,1320851.72,21.23,84,2024-12-06,2031-10-31,30317.12,475925.33,Late
LON0000113,CUS0002391,PRD-LN04,BR0009,2997584.75,5.88,48,2020-12-03,2024-11-12,70233.56,2013022.24,Late
LON0000114,CUS0006303,PRD-LN01,BR0001,1320286.91,10.48,48,2023-06-01,2027-05-11,33791.06,713679.05,Current
LON0000115,CUS0006503,PRD-LN01,BR0009,732768.91,19.61,36,2020-11-21,2023-11-06,27086.92,242415.36,Current
LON0000116,CUS0008034,PRD-LN01,BR0015,413260.02,21.61,24,2023-10-25,2025-10-14,21359.66,241859.63,Current
LON0000117,CUS0001191,PRD-LN03,BR0046,3803170.91,7.0,60,2023-01-16,2027-12-21,75307.34,2259883.7,Current
LON0000118,CUS0003054,PRD-LN04,BR0017,2798678.95,8.9,12,2020-08-08,2021-08-03,244618.84,870691.93,Current
LON0000119,CUS0004925,PRD-LN02,BR0034,2433717.83,15.08,24,2020-02-11,2022-01-31,118095.34,1801059.3,Closed
LON0000120,CUS0001392,PRD-LN04,BR0036,3306677.8,19.68,120,2020-02-25,2030-01-03,63203.43,2646997.55,Closed
LON0000121,CUS0008477,PRD-LN02,BR0024,1517062.93,18.16,120,2020-10-01,2030-08-10,27491.69,452891.2,Current
LON0000122,CUS0006223,PRD-LN03,BR0016,4548035.94,11.72,180,2021-12-01,2036-09-13,53767.49,3838315.12,Current
LON0000123,CUS0001068,PRD-LN03,BR0013,8673977.35,16.91,84,2020-07-30,2027-06-24,176808.85,7628226.03,Late
LON0000124,CUS0002929,PRD-LN04,BR0027,4878820.38,8.24,84,2022-08-09,2029-07-03,76627.02,4521168.58,Current
LON0000125,CUS0001491,PRD-LN03,BR0016,1758416.05,12.76,360,2023-06-12,2053-01-05,19122.28,348179.91,Current
LON0000126,CUS0008315,PRD-LN01,BR0005,558852.71,20.64,48,2023-03-19,2027-02-26,17197.23,309211.43,Current
LON0000127,CUS0003791,PRD-LN03,BR0027,4827058.66,4.02,180,2021-06-09,2036-03-22,35753.57,935424.57,Current
LON0000128,CUS0006492,PRD-LN01,BR0019,1322764.49,18.98,36,2020-12-02,2023-11-17,48473.91,1196682.76,Current
LON0000129,CUS0003776,PRD-LN03,BR0026,13620680.64,5.13,24,2021-09-09,2023-08-30,598351.5,6538402.84,Current
LON0000130,CUS0007988,PRD-LN04,BR0004,2859230.67,10.1,360,2020-04-03,2049-10-28,25303.34,1631072.29,Current
LON0000131,CUS0007287,PRD-LN01,BR0010,905904.97,7.96,12,2023-05-31,2024-05-25,78786.5,455076.11,Current
LON0000132,CUS0000428,PRD-LN01,BR0050,1177979.2,6.05,12,2024-02-13,2025-02-07,101411.54,970837.54,Current
LON0000133,CUS0002607,PRD-LN03,BR0040,8108612.22,13.65,60,2020-06-09,2025-05-14,187205.12,7167752.93,Current
LON0000134,CUS0006329,PRD-LN01,BR0049,1064298.57,20.54,120,2020-11-16,2030-09-25,20950.66,508802.86,Late
LON0000135,CUS0005483,PRD-LN04,BR0049,7764343.84,13.87,24,2023-03-25,2025-03-14,372311.87,5920410.68,Closed
LON0000136,CUS0003851,PRD-LN01,BR0025,438762.45,8.4,360,2024-10-13,2054-05-09,3342.66,369896.9,Late
LON0000137,CUS0004057,PRD-LN03,BR0011,3765266.83,8.49,120,2022-12-03,2032-10-11,46663.78,1207441.58,Current
LON0000138,CUS0001049,PRD-LN01,BR0048,1069933.47,4.73,240,2023-07-13,2043-03-30,6902.48,750401.1,Current
LON0000139,CUS0007653,PRD-LN02,BR0037,1053160.31,19.35,48,2021-04-14,2025-03-24,31684.46,398243.92,Current
LON0000140,CUS0000912,PRD-LN02,BR0013,1975153.34,7.39,180,2021-05-08,2036-02-19,18186.67,1956948.41,Current
LON0000141,CUS0007790,PRD-LN03,BR0010,8757474.13,8.6,240,2022-12-24,2042-09-10,76554.58,3189611.34,Closed
LON0000142,CUS0007247,PRD-LN04,BR0029,8050346.75,7.47,180,2024-08-16,2039-05-30,74490.53,4336214.0,Current
LON0000143,CUS0008141,PRD-LN03,BR0007,7559784.58,14.95,120,2022-10-12,2032-08-20,121734.38,6209690.53,Current
LON0000144,CUS0000193,PRD-LN01,BR0026,1432853.43,20.31,12,2025-12-09,2026-12-04,132944.35,745502.57,Current
LON0000145,CUS0008387,PRD-LN03,BR0005,9001702.94,4.62,36,2023-08-21,2026-08-05,268256.0,1627216.48,Current
LON0000146,CUS0005092,PRD-LN02,BR0022,2178087.0,12.0,360,2021-12-06,2051-07-02,22404.08,1450988.57,Current
LON0000147,CUS0007764,PRD-LN02,BR0049,1428713.25,13.45,120,2025-06-03,2035-04-12,21713.1,523844.67,Current
LON0000148,CUS0000128,PRD-LN04,BR0017,7425755.75,21.34,180,2022-04-27,2037-02-07,137827.34,842947.13,Late
LON0000149,CUS0001552,PRD-LN02,BR0023,1997681.11,4.41,84,2021-08-30,2028-07-24,27684.55,1583576.67,Current
LON0000150,CUS0001034,PRD-LN02,BR0031,351723.35,3.95,12,2023-12-02,2024-11-26,29941.18,328610.48,Current
LON0000151,CUS0008718,PRD-LN02,BR0021,1250610.55,13.02,84,2022-01-27,2028-12-21,22764.66,1175809.1,Current
LON0000152,CUS0009199,PRD-LN04,BR0039,4494344.13,14.58,24,2023-10-14,2025-10-03,217019.91,3344454.42,Current
LON0000153,CUS0004199,PRD-LN02,BR0008,2285154.0,21.67,360,2023-08-05,2053-02-28,41331.86,427843.52,Current
LON0000154,CUS0007249,PRD-LN02,BR0042,2147762.99,6.69,24,2021-12-31,2023-12-21,95859.33,445136.7,Current
LON0000155,CUS0001119,PRD-LN04,BR0027,2849468.64,17.63,12,2024-09-06,2025-09-01,260737.77,606130.87,Current
LON0000156,CUS0006105,PRD-LN03,BR0047,6833627.9,4.4,48,2020-08-06,2024-07-16,155523.05,2042809.39,Current
LON0000157,CUS0008649,PRD-LN01,BR0020,400262.3,5.18,48,2025-06-11,2029-05-21,9250.43,74969.91,Current
LON0000158,CUS0004354,PRD-LN01,BR0001,1323908.04,20.01,180,2024-06-08,2039-03-22,23261.53,446618.76,Late
LON0000159,CUS0007044,PRD-LN03,BR0004,1908969.72,6.98,12,2025-06-15,2026-06-10,165159.34,706038.78,Closed
LON0000160,CUS0004190,PRD-LN03,BR0022,8170313.71,3.52,12,2020-06-04,2021-05-30,693910.91,4994523.57,Current
LON0000161,CUS0006723,PRD-LN04,BR0029,6875242.86,5.37,84,2025-05-21,2032-04-14,98373.85,6846978.53,Current
LON0000162,CUS0005413,PRD-LN03,BR0040,2282294.7,18.96,24,2021-11-14,2023-11-04,115002.97,406056.42,Current
LON0000163,CUS0007076,PRD-LN04,BR0031,6416128.48,21.15,12,2020-12-29,2021-12-24,597891.93,6250890.88,Current
LON0000164,CUS0005732,PRD-LN02,BR0039,848396.96,10.08,24,2020-02-10,2022-01-30,39180.55,714900.84,Current
LON0000165,CUS0000489,PRD-LN03,BR0040,10035370.89,11.23,180,2026-01-08,2040-10-21,115515.27,2842658.06,Current
LON0000166,CUS0002625,PRD-LN02,BR0002,1633369.74,14.24,120,2022-11-26,2032-10-04,25596.98,676650.6,Current
LON0000167,CUS0009840,PRD-LN02,BR0029,2261962.62,9.45,240,2023-01-02,2042-09-19,21010.66,986086.05,Current
LON0000168,CUS0005296,PRD-LN03,BR0047,9704446.25,5.22,84,2022-02-01,2028-12-26,138167.19,3587375.41,Current
LON0000169,CUS0002259,PRD-LN04,BR0030,7057930.82,15.41,180,2020-07-12,2035-04-25,100771.36,2407509.29,Current
LON0000170,CUS0008472,PRD-LN01,BR0026,470342.49,4.17,60,2022-02-21,2027-01-26,8698.2,139588.26,Current
LON0000171,CUS0000489,PRD-LN02,BR0031,1148359.09,17.67,36,2025-11-22,2028-11-06,41326.08,1102200.26,Current
LON0000172,CUS0009487,PRD-LN01,BR0003,1305183.93,8.97,240,2020-11-23,2040-08-10,11717.91,492800.37,Current
LON0000173,CUS0009361,PRD-LN04,BR0045,2859255.15,8.88,60,2020-10-05,2025-09-09,59187.05,1123875.35,Current
LON0000174,CUS0008563,PRD-LN02,BR0039,1693362.62,19.08,120,2023-08-31,2033-07-09,31698.99,909584.4,Current
LON0000175,CUS0003242,PRD-LN04,BR0045,4007215.53,8.66,240,2021-07-14,2041-03-31,35182.41,2354882.25,Late
LON0000176,CUS0005067,PRD-LN02,BR0031,1318192.19,7.37,60,2021-02-17,2026-01-22,26332.51,670391.46,Current
LON0000177,CUS0004314,PRD-LN02,BR0022,1907768.03,3.64,360,2023-08-03,2053-02-26,8716.52,655103.83,Current
LON0000178,CUS0003398,PRD-LN04,BR0030,1358667.8,12.35,24,2025-10-12,2027-10-02,64179.51,865727.28,Current
LON0000179,CUS0003016,PRD-LN02,BR0024,1443309.75,20.75,240,2021-07-10,2041-03-27,25371.64,1326928.07,Closed
LON0000180,CUS0006376,PRD-LN04,BR0024,6378562.73,12.27,240,2026-03-19,2045-12-04,71437.81,2391853.34,Current
LON0000181,CUS0004914,PRD-LN01,BR0033,1420618.82,6.15,60,2024-10-17,2029-09-21,27563.74,546485.13,Current
LON0000182,CUS0001554,PRD-LN04,BR0020,4151356.93,20.68,120,2023-05-15,2033-03-23,82107.81,3050580.44,Current
LON0000183,CUS0001013,PRD-LN03,BR0047,1230865.64,8.48,36,2026-01-01,2028-12-16,38843.99,1091388.84,Current
LON0000184,CUS0004508,PRD-LN02,BR0049,1431386.65,11.47,24,2021-12-21,2023-12-11,67026.61,1316176.5,Current
LON0000185,CUS0003009,PRD-LN03,BR0013,2197456.61,15.05,48,2024-11-13,2028-10-23,61212.57,619427.61,Current
LON0000186,CUS0004751,PRD-LN01,BR0009,1130274.93,9.37,36,2021-05-09,2024-04-23,36137.39,477768.85,Current
LON0000187,CUS0001200,PRD-LN01,BR0025,65048.63,6.75,180,2020-07-23,2035-05-06,575.62,24164.94,Current
LON0000188,CUS0001322,PRD-LN01,BR0018,516041.85,10.58,48,2024-12-16,2028-11-25,13232.36,224788.46,Current
LON0000189,CUS0001837,PRD-LN04,BR0028,690910.74,15.76,24,2025-11-13,2027-11-03,33749.96,658701.73,Current
LON0000190,CUS0005660,PRD-LN02,BR0034,1371910.19,21.5,240,2022-06-14,2042-03-01,24931.47,211508.88,Current
LON0000191,CUS0000679,PRD-LN03,BR0002,8445700.44,5.71,24,2025-04-27,2027-04-17,373215.95,5780980.78,Late
LON0000192,CUS0006973,PRD-LN01,BR0034,1103680.05,9.36,120,2025-01-30,2034-12-09,14196.89,426163.53,Current
LON0000193,CUS0007921,PRD-LN02,BR0021,2379463.6,9.3,60,2023-08-28,2028-08-01,49740.92,1034468.91,Current
LON0000194,CUS0005533,PRD-LN02,BR0035,525678.96,18.84,120,2022-10-02,2032-08-10,9758.07,494859.62,Current
LON0000195,CUS0009788,PRD-LN04,BR0005,1777219.1,18.82,36,2022-03-22,2025-03-06,64984.15,225056.1,Closed
LON0000196,CUS0008676,PRD-LN03,BR0047,11552231.75,20.58,84,2020-03-29,2027-02-21,260580.79,11471304.48,Current
LON0000197,CUS0002768,PRD-LN01,BR0006,1025714.69,11.1,360,2024-02-28,2053-09-23,9845.7,997995.39,Current
LON0000198,CUS0008387,PRD-LN03,BR0036,2672603.04,20.06,24,2024-05-16,2026-05-06,136102.63,1206729.42,Current
LON0000199,CUS0006064,PRD-LN02,BR0044,1219802.28,21.17,360,2025-08-27,2055-03-23,21559.11,254268.74,Current
LON0000200,CUS0005623,PRD-LN02,BR0001,629738.12,5.94,48,2024-05-04,2028-04-13,14772.1,557673.21,Closed
LON0000201,CUS0006740,PRD-LN03,BR0031,1228552.82,15.35,120,2021-08-24,2031-07-03,20085.0,492464.54,Current
LON0000202,CUS0001121,PRD-LN01,BR0018,1105970.81,11.38,24,2025-02-18,2027-02-08,51742.25,117216.82,Current
LON0000203,CUS0003562,PRD-LN03,BR0040,11423540.36,13.05,120,2021-12-02,2031-10-11,170902.79,5504471.86,Current
LON0000204,CUS0007643,PRD-LN04,BR0029,5887393.07,6.22,48,2024-03-16,2028-02-24,138860.21,2660981.34,Current
LON0000205,CUS0009252,PRD-LN03,BR0010,13020703.16,7.0,36,2020-05-26,2023-05-11,402041.51,11625056.63,Current
LON0000206,CUS0002931,PRD-LN02,BR0026,1677425.64,15.85,180,2021-05-08,2036-02-19,24461.16,836087.78,Current
LON0000207,CUS0002294,PRD-LN04,BR0031,880261.27,9.4,120,2023-10-10,2033-08-18,11342.23,348380.25,Current
LON0000208,CUS0008423,PRD-LN04,BR0030,5842814.68,12.61,36,2022-08-23,2025-08-07,195771.75,2318053.26,Current
LON0000209,CUS0006102,PRD-LN02,BR0049,391574.05,16.49,120,2024-05-30,2034-04-08,6679.45,192020.61,Current
LON0000210,CUS0003836,PRD-LN04,BR0011,2719021.63,10.17,24,2023-08-03,2025-07-23,125682.5,1676159.05,Closed
LON0000211,CUS0004546,PRD-LN02,BR0031,330145.83,19.82,180,2021-12-20,2036-10-02,5754.48,244965.8,Closed
LON0000212,CUS0009937,PRD-LN02,BR0033,1694584.87,19.29,180,2020-03-19,2034-12-31,28876.94,472052.47,Current
