branch_id,branch_name,branch_type,province,district,address,postal_code,phone,open_date,latitude,longitude,is_active
BR0031,สาขา เชียงราย,Standard,อุบลราชธานี,เชียงราย,13 หมู่ 1 ถ.ดัตพันธุ์,45300,0865875862,1999-12-23,10.600822,99.11927,True
BR0032,สาขา เจ้าพระยาสุรศักดิ์,Standard,สมุทรปราการ,เจ้าพระยาสุรศักดิ์,8/9 ถนนธนรักษ์,92830,0929566460,2010-09-29,15.028879,100.21528,True
BR0033,สาขา เจ้าพระยาสุรศักดิ์,Standard,สงขลา,เจ้าพระยาสุรศักดิ์,57 หมู่ 5 ถนนธาราธร,55640,0955873587,2020-04-06,17.275038,100.157892,True
BR0034,สาขา แหลมฉบัง,Digital,สมุทรสาคร,แหลมฉบัง,75 หมู่ 2 ถนนอุลหัสสา,44760,0944883439,2015-08-30,13.554391,99.076172,True
BR0035,สาขา กรุงเทพมหานคร,Mini,เชียงใหม่,กรุงเทพมหานคร,97 ถ.บุนยาภิสนท์,16920,0899017035,2003-03-13,10.853385,98.80977,True
BR0036,สาขา แม่สอด,Standard,นครราชสีมา,แม่สอด,88/7 ถนนนิยมสำหรวจ,68040,0650966046,2000-05-17,6.743205,99.255857,True
BR0037,สาขา ลำปาง,Mini,สมุทรปราการ,ลำปาง,974/9 ถนนตันเผ่า,61540,0958049497,2020-04-15,15.464931,102.410333,True
BR0038,สาขา ระยอง,Standard,นครราชสีมา,ระยอง,497/7 ถนนแหยมศิริ,99230,0931860060,2013-08-13,13.816166,104.904297,True
BR0039,สาขา แหลมฉบัง,Standard,ระยอง,แหลมฉบัง,443/6 ถ.นรวิทย์โชติกุล,79070,0660182008,2010-09-12,10.991092,103.974089,True
BR0040,สาขา ปากเกร็ด,Standard,เชียงใหม่,ปากเกร็ด,12/18 ถนนเจริญรัมย์,99880,0838104944,2023-06-06,18.464278,103.079404,True
BR0041,สาขา อุดรธานี,Standard,นนทบุรี,อุดรธานี,67/78 ถนนดาตู,71880,0873017981,2010-02-21,6.134304,101.269858,True
BR0042,สาขา อ้อมน้อย,Mini,ขอนแก่น,อ้อมน้อย,645/87 ถนนทรัพย์สาร,22410,0622099978,2023-10-24,12.212005,98.667222,True
BR0043,สาขา สุราษฎร์ธานี,Mini,พิษณุโลก,สุราษฎร์ธานี,21/5 ถนนทองเนื้อดี,30980,0867774946,2010-05-20,14.212317,100.028313,True
BR0044,สาขา เจ้าพระยาสุรศักดิ์,Standard,เชียงใหม่,เจ้าพระยาสุรศักดิ์,266 ถนนบุตดา,57630,0619973829,2014-07-15,12.897774,98.759504,True
BR0045,สาขา เชียงใหม่,Mini,ปทุมธานี,เชียงใหม่,5 ถนนนิยมธรรม,63450,0857947331,2010-11-29,11.700318,99.031871,True
BR0046,สาขา อ้อมน้อย,Mini,พิษณุโลก,อ้อมน้อย,68 หมู่ 1 ถ.แท่นทอง,29810,0828469065,2013-08-17,14.469617,101.419107,True
BR0047,สาขา หาดใหญ่,Standard,ขอนแก่น,หาดใหญ่,515/0 ถนนขุนดำ,75930,0888898768,2014-10-26,9.631477,100.71014,True
BR0048,สาขา นครศรีธรรมราช,Standard,ชลบุรี,นครศรีธรรมราช,927 ถ.นิติสาขา,85100,0842654911,2019-04-16,8.84579,103.757244,True
BR0049,สาขา พิษณุโลก,Digital,ปทุมธานี,พิษณุโลก,7/5 ถนนทันยุค,78730,0977182025,2019-06-29,15.496184,101.940479,True
BR0050,สาขา พิษณุโลก,Standard,พิษณุโลก,พิษณุโลก,24 ถ.ภูภักดี,63940,0642937763,2011-12-24,12.048352,104.607445,True
