ticket_id,customer_id,assigned_employee_id,category,channel,priority,status,opened_at,closed_at,subject,csat_score
TCK0000042,CUS0000153,EMP00425,Card lost/stolen,Email,Critical,Open,2024-06-15T18:57:00,,[Account closure] ร่มรื่นห้องเรียนถีบคอมมิวนิสต์ ,
TCK0000043,CUS0000265,EMP00062,Fee inquiry,Call Center,Critical,Closed,2024-11-07T20:22:00,2024-11-12T20:22:00,[Card lost/stolen] แปรงหอยอาหารอิฐเดี่ยววิกิพีเดียใน ,2.0
TCK0000044,CUS0003769,EMP00362,Mobile banking issue,Email,Critical,Resolved,2024-12-13T14:26:00,2024-12-23T00:26:00,[Card lost/stolen] ได้แก่อิสลามคมนาคมอธิษฐานมะเขือเทศอินเทอร์เน็ต ,5.0
TCK0000045,CUS0004490,EMP00158,PromptPay issue,Call Center,High,Closed,2025-04-27T01:19:00,2025-05-04T07:19:00,[Card lost/stolen] เชื่อร่มรื่นอัศจรรย์เฉยศาสตร์เฟซบุ๊ก ,1.0
TCK0000046,CUS0000297,EMP00298,ATM dispute,Call Center,Low,Closed,2025-06-16T20:08:00,2025-06-21T19:08:00,[Fraud report] ล่อกะละมังกลางตู่แข้งหึงสาเรียง ,
TCK0000047,CUS0005816,EMP00410,ATM dispute,Mobile App,High,Open,2024-09-20T00:29:00,,[ATM dispute] หรืออดเผื่อตรวจชาว ,
TCK0000048,CUS0004838,EMP00133,Fraud report,Mobile App,Critical,Closed,2024-01-28T02:53:00,2024-02-04T07:53:00,[Fee inquiry] ข้าวเกมตรวจพักผ่อนท้องฟ้าน้ำหวานตื่น ,5.0
TCK0000049,CUS0004138,EMP00199,PromptPay issue,Branch,High,Closed,2025-10-10T04:03:00,2025-10-19T14:03:00,[Branch service complaint] ลูกพิการหมัดสม่ำเสมอแม้ ,
TCK0000050,CUS0004533,EMP00111,Card lost/stolen,Branch,Medium,Closed,2025-01-08T00:28:00,2025-01-16T23:28:00,[Statement request] ไต้โง่ข้าวขนม ,1.0
TCK0000051,CUS0007045,EMP00380,Statement request,Mobile App,Critical,Resolved,2025-04-10T20:50:00,2025-04-11T04:50:00,[Fraud report] ด้ายไหนโน่นแมคทวด ,4.0
TCK0000052,CUS0003424,EMP00392,Branch service complaint,Call Center,Medium,Closed,2025-07-20T23:47:00,2025-07-21T10:47:00,[PromptPay issue] แลกเรื่อยแถบห้างกบแลก ,5.0
TCK0000053,CUS0009093,EMP00252,Fraud report,LINE OA,High,Closed,2025-05-12T06:22:00,2025-05-13T17:22:00,[Mobile banking issue] พักผ่อนใจหล่นสุขภาพ ,
TCK0000054,CUS0003074,EMP00188,Branch service complaint,LINE OA,Low,Closed,2025-03-24T15:19:00,2025-03-31T02:19:00,[Card lost/stolen] สีเทาน้ำเย็นง่วงกลางคืนแซงอบอุ่น ,4.0
TCK0000055,CUS0001251,EMP00225,Branch service complaint,Branch,Low,In Progress,2024-06-19T10:20:00,,[ATM dispute] ย่อรถบัสมะเขือเทศทานผลัด ,
TCK0000056,CUS0003342,EMP00491,Fee inquiry,Email,Low,Resolved,2024-11-06T03:03:00,2024-11-14T11:03:00,[Account closure] ทุ่มลูกตาอินสตาแกรมบูชาศาสตร์ห้างสหกรณ์ช้า ,1.0
TCK0000057,CUS0008808,EMP00032,Mobile banking issue,LINE OA,Medium,Closed,2024-09-05T15:23:00,2024-09-12T04:23:00,[Account closure] ตับกลอุปโภคผสมโก๋แก่ถาง ,5.0
TCK0000058,CUS0004783,EMP00364,Branch service complaint,Branch,High,In Progress,2026-02-24T21:17:00,,[Branch service complaint] ครูเอสซีบีแม่ตัวเมียแข่งขันกิโลเมตรลูกชิ้นเขยื้อน ,
TCK0000059,CUS0006513,EMP00432,ATM dispute,Email,High,Open,2024-01-21T05:56:00,,[Loan inquiry] หม้อศาสตร์เศษอาหารเฟซบุ๊กแท็บลอยด์เขยิบสำหรับสหภาพ ,
TCK0000060,CUS0003561,EMP00056,Branch service complaint,Branch,Low,Resolved,2025-01-14T19:03:00,2025-01-20T23:03:00,[Loan inquiry] กลางล่อด้ายอ่อนหวานกลางผิด ,4.0
TCK0000061,CUS0009287,EMP00024,Mobile banking issue,Call Center,Low,Open,2024-07-03T13:16:00,,[Fraud report] ตกลงชาวใบไม้ปีสัญญาแรงงาน ,
TCK0000062,CUS0009604,EMP00397,ATM dispute,Mobile App,Medium,In Progress,2024-10-29T18:51:00,,[Fraud report] คมนาคมประพฤติเคารพตกลงเมล็ดแมลง ,
TCK0000063,CUS0000134,EMP00160,Fraud report,Branch,Low,Resolved,2025-01-09T15:47:00,2025-01-19T05:47:00,[Mobile banking issue] ผีกด้ายดียูทูบผสมที่ดินรถทัวร์ ,3.0
TCK0000064,CUS0001965,EMP00254,Branch service complaint,Email,Low,In Progress,2024-01-28T22:07:00,,[ATM dispute] ดองถางจัดตลอด ,
TCK0000065,CUS0009836,EMP00181,Loan inquiry,Call Center,Low,In Progress,2024-06-12T08:34:00,,[ATM dispute] จากตัวเมียบูดสม่ำเสมอห่วงใย ,
TCK0000066,CUS0007164,EMP00071,Branch service complaint,Branch,Medium,Resolved,2025-07-29T13:25:00,2025-08-07T23:25:00,[ATM dispute] ก้างเกาหลีผักไข่ครูหม้อแต่ง ,
TCK0000067,CUS0005653,EMP00151,Statement request,Email,Critical,Closed,2025-07-10T21:54:00,2025-07-18T17:54:00,[Loan inquiry] เคเอฟซีสม่ำเสมอบัดนี้กูตัวเมียผ่อ ,1.0
TCK0000068,CUS0003847,EMP00477,Branch service complaint,Branch,Medium,Open,2024-04-03T17:15:00,,[Branch service complaint] รัฐบาลกะละมังรอเข้ารหัสใบไม้ขาดเคิ่งสี ,
TCK0000069,CUS0000011,EMP00157,Account closure,Branch,Medium,Closed,2024-07-17T21:34:00,2024-07-21T11:34:00,[PromptPay issue] ครองตะแกรงทอดมันรถทัวร์ ,2.0
TCK0000070,CUS0001708,EMP00112,Mobile banking issue,Branch,Low,In Progress,2025-05-01T21:17:00,,[Fee inquiry] อดอ่อนหวานดอกไม้ลูกตาสัญญา ,
TCK0000071,CUS0000649,EMP00042,Loan inquiry,Mobile App,High,Closed,2025-09-09T07:09:00,2025-09-18T17:09:00,[Fraud report] เล่มกูกรรมการขนมชั้นโต ,5.0
TCK0000072,CUS0004316,EMP00344,Account closure,Email,Critical,Resolved,2024-07-12T00:10:00,2024-07-19T10:10:00,[Card lost/stolen] ยีราฟซ่อนย่อทำสวนคนไข้ช้าผลัด ,
TCK0000073,CUS0005473,EMP00384,Fee inquiry,LINE OA,Low,Resolved,2025-06-03T08:39:00,2025-06-04T19:39:00,[Account closure] อวัยวะอินสตาแกรมเพลงเคเอฟซีที่ดินเฟซบุ๊กแก ,
TCK0000074,CUS0006290,EMP00335,Branch service complaint,LINE OA,Medium,In Progress,2026-02-25T05:56:00,,[PromptPay issue] ข้าวเจ้าวาดหุ้มใบไม้ครู ,
TCK0000075,CUS0002179,EMP00362,Loan inquiry,Mobile App,High,Open,2024-04-01T07:31:00,,[Card lost/stolen] คู่มัสยิดข้างค่อยขัด ,
TCK0000076,CUS0005859,EMP00474,Mobile banking issue,Branch,Critical,Closed,2026-04-06T07:52:00,2026-04-09T12:52:00,[PromptPay issue] เฉยขุดเมตตาตีนอธิษฐานเย็บครูผัก ,5.0
TCK0000077,CUS0003763,EMP00411,Mobile banking issue,Mobile App,Low,Resolved,2025-07-22T00:38:00,2025-07-25T15:38:00,[Statement request] วิกิพีเดียค่อยเพดานโรงสี ,2.0
TCK0000078,CUS0007654,EMP00027,Fee inquiry,Call Center,High,Closed,2025-11-30T04:29:00,2025-12-01T21:29:00,[Fee inquiry] แกะดูลืมคาวเนื้อร่างกายธาตุนักเรียน ,2.0
TCK0000079,CUS0008884,EMP00332,Mobile banking issue,Email,Critical,Escalated,2025-04-27T10:07:00,,[PromptPay issue] แต่งยูทูบกูพนมมือพ่อ ,
TCK0000080,CUS0006642,EMP00259,Mobile banking issue,Call Center,Medium,Resolved,2024-05-22T09:03:00,2024-05-25T12:03:00,[Loan inquiry] เอสซีบีแหย่นิ่มเสรีนิยมผีก ,
TCK0000081,CUS0001770,EMP00330,Fee inquiry,Call Center,Medium,Open,2024-06-25T15:32:00,,[Mobile banking issue] องค์เสียบเสรีนิยมอิฐ ,
TCK0000082,CUS0006550,EMP00219,Loan inquiry,Branch,Medium,Resolved,2026-04-23T12:28:00,2026-04-27T00:28:00,[Branch service complaint] เขยิบริมเชื้อโรครากข้าวหมูแดง ,4.0
TCK0000083,CUS0008880,EMP00070,Loan inquiry,Branch,Low,Resolved,2025-06-21T16:53:00,2025-06-29T13:53:00,[ATM dispute] ก้างห่อข้าวคะแนน ,
TCK0000084,CUS0002820,EMP00285,Mobile banking issue,LINE OA,Low,Closed,2024-04-05T01:43:00,2024-04-10T01:43:00,[Card lost/stolen] เลี้ยวอายุร่างกายเริ่มกีฬาเห็น ,1.0
TCK0000085,CUS0009521,EMP00161,Fee inquiry,Branch,Medium,In Progress,2025-04-19T00:24:00,,[Loan inquiry] ฟากหมดตับดีรถบัส ,
TCK0000086,CUS0003087,EMP00028,Fee inquiry,Call Center,Medium,Closed,2025-04-15T14:16:00,2025-04-21T05:16:00,[Fraud report] แต่งออนซอนเด๊รถบัส ,5.0
TCK0000087,CUS0007428,EMP00399,Card lost/stolen,LINE OA,High,Resolved,2025-08-14T08:09:00,2025-08-14T12:09:00,[Branch service complaint] สมองแม่มดประสบการณ์หาม้ายใน ,2.0
TCK0000088,CUS0004535,EMP00152,Account closure,Call Center,Critical,Closed,2026-03-04T14:28:00,2026-03-10T08:28:00,[Fraud report] รถโดยสารสุดท้ายยูทูบด้ายกับถางชุดนอนบูชา ,2.0
TCK0000089,CUS0006962,EMP00319,Fee inquiry,Mobile App,Critical,Closed,2025-08-05T13:35:00,2025-08-07T22:35:00,[PromptPay issue] วิชาชีพรถถังอิฐตรวจ ,
TCK0000090,CUS0002775,EMP00296,PromptPay issue,Call Center,High,In Progress,2025-06-26T09:46:00,,[Statement request] เลือกเลือกกิ่งไม้เห็นวังกำ ,
TCK0000091,CUS0000529,EMP00114,PromptPay issue,Mobile App,Critical,Open,2024-03-15T10:17:00,,[Fee inquiry] สถานีขนมชั้นร่างนั่ง ,
TCK0000092,CUS0000927,EMP00045,Fee inquiry,Email,Low,Resolved,2025-06-04T01:08:00,2025-06-12T07:08:00,[Fee inquiry] เชื้อโรคเห็นหน้าต่างหว่านเรียงกับ ,2.0
TCK0000093,CUS0004169,EMP00158,ATM dispute,Branch,High,Closed,2025-04-08T16:09:00,2025-04-11T03:09:00,[Statement request] ขาดเคิ่งวิกิพีเดียขนมกว้างดึก ,4.0
TCK0000094,CUS0006244,EMP00229,ATM dispute,Mobile App,High,Resolved,2025-07-16T06:00:00,2025-07-18T11:00:00,[Statement request] ยาแพ้สหกรณ์กำไหนงมศาสตร์คะแนน ,3.0
TCK0000095,CUS0001276,EMP00498,Card lost/stolen,Mobile App,Low,Resolved,2024-11-06T09:58:00,2024-11-12T15:58:00,[Fraud report] ห่มผ้ากรรมการทำสวนตลอด ,4.0
TCK0000096,CUS0007270,EMP00381,Mobile banking issue,LINE OA,Medium,Closed,2026-01-26T13:52:00,2026-01-31T06:52:00,[Statement request] สหภาพกล่าวรอปี่เริ่มที่ล่อห่วงใย ,5.0
TCK0000097,CUS0002254,EMP00428,Branch service complaint,Email,Critical,Resolved,2026-03-15T23:37:00,2026-03-22T01:37:00,[Card lost/stolen] เยาวชนเศษอาสาห่วงใยในหุ้มกู ,
TCK0000098,CUS0006530,EMP00201,Loan inquiry,Mobile App,Low,Closed,2025-09-25T02:07:00,2025-09-28T15:07:00,[Fraud report] พิการกะเพราทานอวัยวะสถานีหมุนอวัยวะไค้หัน ,
TCK0000099,CUS0007792,EMP00307,Statement request,Mobile App,Medium,In Progress,2024-04-17T16:05:00,,[Fee inquiry] พยาธิอิสลามสหภาพยึดตับทุกข์หยักตู้ ,
TCK0000100,CUS0001693,EMP00288,Branch service complaint,Mobile App,High,Resolved,2024-01-02T09:16:00,2024-01-09T07:16:00,[Statement request] แหย่เพดานแก้วแก้วเฟซบุ๊กสด ,5.0
TCK0000101,CUS0000493,EMP00273,ATM dispute,Call Center,Low,Closed,2024-11-06T07:17:00,2024-11-07T21:17:00,[Statement request] มัสยิดสถานีหนูน้องเชื้อโรค ,3.0
TCK0000102,CUS0008929,EMP00122,Loan inquiry,Call Center,Medium,Open,2025-03-22T08:49:00,,[Mobile banking issue] ตำลึงไค้หันหว่านของหวานคู่เปลืองหมี ,
TCK0000103,CUS0005917,EMP00105,Account closure,Mobile App,Critical,In Progress,2024-01-12T07:03:00,,[Mobile banking issue] มัสยิดลืมคาวสบายชาวนาสำหรับช้า ,
TCK0000104,CUS0006269,EMP00138,Card lost/stolen,LINE OA,Medium,Resolved,2026-03-11T08:25:00,2026-03-16T03:25:00,[Fraud report] สัญญาทอดช้ารัฐบาลกบซอยตู้ ,
TCK0000105,CUS0008114,EMP00138,Account closure,Branch,High,Closed,2025-05-26T06:41:00,2025-05-27T03:41:00,[Loan inquiry] พยาธิร้อนยึดแพ้ตำลึง ,
TCK0000106,CUS0006400,EMP00121,Statement request,Branch,Critical,Closed,2025-08-16T11:23:00,2025-08-25T08:23:00,[Mobile banking issue] รถโดยสารอดกิจกรรมทหารเริ่มร้อนหึงสา ,
TCK0000107,CUS0004100,EMP00144,Card lost/stolen,Call Center,Low,Resolved,2024-12-18T15:33:00,2024-12-25T02:33:00,[Statement request] อินสตาแกรมสีเทากำไรมลายูขุดอินเทอร์เน็ตใหม่ ,4.0
TCK0000108,CUS0003440,EMP00262,Loan inquiry,Email,High,Open,2025-12-12T05:23:00,,[Branch service complaint] มลายูเรื่อยผิดเห็นช้าสาธารณรัฐ ,
TCK0000109,CUS0005511,EMP00008,Mobile banking issue,LINE OA,Medium,Resolved,2024-02-17T08:27:00,2024-02-18T04:27:00,[Account closure] สัญญาต้นงมเช้าแลกของหวานหนุน ,2.0
TCK0000110,CUS0005707,EMP00169,PromptPay issue,LINE OA,Medium,In Progress,2025-04-01T03:35:00,,[Fee inquiry] รู้จักยึดพนมมือค่อยหมัดล่อ ,
TCK0000111,CUS0008977,EMP00424,ATM dispute,LINE OA,Medium,Open,2026-04-11T04:47:00,,[Fee inquiry] โตกูเกิลเตียนชาวรสชาติเงา ,
TCK0000112,CUS0004317,EMP00433,PromptPay issue,Email,Low,Resolved,2024-08-23T03:13:00,2024-08-27T06:13:00,[Fee inquiry] สนองเยอะพ่อได้แก่มัสยิดเชื้อโรคงมหมอก ,2.0
TCK0000113,CUS0007598,EMP00363,Loan inquiry,Branch,High,Open,2024-03-29T04:24:00,,[PromptPay issue] ซี่ก้างออนซอนเด๊ฝาก ,
TCK0000114,CUS0009524,EMP00386,Mobile banking issue,Mobile App,Medium,Escalated,2025-11-12T12:50:00,,[Account closure] โง่เรียงเพลงแก่ ,
TCK0000115,CUS0003358,EMP00077,ATM dispute,Mobile App,Critical,Escalated,2025-07-27T03:19:00,,[Mobile banking issue] หล่นเมตตานักเรียนควรฝากลืมคาวพักผ่อนอินสตาแกรม ,
TCK0000116,CUS0007853,EMP00408,Account closure,Mobile App,Low,Open,2024-01-09T18:24:00,,[ATM dispute] ทานเยอะย่อห้องเรียนหรือรังแก ,
TCK0000117,CUS0002547,EMP00466,Loan inquiry,Email,Low,In Progress,2026-01-28T05:52:00,,[Account closure] เสียบกูเกิลองค์หนูตื่น ,
TCK0000118,CUS0001229,EMP00421,Statement request,LINE OA,Critical,In Progress,2025-09-29T03:39:00,,[ATM dispute] นั่งเชื่อมแจ่มใสขี้ดิน ,
TCK0000119,CUS0003551,EMP00325,Mobile banking issue,Mobile App,High,In Progress,2024-06-22T00:20:00,,[ATM dispute] เทเลแกรมตั้งแต่เพราะเยาวชนพิพักพิพ่วนกลางคืนรู้จักตัวเมีย ,
TCK0000120,CUS0001443,EMP00266,Fraud report,Mobile App,Low,Resolved,2024-09-16T07:45:00,2024-09-20T08:45:00,[Fee inquiry] ซี่ดึกแปรง ,
TCK0000121,CUS0004035,EMP00396,PromptPay issue,LINE OA,Medium,Closed,2024-11-01T16:13:00,2024-11-08T12:13:00,[Fraud report] กลางขนมร่างกายเลี้ยว ,1.0
TCK0000122,CUS0009903,EMP00398,PromptPay issue,Branch,Medium,Open,2024-06-29T22:46:00,,[ATM dispute] ชาวทุกข์ปูกำไรสารวัตรแก้ทุ่มขุด ,
TCK0000123,CUS0001118,EMP00238,Loan inquiry,Branch,Medium,Resolved,2024-06-03T17:12:00,2024-06-10T17:12:00,[Loan inquiry] ล่อพับตลอดอนุบาลวาดเพราะกิน ,5.0
TCK0000124,CUS0000927,EMP00198,ATM dispute,LINE OA,Critical,Resolved,2024-01-12T18:56:00,2024-01-22T16:56:00,[Statement request] ตำลึงมิตรบูชารถทัวร์ ,4.0
TCK0000125,CUS0003571,EMP00242,ATM dispute,Email,Critical,Closed,2025-03-11T23:20:00,2025-03-12T14:20:00,[Branch service complaint] บันไดหมดเย็นนั่งเทเลแกรม ,
TCK0000126,CUS0003494,EMP00164,Fee inquiry,Mobile App,High,Closed,2024-08-25T08:01:00,2024-08-27T21:01:00,[Statement request] สัญญาที่กู ,5.0
TCK0000127,CUS0000878,EMP00099,Account closure,Call Center,High,Resolved,2024-11-03T23:01:00,2024-11-11T22:01:00,[Mobile banking issue] เดี่ยวกำนักเรียนยึด ,1.0
TCK0000128,CUS0004918,EMP00047,Account closure,Email,Low,In Progress,2024-05-07T18:41:00,,[PromptPay issue] ฝากเรียงดาวเทียมดู ,
TCK0000129,CUS0009679,EMP00394,PromptPay issue,Branch,High,Resolved,2025-10-15T08:15:00,2025-10-22T03:15:00,[Account closure] สีห่มผ้าตั้งแต่พักผ่อน ,
TCK0000130,CUS0004049,EMP00119,Mobile banking issue,Call Center,Low,Closed,2025-02-27T04:24:00,2025-03-01T08:24:00,[Mobile banking issue] รัฐประหารแต่งรู้จักชาวแรก ,5.0
TCK0000131,CUS0007638,EMP00408,PromptPay issue,Call Center,Critical,Open,2024-08-12T04:17:00,,[Statement request] ไอศกรีมเชื่อคนไข้เนื้อ ,
TCK0000132,CUS0004166,EMP00310,Card lost/stolen,Mobile App,Low,Resolved,2024-06-09T14:06:00,2024-06-10T03:06:00,[PromptPay issue] เย็นแพ้ขี่หน้าที่หล่นสด ,
TCK0000133,CUS0007564,EMP00206,Mobile banking issue,Mobile App,High,Resolved,2024-06-13T07:56:00,2024-06-20T07:56:00,[Card lost/stolen] วังสุดท้ายเรียงก้างรสชาติกล่าว ,5.0
TCK0000134,CUS0009428,EMP00304,Branch service complaint,Mobile App,Medium,Closed,2024-02-15T23:21:00,2024-02-22T13:21:00,[Loan inquiry] แท็บลอยด์เศษปิ่นโตดูน้าไข่คาว ,3.0
TCK0000135,CUS0001138,EMP00328,PromptPay issue,Call Center,Critical,Resolved,2025-10-20T15:40:00,2025-10-24T23:40:00,[PromptPay issue] หว่านสารวัตรคอมมิวนิสต์สุดท้ายหมอกกล่อง ,5.0
TCK0000136,CUS0002607,EMP00005,ATM dispute,Mobile App,High,In Progress,2024-12-15T12:04:00,,[PromptPay issue] ข้าววินโดวส์ผลัดถึงขี่บอกใบ้ย่อ ,
