history_id,customer_id,segment_id,valid_from,valid_to,is_current
CSH0000042,CUS0000042,SEG-MAFF,2020-07-21,,True
CSH0000043,CUS0000043,SEG-AFFL,2025-08-03,,True
CSH0000044,CUS0000044,SEG-AFFL,2021-12-11,,True
CSH0000045,CUS0000045,SEG-CORP,2021-08-26,,True
CSH0000046,CUS0000046,SEG-MASS,2020-11-06,,True
CSH0000047,CUS0000047,SEG-AFFL,2019-02-26,,True
CSH0000048,CUS0000048,SEG-SME,2020-10-22,,True
CSH0000049,CUS0000049,SEG-MASS,2022-11-02,,True
CSH0000050,CUS0000050,SEG-MAFF,2018-04-01,,True
CSH0000051,CUS0000051,SEG-CORP,2019-09-30,,True
CSH0000052,CUS0000052,SEG-MASS,2023-01-03,,True
CSH0000053,CUS0000053,SEG-MAFF,2023-01-30,,True
CSH0000054,CUS0000054,SEG-MASS,2024-07-31,,True
CSH0000055,CUS0000055,SEG-SME,2023-06-14,,True
CSH0000056,CUS0000056,SEG-MAFF,2020-07-09,,True
CSH0000057,CUS0000057,SEG-MASS,2019-08-25,,True
CSH0000058,CUS0000058,SEG-MAFF,2021-09-21,,True
CSH0000059,CUS0000059,SEG-MASS,2021-01-12,,True
CSH0000060,CUS0000060,SEG-MASS,2022-10-26,,True
CSH0000061,CUS0000061,SEG-CORP,2025-10-20,,True
CSH0000062,CUS0000062,SEG-CORP,2024-06-27,,True
CSH0000063,CUS0000063,SEG-AFFL,2020-03-25,,True
CSH0000064,CUS0000064,SEG-AFFL,2020-10-17,,True
CSH0000065,CUS0000065,SEG-PRIV,2019-09-01,,True
CSH0000066,CUS0000066,SEG-PRIV,2023-02-28,,True
CSH0000067,CUS0000067,SEG-CORP,2024-06-06,,True
CSH0000068,CUS0000068,SEG-AFFL,2018-02-08,,True
CSH0000069,CUS0000069,SEG-CORP,2018-03-26,,True
CSH0000070,CUS0000070,SEG-PRIV,2023-07-03,,True
CSH0000071,CUS0000071,SEG-AFFL,2022-08-06,,True
CSH0000072,CUS0000072,SEG-CORP,2024-12-27,,True
CSH0000073,CUS0000073,SEG-MASS,2021-05-29,,True
CSH0000074,CUS0000074,SEG-MASS,2021-09-01,,True
CSH0000075,CUS0000075,SEG-MAFF,2019-09-12,,True
CSH0000076,CUS0000076,SEG-AFFL,2018-06-30,,True
CSH0000077,CUS0000077,SEG-AFFL,2022-01-18,,True
CSH0000078,CUS0000078,SEG-MASS,2026-04-04,,True
CSH0000079,CUS0000079,SEG-PRIV,2023-03-24,,True
CSH0000080,CUS0000080,SEG-MAFF,2022-07-28,,True
CSH0000081,CUS0000081,SEG-MASS,2022-07-30,,True
CSH0000082,CUS0000082,SEG-AFFL,2022-12-21,,True
CSH0000083,CUS0000083,SEG-MAFF,2024-11-04,,True
CSH0000084,CUS0000084,SEG-MASS,2020-12-21,,True
CSH0000085,CUS0000085,SEG-MASS,2018-03-16,,True
CSH0000086,CUS0000086,SEG-AFFL,2023-02-16,,True
CSH0000087,CUS0000087,SEG-MAFF,2025-10-26,,True
CSH0000088,CUS0000088,SEG-MAFF,2021-06-14,,True
CSH0000089,CUS0000089,SEG-MASS,2022-03-25,,True
CSH0000090,CUS0000090,SEG-MAFF,2018-05-30,,True
CSH0000091,CUS0000091,SEG-MAFF,2025-12-11,,True
CSH0000092,CUS0000092,SEG-MAFF,2019-03-20,,True
CSH0000093,CUS0000093,SEG-AFFL,2024-06-22,,True
CSH0000094,CUS0000094,SEG-SME,2023-04-17,,True
CSH0000095,CUS0000095,SEG-PRIV,2022-02-15,,True
CSH0000096,CUS0000096,SEG-AFFL,2022-07-30,,True
CSH0000097,CUS0000097,SEG-PRIV,2024-05-22,,True
CSH0000098,CUS0000098,SEG-PRIV,2020-11-22,,True
CSH0000099,CUS0000099,SEG-MASS,2026-03-31,,True
CSH0000100,CUS0000100,SEG-MASS,2020-12-23,,True
CSH0000101,CUS0000101,SEG-MASS,2018-08-13,,True
CSH0000102,CUS0000102,SEG-MASS,2022-08-03,,True
CSH0000103,CUS0000103,SEG-MAFF,2025-02-16,,True
CSH0000104,CUS0000104,SEG-MAFF,2024-05-23,,True
CSH0000105,CUS0000105,SEG-MASS,2019-09-13,,True
CSH0000106,CUS0000106,SEG-AFFL,2024-09-20,,True
CSH0000107,CUS0000107,SEG-AFFL,2022-10-15,,True
CSH0000108,CUS0000108,SEG-MAFF,2018-04-10,,True
CSH0000109,CUS0000109,SEG-AFFL,2022-03-07,,True
CSH0000110,CUS0000110,SEG-MASS,2018-11-27,,True
CSH0000111,CUS0000111,SEG-MAFF,2022-10-29,,True
CSH0000112,CUS0000112,SEG-AFFL,2023-06-11,,True
CSH0000113,CUS0000113,SEG-AFFL,2020-04-06,,True
CSH0000114,CUS0000114,SEG-SME,2018-06-24,,True
CSH0000115,CUS0000115,SEG-MAFF,2022-06-02,,True
CSH0000116,CUS0000116,SEG-MASS,2024-11-12,,True
CSH0000117,CUS0000117,SEG-MAFF,2023-06-15,,True
CSH0000118,CUS0000118,SEG-MAFF,2021-09-22,,True
CSH0000119,CUS0000119,SEG-MASS,2021-09-04,,True
CSH0000120,CUS0000120,SEG-CORP,2023-08-12,,True
CSH0000121,CUS0000121,SEG-AFFL,2022-10-16,,True
CSH0000122,CUS0000122,SEG-MAFF,2021-03-30,,True
CSH0000123,CUS0000123,SEG-PRIV,2025-09-05,,True
CSH0000124,CUS0000124,SEG-MASS,2018-09-23,,True
CSH0000125,CUS0000125,SEG-MASS,2021-01-10,,True
CSH0000126,CUS0000126,SEG-AFFL,2020-10-24,,True
CSH0000127,CUS0000127,SEG-MASS,2018-02-03,,True
CSH0000128,CUS0000128,SEG-MAFF,2020-11-10,,True
CSH0000129,CUS0000129,SEG-MASS,2020-01-08,,True
CSH0000130,CUS0000130,SEG-AFFL,2025-02-17,,True
CSH0000131,CUS0000131,SEG-MAFF,2023-11-28,,True
CSH0000132,CUS0000132,SEG-AFFL,2023-03-16,,True
CSH0000133,CUS0000133,SEG-MAFF,2023-03-25,,True
CSH0000134,CUS0000134,SEG-CORP,2022-06-10,,True
CSH0000135,CUS0000135,SEG-MASS,2024-02-18,,True
CSH0000136,CUS0000136,SEG-PRIV,2020-12-11,,True
CSH0000137,CUS0000137,SEG-CORP,2019-02-09,,True
CSH0000138,CUS0000138,SEG-AFFL,2018-01-03,,True
CSH0000139,CUS0000139,SEG-MASS,2023-05-15,,True
CSH0000140,CUS0000140,SEG-MASS,2021-02-04,,True
CSH0000141,CUS0000141,SEG-MASS,2018-08-18,,True
CSH0000142,CUS0000142,SEG-MAFF,2020-10-11,,True
CSH0000143,CUS0000143,SEG-AFFL,2023-09-02,,True
CSH0000144,CUS0000144,SEG-SME,2025-03-05,,True
CSH0000145,CUS0000145,SEG-MASS,2025-05-13,,True
CSH0000146,CUS0000146,SEG-MAFF,2018-11-05,,True
CSH0000147,CUS0000147,SEG-MASS,2025-09-20,,True
CSH0000148,CUS0000148,SEG-MASS,2021-01-15,,True
CSH0000149,CUS0000149,SEG-MASS,2022-08-22,,True
CSH0000150,CUS0000150,SEG-PRIV,2022-06-21,,True
CSH0000151,CUS0000151,SEG-PRIV,2020-11-30,,True
CSH0000152,CUS0000152,SEG-SME,2025-03-06,,True
CSH0000153,CUS0000153,SEG-PRIV,2020-04-05,,True
CSH0000154,CUS0000154,SEG-MAFF,2021-07-05,,True
CSH0000155,CUS0000155,SEG-MAFF,2021-08-20,,True
CSH0000156,CUS0000156,SEG-SME,2019-12-19,,True
CSH0000157,CUS0000157,SEG-MASS,2021-08-16,,True
CSH0000158,CUS0000158,SEG-MASS,2024-01-25,,True
CSH0000159,CUS0000159,SEG-AFFL,2020-05-04,,True
CSH0000160,CUS0000160,SEG-CORP,2019-07-08,,True
CSH0000161,CUS0000161,SEG-SME,2022-01-12,,True
CSH0000162,CUS0000162,SEG-MASS,2024-01-21,,True
CSH0000163,CUS0000163,SEG-AFFL,2020-09-02,,True
CSH0000164,CUS0000164,SEG-AFFL,2026-03-23,,True
CSH0000165,CUS0000165,SEG-AFFL,2020-05-08,,True
CSH0000166,CUS0000166,SEG-PRIV,2018-02-08,,True
CSH0000167,CUS0000167,SEG-PRIV,2020-11-28,,True
CSH0000168,CUS0000168,SEG-CORP,2019-03-07,,True
CSH0000169,CUS0000169,SEG-CORP,2023-06-12,,True
CSH0000170,CUS0000170,SEG-AFFL,2019-08-19,,True
CSH0000171,CUS0000171,SEG-CORP,2022-07-20,,True
CSH0000172,CUS0000172,SEG-AFFL,2020-03-08,,True
CSH0000173,CUS0000173,SEG-MASS,2021-05-21,,True
CSH0000174,CUS0000174,SEG-MASS,2019-10-04,,True
CSH0000175,CUS0000175,SEG-AFFL,2020-02-02,,True
CSH0000176,CUS0000176,SEG-PRIV,2025-03-25,,True
CSH0000177,CUS0000177,SEG-MAFF,2023-12-03,,True
CSH0000178,CUS0000178,SEG-MAFF,2023-03-08,,True
CSH0000179,CUS0000179,SEG-SME,2019-10-09,,True
CSH0000180,CUS0000180,SEG-AFFL,2022-06-08,,True
CSH0000181,CUS0000181,SEG-MAFF,2019-08-18,,True
CSH0000182,CUS0000182,SEG-MAFF,2025-01-27,,True
CSH0000183,CUS0000183,SEG-AFFL,2023-09-04,,True
CSH0000184,CUS0000184,SEG-MAFF,2025-11-19,,True
CSH0000185,CUS0000185,SEG-MAFF,2021-10-17,,True
CSH0000186,CUS0000186,SEG-MASS,2023-11-28,,True
CSH0000187,CUS0000187,SEG-MAFF,2026-01-13,,True
CSH0000188,CUS0000188,SEG-MASS,2019-10-05,,True
CSH0000189,CUS0000189,SEG-PRIV,2024-01-27,,True
CSH0000190,CUS0000190,SEG-MASS,2022-07-27,,True
CSH0000191,CUS0000191,SEG-AFFL,2026-02-01,,True
CSH0000192,CUS0000192,SEG-CORP,2021-06-04,,True
CSH0000193,CUS0000193,SEG-AFFL,2018-07-05,,True
CSH0000194,CUS0000194,SEG-MAFF,2021-05-11,,True
CSH0000195,CUS0000195,SEG-CORP,2023-10-03,,True
CSH0000196,CUS0000196,SEG-MAFF,2025-03-12,,True
CSH0000197,CUS0000197,SEG-MASS,2026-02-24,,True
CSH0000198,CUS0000198,SEG-MAFF,2018-09-04,,True
CSH0000199,CUS0000199,SEG-MAFF,2023-03-11,,True
CSH0000200,CUS0000200,SEG-AFFL,2023-03-15,,True
CSH0000201,CUS0000201,SEG-MAFF,2022-03-15,,True
CSH0000202,CUS0000202,SEG-MASS,2024-04-15,,True
CSH0000203,CUS0000203,SEG-PRIV,2022-01-20,,True
CSH0000204,CUS0000204,SEG-SME,2019-04-30,,True
CSH0000205,CUS0000205,SEG-PRIV,2021-05-17,,True
CSH0000206,CUS0000206,SEG-AFFL,2026-03-07,,True
CSH0000207,CUS0000207,SEG-SME,2023-04-02,,True
CSH0000208,CUS0000208,SEG-SME,2022-05-04,,True
CSH0000209,CUS0000209,SEG-MAFF,2020-09-20,,True
CSH0000210,CUS0000210,SEG-MASS,2018-02-01,,True
CSH0000211,CUS0000211,SEG-MAFF,2020-05-06,,True
CSH0000212,CUS0000212,SEG-AFFL,2022-11-14,,True
CSH0000213,CUS0000213,SEG-MASS,2018-07-25,,True
CSH0000214,CUS0000214,SEG-MASS,2020-07-31,,True
CSH0000215,CUS0000215,SEG-AFFL,2021-04-23,,True
CSH0000216,CUS0000216,SEG-SME,2023-05-04,,True
CSH0000217,CUS0000217,SEG-CORP,2022-09-18,,True
CSH0000218,CUS0000218,SEG-SME,2021-11-24,,True
CSH0000219,CUS0000219,SEG-SME,2023-10-02,,True
CSH0000220,CUS0000220,SEG-PRIV,2023-12-21,,True
CSH0000221,CUS0000221,SEG-MASS,2025-07-07,,True
CSH0000222,CUS0000222,SEG-MASS,2024-10-19,,True
CSH0000223,CUS0000223,SEG-MAFF,2022-02-08,,True
CSH0000224,CUS0000224,SEG-SME,2022-06-25,,True
CSH0000225,CUS0000225,SEG-PRIV,2021-05-11,,True
CSH0000226,CUS0000226,SEG-AFFL,2021-01-05,,True
CSH0000227,CUS0000227,SEG-MAFF,2021-09-19,,True
CSH0000228,CUS0000228,SEG-CORP,2018-08-15,,True
CSH0000229,CUS0000229,SEG-CORP,2023-02-23,,True
CSH0000230,CUS0000230,SEG-MAFF,2022-05-31,,True
CSH0000231,CUS0000231,SEG-AFFL,2021-11-03,,True
CSH0000232,CUS0000232,SEG-MAFF,2022-05-04,,True
CSH0000233,CUS0000233,SEG-AFFL,2018-09-10,,True
CSH0000234,CUS0000234,SEG-PRIV,2020-02-03,,True
CSH0000235,CUS0000235,SEG-MAFF,2022-04-14,,True
CSH0000236,CUS0000236,SEG-MASS,2023-01-23,,True
CSH0000237,CUS0000237,SEG-MAFF,2019-08-06,,True
CSH0000238,CUS0000238,SEG-MASS,2019-10-30,,True
CSH0000239,CUS0000239,SEG-MAFF,2018-10-01,,True
CSH0000240,CUS0000240,SEG-AFFL,2021-07-26,,True
CSH0000241,CUS0000241,SEG-SME,2023-12-16,,True
CSH0000242,CUS0000242,SEG-AFFL,2022-09-11,,True
CSH0000243,CUS0000243,SEG-MASS,2020-09-18,,True
CSH0000244,CUS0000244,SEG-MAFF,2025-04-26,,True
CSH0000245,CUS0000245,SEG-PRIV,2020-09-08,,True
CSH0000246,CUS0000246,SEG-MAFF,2020-06-21,,True
CSH0000247,CUS0000247,SEG-SME,2020-04-13,,True
CSH0000248,CUS0000248,SEG-MAFF,2019-12-16,,True
CSH0000249,CUS0000249,SEG-PRIV,2021-10-17,,True
CSH0000250,CUS0000250,SEG-MAFF,2022-11-16,,True
CSH0000251,CUS0000251,SEG-AFFL,2022-06-11,,True
CSH0000252,CUS0000252,SEG-MAFF,2024-05-02,,True
CSH0000253,CUS0000253,SEG-AFFL,2023-05-31,,True
CSH0000254,CUS0000254,SEG-AFFL,2026-04-16,,True
CSH0000255,CUS0000255,SEG-SME,2025-03-27,,True
CSH0000256,CUS0000256,SEG-MAFF,2021-03-20,,True
CSH0000257,CUS0000257,SEG-PRIV,2022-12-03,,True
CSH0000258,CUS0000258,SEG-MAFF,2019-09-22,,True
CSH0000259,CUS0000259,SEG-SME,2020-09-17,,True
CSH0000260,CUS0000260,SEG-MASS,2019-12-26,,True
CSH0000261,CUS0000261,SEG-MAFF,2021-01-28,,True
CSH0000262,CUS0000262,SEG-MASS,2024-09-20,,True
CSH0000263,CUS0000263,SEG-MAFF,2020-02-10,,True
CSH0000264,CUS0000264,SEG-AFFL,2019-02-28,,True
CSH0000265,CUS0000265,SEG-MAFF,2018-02-13,,True
CSH0000266,CUS0000266,SEG-MASS,2019-08-14,,True
CSH0000267,CUS0000267,SEG-MAFF,2022-09-09,,True
CSH0000268,CUS0000268,SEG-AFFL,2018-08-31,,True
CSH0000269,CUS0000269,SEG-CORP,2024-09-09,,True
CSH0000270,CUS0000270,SEG-SME,2022-12-01,,True
CSH0000271,CUS0000271,SEG-AFFL,2020-04-19,,True
CSH0000272,CUS0000272,SEG-SME,2022-09-08,,True
CSH0000273,CUS0000273,SEG-AFFL,2023-09-19,,True
CSH0000274,CUS0000274,SEG-MASS,2019-06-10,,True
CSH0000275,CUS0000275,SEG-MAFF,2020-07-02,,True
CSH0000276,CUS0000276,SEG-MASS,2021-02-16,,True
CSH0000277,CUS0000277,SEG-SME,2023-11-01,,True
CSH0000278,CUS0000278,SEG-MASS,2022-03-14,,True
CSH0000279,CUS0000279,SEG-AFFL,2025-10-27,,True
CSH0000280,CUS0000280,SEG-MAFF,2019-09-17,,True
CSH0000281,CUS0000281,SEG-MAFF,2021-11-12,,True
CSH0000282,CUS0000282,SEG-AFFL,2020-10-20,,True
CSH0000283,CUS0000283,SEG-MASS,2019-02-08,,True
CSH0000284,CUS0000284,SEG-MASS,2021-07-07,,True
CSH0000285,CUS0000285,SEG-SME,2018-05-02,,True
CSH0000286,CUS0000286,SEG-MASS,2019-10-07,,True
CSH0000287,CUS0000287,SEG-AFFL,2024-08-26,,True
CSH0000288,CUS0000288,SEG-MAFF,2024-03-21,,True
CSH0000289,CUS0000289,SEG-MASS,2023-06-09,,True
CSH0000290,CUS0000290,SEG-MAFF,2025-11-28,,True
CSH0000291,CUS0000291,SEG-MASS,2022-09-05,,True
CSH0000292,CUS0000292,SEG-PRIV,2026-03-06,,True
CSH0000293,CUS0000293,SEG-SME,2019-02-09,,True
CSH0000294,CUS0000294,SEG-AFFL,2025-04-20,,True
CSH0000295,CUS0000295,SEG-MAFF,2022-07-04,,True
CSH0000296,CUS0000296,SEG-MAFF,2020-12-11,,True
CSH0000297,CUS0000297,SEG-MAFF,2025-09-11,,True
CSH0000298,CUS0000298,SEG-MASS,2018-12-25,,True
CSH0000299,CUS0000299,SEG-MAFF,2025-10-09,,True
CSH0000300,CUS0000300,SEG-MAFF,2018-07-20,,True
CSH0000301,CUS0000301,SEG-MAFF,2021-09-09,,True
CSH0000302,CUS0000302,SEG-MAFF,2019-09-07,,True
CSH0000303,CUS0000303,SEG-AFFL,2021-12-24,,True
CSH0000304,CUS0000304,SEG-MASS,2018-12-15,,True
CSH0000305,CUS0000305,SEG-AFFL,2023-09-28,,True
CSH0000306,CUS0000306,SEG-MASS,2018-12-07,,True
CSH0000307,CUS0000307,SEG-MASS,2026-02-20,,True
CSH0000308,CUS0000308,SEG-AFFL,2026-04-22,,True
CSH0000309,CUS0000309,SEG-AFFL,2018-07-31,,True
CSH0000310,CUS0000310,SEG-MASS,2018-01-22,,True
CSH0000311,CUS0000311,SEG-AFFL,2022-06-19,,True
CSH0000312,CUS0000312,SEG-MAFF,2022-05-21,,True
CSH0000313,CUS0000313,SEG-MAFF,2021-05-08,,True
CSH0000314,CUS0000314,SEG-MAFF,2020-01-20,,True
CSH0000315,CUS0000315,SEG-MAFF,2018-03-14,,True
CSH0000316,CUS0000316,SEG-MAFF,2024-11-26,,True
CSH0000317,CUS0000317,SEG-MAFF,2023-02-28,,True
CSH0000318,CUS0000318,SEG-MASS,2022-01-13,,True
CSH0000319,CUS0000319,SEG-MAFF,2026-02-07,,True
CSH0000320,CUS0000320,SEG-MASS,2022-06-01,,True
CSH0000321,CUS0000321,SEG-MASS,2026-03-22,,True
CSH0000322,CUS0000322,SEG-MAFF,2018-03-08,,True
CSH0000323,CUS0000323,SEG-AFFL,2018-01-07,,True
CSH0000324,CUS0000324,SEG-CORP,2021-09-08,,True
CSH0000325,CUS0000325,SEG-MASS,2024-07-08,,True
CSH0000326,CUS0000326,SEG-AFFL,2019-12-04,,True
CSH0000327,CUS0000327,SEG-MASS,2019-10-16,,True
CSH0000328,CUS0000328,SEG-SME,2021-03-24,,True
CSH0000329,CUS0000329,SEG-MAFF,2020-07-12,,True
CSH0000330,CUS0000330,SEG-MAFF,2020-07-19,,True
CSH0000331,CUS0000331,SEG-MAFF,2023-12-30,,True
CSH0000332,CUS0000332,SEG-AFFL,2023-04-05,,True
CSH0000333,CUS0000333,SEG-MAFF,2025-12-02,,True
CSH0000334,CUS0000334,SEG-AFFL,2023-05-11,,True
CSH0000335,CUS0000335,SEG-MASS,2018-05-30,,True
CSH0000336,CUS0000336,SEG-AFFL,2022-08-14,,True
CSH0000337,CUS0000337,SEG-PRIV,2024-12-22,,True
CSH0000338,CUS0000338,SEG-PRIV,2018-05-21,,True
CSH0000339,CUS0000339,SEG-MAFF,2020-09-09,,True
CSH0000340,CUS0000340,SEG-AFFL,2019-10-24,,True
CSH0000341,CUS0000341,SEG-MAFF,2023-07-21,,True
CSH0000342,CUS0000342,SEG-MAFF,2022-01-24,,True
CSH0000343,CUS0000343,SEG-AFFL,2026-02-11,,True
CSH0000344,CUS0000344,SEG-MASS,2020-05-27,,True
CSH0000345,CUS0000345,SEG-MAFF,2025-05-07,,True
CSH0000346,CUS0000346,SEG-AFFL,2019-07-06,,True
CSH0000347,CUS0000347,SEG-AFFL,2021-11-08,,True
CSH0000348,CUS0000348,SEG-AFFL,2018-01-06,,True
CSH0000349,CUS0000349,SEG-AFFL,2018-05-07,,True
CSH0000350,CUS0000350,SEG-MAFF,2022-04-06,,True
CSH0000351,CUS0000351,SEG-AFFL,2023-12-30,,True
CSH0000352,CUS0000352,SEG-MAFF,2024-03-11,,True
CSH0000353,CUS0000353,SEG-SME,2023-03-16,,True
CSH0000354,CUS0000354,SEG-MAFF,2020-03-18,,True
CSH0000355,CUS0000355,SEG-SME,2024-07-29,,True
CSH0000356,CUS0000356,SEG-AFFL,2019-10-27,,True
CSH0000357,CUS0000357,SEG-MAFF,2026-03-01,,True
CSH0000358,CUS0000358,SEG-AFFL,2021-01-16,,True
CSH0000359,CUS0000359,SEG-MAFF,2024-02-16,,True
CSH0000360,CUS0000360,SEG-MAFF,2018-11-10,,True
CSH0000361,CUS0000361,SEG-AFFL,2020-09-14,,True
CSH0000362,CUS0000362,SEG-MAFF,2025-04-26,,True
CSH0000363,CUS0000363,SEG-MASS,2025-11-29,,True
CSH0000364,CUS0000364,SEG-MASS,2025-07-28,,True
CSH0000365,CUS0000365,SEG-PRIV,2020-06-30,,True
CSH0000366,CUS0000366,SEG-SME,2022-09-14,,True
CSH0000367,CUS0000367,SEG-CORP,2020-09-26,,True
CSH0000368,CUS0000368,SEG-AFFL,2019-10-06,,True
CSH0000369,CUS0000369,SEG-CORP,2023-11-15,,True
CSH0000370,CUS0000370,SEG-AFFL,2019-02-03,,True
CSH0000371,CUS0000371,SEG-SME,2018-12-12,,True
CSH0000372,CUS0000372,SEG-PRIV,2020-09-23,,True
CSH0000373,CUS0000373,SEG-SME,2024-03-20,,True
CSH0000374,CUS0000374,SEG-AFFL,2018-04-05,,True
CSH0000375,CUS0000375,SEG-MAFF,2021-08-11,,True
CSH0000376,CUS0000376,SEG-PRIV,2021-12-18,,True
CSH0000377,CUS0000377,SEG-CORP,2021-02-19,,True
CSH0000378,CUS0000378,SEG-MAFF,2022-07-20,,True
CSH0000379,CUS0000379,SEG-MASS,2019-06-05,,True
CSH0000380,CUS0000380,SEG-AFFL,2024-05-15,,True
CSH0000381,CUS0000381,SEG-AFFL,2020-11-01,,True
CSH0000382,CUS0000382,SEG-MASS,2026-04-05,,True
CSH0000383,CUS0000383,SEG-AFFL,2020-08-04,,True
CSH0000384,CUS0000384,SEG-MAFF,2022-04-18,,True
CSH0000385,CUS0000385,SEG-PRIV,2020-06-30,,True
CSH0000386,CUS0000386,SEG-MASS,2022-01-01,,True
CSH0000387,CUS0000387,SEG-MAFF,2020-12-19,,True
CSH0000388,CUS0000388,SEG-AFFL,2021-01-24,,True
CSH0000389,CUS0000389,SEG-MASS,2025-02-07,,True
CSH0000390,CUS0000390,SEG-AFFL,2023-05-14,,True
CSH0000391,CUS0000391,SEG-CORP,2021-12-21,,True
CSH0000392,CUS0000392,SEG-CORP,2023-12-20,,True
CSH0000393,CUS0000393,SEG-AFFL,2025-11-21,,True
CSH0000394,CUS0000394,SEG-AFFL,2024-09-12,,True
CSH0000395,CUS0000395,SEG-PRIV,2020-02-01,,True
CSH0000396,CUS0000396,SEG-AFFL,2018-03-22,,True
CSH0000397,CUS0000397,SEG-MAFF,2023-07-27,,True
CSH0000398,CUS0000398,SEG-MASS,2023-05-31,,True
CSH0000399,CUS0000399,SEG-MAFF,2026-01-07,,True
CSH0000400,CUS0000400,SEG-MAFF,2024-05-19,,True
CSH0000401,CUS0000401,SEG-MAFF,2025-11-14,,True
CSH0000402,CUS0000402,SEG-AFFL,2021-09-11,,True
CSH0000403,CUS0000403,SEG-MAFF,2022-06-30,,True
CSH0000404,CUS0000404,SEG-AFFL,2020-04-13,,True
CSH0000405,CUS0000405,SEG-AFFL,2020-01-24,,True
CSH0000406,CUS0000406,SEG-MAFF,2019-09-06,,True
CSH0000407,CUS0000407,SEG-MASS,2024-06-08,,True
CSH0000408,CUS0000408,SEG-PRIV,2019-04-24,,True
CSH0000409,CUS0000409,SEG-MAFF,2021-07-10,,True
CSH0000410,CUS0000410,SEG-MAFF,2020-06-19,,True
CSH0000411,CUS0000411,SEG-PRIV,2022-03-05,,True
CSH0000412,CUS0000412,SEG-PRIV,2018-12-12,,True
CSH0000413,CUS0000413,SEG-PRIV,2021-06-01,,True
CSH0000414,CUS0000414,SEG-AFFL,2021-03-02,,True
CSH0000415,CUS0000415,SEG-AFFL,2020-11-29,,True
CSH0000416,CUS0000416,SEG-MAFF,2022-09-08,,True
CSH0000417,CUS0000417,SEG-MAFF,2019-10-16,,True
CSH0000418,CUS0000418,SEG-MAFF,2019-12-15,,True
CSH0000419,CUS0000419,SEG-MASS,2024-09-02,,True
CSH0000420,CUS0000420,SEG-MAFF,2025-05-08,,True
CSH0000421,CUS0000421,SEG-PRIV,2025-12-23,,True
CSH0000422,CUS0000422,SEG-AFFL,2025-10-08,,True
CSH0000423,CUS0000423,SEG-MASS,2024-05-30,,True
CSH0000424,CUS0000424,SEG-MASS,2018-06-01,,True
CSH0000425,CUS0000425,SEG-MAFF,2023-07-09,,True
CSH0000426,CUS0000426,SEG-MASS,2019-06-15,,True
CSH0000427,CUS0000427,SEG-SME,2021-02-04,,True
CSH0000428,CUS0000428,SEG-MAFF,2025-05-13,,True
