fd_id,customer_id,product_id,branch_id,principal_thb,interest_rate_pct,term_months,start_date,maturity_date,auto_rollover,status
FD0000027,CUS0002491,PRD-FD01,BR0040,2072772.1,1.98,6,2024-06-10,2024-12-07,False,Active
FD0000028,CUS0005826,PRD-FD01,BR0011,3683632.2,1.46,6,2023-09-21,2024-03-19,False,Matured
FD0000029,CUS0008547,PRD-FD02,BR0023,4100781.87,2.0,12,2022-10-06,2023-10-01,True,Active
FD0000030,CUS0009202,PRD-FD02,BR0001,3827269.98,2.07,12,2023-04-18,2024-04-12,False,Active
FD0000031,CUS0003777,PRD-FD03,BR0009,4159919.64,1.29,24,2022-12-03,2024-11-22,True,Matured
FD0000032,CUS0001567,PRD-FD02,BR0024,1029034.83,2.3,12,2024-03-12,2025-03-07,True,Matured
FD0000033,CUS0001210,PRD-FD03,BR0037,1136287.32,3.16,24,2024-02-29,2026-02-18,True,Active
FD0000034,CUS0008931,PRD-FD01,BR0049,3678006.4,3.12,6,2023-08-29,2024-02-25,True,Active
FD0000035,CUS0008464,PRD-FD02,BR0013,929507.42,1.88,12,2023-04-12,2024-04-06,True,Active
FD0000036,CUS0007838,PRD-FD02,BR0029,83761.87,3.43,12,2023-04-23,2024-04-17,True,Matured
FD0000037,CUS0004471,PRD-FD01,BR0006,2864199.09,1.75,6,2024-03-20,2024-09-16,False,Matured
FD0000038,CUS0002330,PRD-FD03,BR0019,4461748.32,1.75,24,2024-10-25,2026-10-15,True,Active
FD0000039,CUS0004496,PRD-FD03,BR0016,3600576.17,3.12,24,2023-06-26,2025-06-15,False,Matured
FD0000040,CUS0004829,PRD-FD01,BR0009,4475152.95,2.49,6,2023-02-18,2023-08-17,True,Matured
FD0000041,CUS0004423,PRD-FD03,BR0031,735524.29,2.62,24,2024-10-06,2026-09-26,True,Active
FD0000042,CUS0000320,PRD-FD01,BR0043,557182.78,2.09,6,2024-01-25,2024-07-23,True,Active
FD0000043,CUS0007362,PRD-FD02,BR0033,3093775.88,3.24,12,2024-08-23,2025-08-18,True,Matured
FD0000044,CUS0002244,PRD-FD01,BR0001,2395040.93,3.18,6,2025-09-25,2026-03-24,True,Active
FD0000045,CUS0006713,PRD-FD02,BR0005,2736733.96,2.58,12,2024-04-06,2025-04-01,False,Active
FD0000046,CUS0008513,PRD-FD03,BR0044,3158512.06,2.8,24,2023-03-13,2025-03-02,True,Active
FD0000047,CUS0006088,PRD-FD01,BR0008,1118718.73,2.87,6,2023-05-30,2023-11-26,False,Active
FD0000048,CUS0004754,PRD-FD03,BR0028,4805753.91,2.38,24,2023-01-17,2025-01-06,False,Active
FD0000049,CUS0007788,PRD-FD01,BR0039,3172017.34,2.22,6,2024-04-20,2024-10-17,True,Active
FD0000050,CUS0008927,PRD-FD03,BR0021,4717954.23,2.33,24,2023-08-28,2025-08-17,True,Active
FD0000051,CUS0003426,PRD-FD03,BR0041,1482209.7,1.37,24,2025-03-30,2027-03-20,False,Active
FD0000052,CUS0000821,PRD-FD03,BR0034,1044233.86,2.47,24,2025-09-25,2027-09-15,True,Active
FD0000053,CUS0007096,PRD-FD02,BR0012,987943.33,2.6,12,2023-10-16,2024-10-10,False,Matured
FD0000054,CUS0007206,PRD-FD01,BR0019,1450700.83,1.75,6,2022-05-10,2022-11-06,False,Active
FD0000055,CUS0001691,PRD-FD02,BR0032,318232.28,3.4,12,2023-11-20,2024-11-14,True,Active
FD0000056,CUS0001318,PRD-FD01,BR0027,4817051.17,2.51,6,2025-04-08,2025-10-05,True,Matured
FD0000057,CUS0000858,PRD-FD01,BR0001,1909217.84,1.57,6,2023-01-27,2023-07-26,False,Active
FD0000058,CUS0008697,PRD-FD01,BR0003,319112.02,2.5,6,2023-10-02,2024-03-30,True,Active
FD0000059,CUS0008912,PRD-FD02,BR0018,3896075.33,1.2,12,2022-01-30,2023-01-25,True,Matured
FD0000060,CUS0009251,PRD-FD03,BR0049,1964403.95,2.28,24,2026-03-15,2028-03-04,False,Matured
FD0000061,CUS0005194,PRD-FD02,BR0021,259214.59,2.12,12,2022-07-10,2023-07-05,True,Active
FD0000062,CUS0003052,PRD-FD03,BR0026,2060939.0,2.96,24,2024-06-19,2026-06-09,False,Active
FD0000063,CUS0004308,PRD-FD02,BR0043,2113357.65,2.62,12,2025-03-13,2026-03-08,False,Active
FD0000064,CUS0003571,PRD-FD01,BR0017,3879260.81,2.33,6,2022-08-06,2023-02-02,True,Matured
FD0000065,CUS0004235,PRD-FD01,BR0021,1837247.22,3.05,6,2023-04-29,2023-10-26,True,Active
FD0000066,CUS0007555,PRD-FD01,BR0041,1845650.4,3.35,6,2025-06-21,2025-12-18,True,Matured
FD0000067,CUS0005380,PRD-FD02,BR0039,4333089.03,2.7,12,2022-01-18,2023-01-13,True,Matured
FD0000068,CUS0005144,PRD-FD03,BR0002,336252.16,2.69,24,2022-12-06,2024-11-25,True,Active
FD0000069,CUS0004207,PRD-FD01,BR0025,1400728.84,3.37,6,2024-09-26,2025-03-25,False,Matured
FD0000070,CUS0003772,PRD-FD02,BR0033,2389401.84,2.04,12,2022-01-25,2023-01-20,False,Matured
FD0000071,CUS0008253,PRD-FD02,BR0045,4585690.19,1.57,12,2022-02-26,2023-02-21,False,Matured
FD0000072,CUS0002554,PRD-FD03,BR0029,2025476.04,2.22,24,2022-10-12,2024-10-01,True,Matured
FD0000073,CUS0009327,PRD-FD01,BR0018,3392636.66,2.55,6,2025-03-04,2025-08-31,True,Matured
FD0000074,CUS0004218,PRD-FD01,BR0038,55794.8,3.08,6,2023-07-24,2024-01-20,True,Active
FD0000075,CUS0008703,PRD-FD03,BR0037,4912396.33,2.73,24,2026-03-03,2028-02-21,True,Active
FD0000076,CUS0005376,PRD-FD01,BR0015,4719991.56,1.56,6,2024-04-25,2024-10-22,False,Matured
FD0000077,CUS0000156,PRD-FD03,BR0002,3266988.73,1.29,24,2025-01-27,2027-01-17,True,Active
FD0000078,CUS0003623,PRD-FD01,BR0039,3296948.43,2.63,6,2022-09-27,2023-03-26,True,Active
FD0000079,CUS0001593,PRD-FD03,BR0047,1706229.12,2.22,24,2024-02-04,2026-01-24,True,Active
FD0000080,CUS0002885,PRD-FD02,BR0036,1181131.68,2.78,12,2023-08-08,2024-08-02,True,Active
FD0000081,CUS0003634,PRD-FD02,BR0010,2201982.41,2.54,12,2024-11-17,2025-11-12,False,Active
FD0000082,CUS0000172,PRD-FD03,BR0019,61226.01,2.73,24,2024-04-06,2026-03-27,False,Matured
FD0000083,CUS0006394,PRD-FD01,BR0034,2595205.74,2.34,6,2023-11-11,2024-05-09,False,Active
FD0000084,CUS0005460,PRD-FD02,BR0013,2094808.26,1.47,12,2022-11-11,2023-11-06,False,Active
FD0000085,CUS0003428,PRD-FD01,BR0001,4508950.33,3.05,6,2023-06-01,2023-11-28,True,Active
FD0000086,CUS0006299,PRD-FD01,BR0020,1861127.39,3.48,6,2024-01-19,2024-07-17,True,Active
FD0000087,CUS0005904,PRD-FD03,BR0010,860162.61,3.21,24,2025-11-29,2027-11-19,False,Active
FD0000088,CUS0002596,PRD-FD01,BR0047,2224941.03,2.3,6,2025-10-27,2026-04-25,True,Active
FD0000089,CUS0007602,PRD-FD02,BR0047,3055869.61,3.28,12,2022-07-08,2023-07-03,True,Active
FD0000090,CUS0008215,PRD-FD03,BR0021,3781008.64,1.97,24,2024-07-07,2026-06-27,True,Matured
FD0000091,CUS0009316,PRD-FD02,BR0016,2649691.27,2.8,12,2024-12-09,2025-12-04,True,Active
FD0000092,CUS0006147,PRD-FD01,BR0018,2048671.75,2.03,6,2026-02-19,2026-08-18,True,Active
FD0000093,CUS0003841,PRD-FD03,BR0018,3439287.48,1.76,24,2024-02-03,2026-01-23,True,Active
FD0000094,CUS0008523,PRD-FD02,BR0017,3363052.29,3.44,12,2023-05-26,2024-05-20,True,Active
FD0000095,CUS0002340,PRD-FD01,BR0035,3098365.58,3.09,6,2026-01-05,2026-07-04,False,Active
FD0000096,CUS0000222,PRD-FD01,BR0031,3694176.0,1.79,6,2024-05-09,2024-11-05,False,Matured
FD0000097,CUS0003464,PRD-FD01,BR0026,3407740.05,1.22,6,2025-09-11,2026-03-10,True,Active
FD0000098,CUS0003354,PRD-FD01,BR0035,3511607.26,2.42,6,2022-12-28,2023-06-26,False,Matured
FD0000099,CUS0009806,PRD-FD02,BR0040,761747.27,1.59,12,2024-10-23,2025-10-18,False,Matured
FD0000100,CUS0005582,PRD-FD03,BR0027,322889.78,2.28,24,2024-02-28,2026-02-17,True,Active
FD0000101,CUS0001447,PRD-FD03,BR0008,845164.99,1.23,24,2025-06-03,2027-05-24,True,Matured
FD0000102,CUS0005826,PRD-FD01,BR0043,2866439.72,1.68,6,2023-06-26,2023-12-23,True,Matured
FD0000103,CUS0006764,PRD-FD03,BR0020,4173189.11,3.48,24,2023-05-07,2025-04-26,False,Matured
FD0000104,CUS0007021,PRD-FD01,BR0034,4123728.27,1.88,6,2023-12-31,2024-06-28,False,Matured
FD0000105,CUS0002506,PRD-FD01,BR0030,3933907.28,1.7,6,2024-04-06,2024-10-03,False,Matured
FD0000106,CUS0001773,PRD-FD01,BR0021,3998366.52,2.89,6,2024-03-27,2024-09-23,False,Active
FD0000107,CUS0003694,PRD-FD03,BR0021,2893996.46,3.36,24,2026-02-05,2028-01-26,True,Matured
FD0000108,CUS0003565,PRD-FD02,BR0044,4886844.86,3.12,12,2024-04-29,2025-04-24,True,Active
FD0000109,CUS0003924,PRD-FD03,BR0014,3921920.29,2.0,24,2025-11-10,2027-10-31,False,Active
FD0000110,CUS0009124,PRD-FD01,BR0047,3726447.13,1.91,6,2025-06-09,2025-12-06,False,Active
FD0000111,CUS0002725,PRD-FD03,BR0024,1228096.15,2.91,24,2023-04-27,2025-04-16,False,Active
FD0000112,CUS0008971,PRD-FD03,BR0002,3146586.53,1.52,24,2023-10-11,2025-09-30,False,Active
FD0000113,CUS0009278,PRD-FD03,BR0042,4983305.24,1.62,24,2025-12-25,2027-12-15,False,Active
FD0000114,CUS0004432,PRD-FD01,BR0004,3428437.89,2.43,6,2024-10-25,2025-04-23,True,Active
FD0000115,CUS0009365,PRD-FD03,BR0040,1263168.24,1.38,24,2024-09-26,2026-09-16,True,Active
FD0000116,CUS0009486,PRD-FD01,BR0038,616967.37,3.47,6,2024-10-03,2025-04-01,True,Active
FD0000117,CUS0003615,PRD-FD02,BR0046,3013763.34,2.3,12,2022-08-18,2023-08-13,True,Active
FD0000118,CUS0001656,PRD-FD01,BR0037,2963303.47,3.27,6,2026-02-19,2026-08-18,False,Active
FD0000119,CUS0007370,PRD-FD02,BR0037,526833.46,3.27,12,2026-02-03,2027-01-29,True,Active
FD0000120,CUS0003008,PRD-FD02,BR0006,4225390.01,1.42,12,2024-07-17,2025-07-12,False,Active
FD0000121,CUS0000010,PRD-FD03,BR0019,4810753.41,1.94,24,2025-04-18,2027-04-08,False,Active
FD0000122,CUS0005515,PRD-FD02,BR0039,983202.95,1.77,12,2024-04-26,2025-04-21,False,Active
FD0000123,CUS0007996,PRD-FD01,BR0049,4469324.48,2.26,6,2024-10-10,2025-04-08,False,Active
FD0000124,CUS0006479,PRD-FD01,BR0026,2695392.05,3.43,6,2024-07-11,2025-01-07,True,Active
FD0000125,CUS0007727,PRD-FD01,BR0024,1648341.52,1.32,6,2026-02-20,2026-08-19,False,Matured
FD0000126,CUS0001392,PRD-FD01,BR0005,815814.35,3.49,6,2025-04-24,2025-10-21,True,Matured
FD0000127,CUS0009811,PRD-FD03,BR0026,1666573.86,3.32,24,2025-11-21,2027-11-11,True,Matured
FD0000128,CUS0000574,PRD-FD02,BR0036,852302.85,2.27,12,2022-12-24,2023-12-19,True,Active
FD0000129,CUS0009700,PRD-FD01,BR0010,4976647.55,1.65,6,2025-07-07,2026-01-03,True,Active
FD0000130,CUS0005867,PRD-FD03,BR0035,3513612.27,3.14,24,2023-08-13,2025-08-02,False,Active
FD0000131,CUS0008629,PRD-FD01,BR0028,746661.01,3.28,6,2024-06-14,2024-12-11,True,Active
FD0000132,CUS0003715,PRD-FD01,BR0050,4717740.33,2.58,6,2026-04-24,2026-10-21,True,Active
FD0000133,CUS0001172,PRD-FD02,BR0007,651388.67,2.11,12,2023-11-25,2024-11-19,True,Active
FD0000134,CUS0000483,PRD-FD02,BR0014,1404437.31,1.97,12,2022-10-29,2023-10-24,False,Matured
FD0000135,CUS0001557,PRD-FD03,BR0046,1286247.18,2.3,24,2024-07-04,2026-06-24,True,Active
FD0000136,CUS0004719,PRD-FD03,BR0040,3514933.74,1.79,24,2025-09-08,2027-08-29,True,Matured
FD0000137,CUS0006245,PRD-FD01,BR0016,1410022.37,2.07,6,2023-01-03,2023-07-02,True,Active
FD0000138,CUS0006421,PRD-FD03,BR0023,2905736.34,2.61,24,2024-01-15,2026-01-04,False,Active
FD0000139,CUS0004653,PRD-FD01,BR0030,4873901.19,3.26,6,2025-08-09,2026-02-05,False,Active
FD0000140,CUS0007832,PRD-FD02,BR0029,2428488.08,1.75,12,2022-11-16,2023-11-11,False,Active
FD0000141,CUS0004804,PRD-FD01,BR0011,4814566.09,1.42,6,2022-11-13,2023-05-12,True,Active
FD0000142,CUS0002917,PRD-FD03,BR0033,4152339.76,1.65,24,2025-03-02,2027-02-20,True,Matured
FD0000143,CUS0006867,PRD-FD01,BR0019,4813296.52,1.41,6,2025-11-24,2026-05-23,False,Active
FD0000144,CUS0006301,PRD-FD02,BR0033,3858821.6,3.48,12,2024-08-20,2025-08-15,True,Active
FD0000145,CUS0009596,PRD-FD01,BR0013,4139271.32,1.58,6,2023-07-01,2023-12-28,True,Active
FD0000146,CUS0003812,PRD-FD01,BR0025,3869656.1,2.87,6,2026-01-29,2026-07-28,True,Active
FD0000147,CUS0004509,PRD-FD03,BR0044,3588109.53,2.99,24,2024-12-09,2026-11-29,False,Matured
FD0000148,CUS0000775,PRD-FD03,BR0038,4490464.7,2.06,24,2026-03-20,2028-03-09,True,Matured
FD0000149,CUS0002566,PRD-FD03,BR0008,1883660.34,2.04,24,2025-08-17,2027-08-07,True,Active
FD0000150,CUS0009846,PRD-FD01,BR0036,396093.5,3.19,6,2022-11-26,2023-05-25,True,Active
FD0000151,CUS0008477,PRD-FD01,BR0025,3089040.53,1.77,6,2024-12-30,2025-06-28,False,Active
FD0000152,CUS0005362,PRD-FD03,BR0026,2010594.47,3.3,24,2023-05-06,2025-04-25,False,Active
FD0000153,CUS0003200,PRD-FD02,BR0036,1924751.3,2.11,12,2026-04-21,2027-04-16,False,Active
FD0000154,CUS0001564,PRD-FD01,BR0020,3223819.94,2.38,6,2024-03-22,2024-09-18,False,Active
FD0000155,CUS0003434,PRD-FD02,BR0043,2628489.96,3.27,12,2025-08-03,2026-07-29,True,Active
FD0000156,CUS0003715,PRD-FD03,BR0036,2692436.33,2.28,24,2026-04-16,2028-04-05,True,Matured
FD0000157,CUS0007525,PRD-FD03,BR0007,4601924.99,1.4,24,2023-03-02,2025-02-19,False,Active
FD0000158,CUS0002853,PRD-FD03,BR0050,3786870.25,1.56,24,2022-06-23,2024-06-12,False,Active
FD0000159,CUS0007794,PRD-FD02,BR0022,369702.65,2.83,12,2022-12-15,2023-12-10,True,Matured
FD0000160,CUS0004418,PRD-FD03,BR0004,3817798.28,1.33,24,2023-07-09,2025-06-28,True,Matured
FD0000161,CUS0006791,PRD-FD02,BR0025,4815594.07,2.76,12,2022-07-27,2023-07-22,False,Active
FD0000162,CUS0000385,PRD-FD01,BR0006,2318160.04,1.76,6,2022-02-02,2022-08-01,False,Matured
FD0000163,CUS0009291,PRD-FD01,BR0018,2061503.24,1.27,6,2025-11-27,2026-05-26,True,Matured
FD0000164,CUS0004143,PRD-FD03,BR0011,661363.64,2.09,24,2024-01-04,2025-12-24,False,Active
FD0000165,CUS0000700,PRD-FD01,BR0005,1515334.74,2.91,6,2023-07-11,2024-01-07,False,Active
FD0000166,CUS0007451,PRD-FD03,BR0035,1143260.17,2.75,24,2022-09-25,2024-09-14,True,Active
FD0000167,CUS0004660,PRD-FD02,BR0046,602460.39,2.25,12,2023-07-11,2024-07-05,True,Active
FD0000168,CUS0005068,PRD-FD03,BR0044,4347188.44,2.24,24,2023-02-06,2025-01-26,True,Active
FD0000169,CUS0008152,PRD-FD01,BR0007,2925603.31,2.63,6,2023-09-11,2024-03-09,True,Active
FD0000170,CUS0002967,PRD-FD01,BR0002,4919002.49,3.13,6,2025-05-06,2025-11-02,False,Active
FD0000171,CUS0004573,PRD-FD02,BR0006,1331855.95,3.27,12,2025-07-21,2026-07-16,True,Active
FD0000172,CUS0009279,PRD-FD03,BR0023,1783138.35,2.28,24,2023-12-22,2025-12-11,True,Matured
FD0000173,CUS0009991,PRD-FD01,BR0046,141148.37,3.08,6,2022-01-18,2022-07-17,False,Active
FD0000174,CUS0003746,PRD-FD03,BR0048,1167728.34,2.91,24,2022-07-25,2024-07-14,False,Active
FD0000175,CUS0002655,PRD-FD03,BR0016,674357.81,1.95,24,2024-01-10,2025-12-30,True,Active
FD0000176,CUS0004316,PRD-FD03,BR0006,4254300.03,1.21,24,2023-02-17,2025-02-06,False,Matured
FD0000177,CUS0006193,PRD-FD02,BR0012,1223032.47,2.44,12,2022-05-09,2023-05-04,True,Active
FD0000178,CUS0008607,PRD-FD01,BR0010,159679.53,3.31,6,2022-05-10,2022-11-06,True,Active
FD0000179,CUS0005339,PRD-FD03,BR0002,3796547.68,3.31,24,2023-10-04,2025-09-23,False,Active
FD0000180,CUS0005466,PRD-FD02,BR0019,537335.62,1.68,12,2022-01-06,2023-01-01,True,Matured
FD0000181,CUS0008049,PRD-FD03,BR0008,1444000.39,3.01,24,2022-12-15,2024-12-04,True,Active
FD0000182,CUS0001399,PRD-FD01,BR0018,3040212.4,2.55,6,2022-05-14,2022-11-10,True,Matured
FD0000183,CUS0004197,PRD-FD03,BR0015,4778402.58,3.06,24,2022-04-11,2024-03-31,True,Active
FD0000184,CUS0005187,PRD-FD02,BR0015,1452820.08,2.06,12,2022-09-15,2023-09-10,False,Active
FD0000185,CUS0006402,PRD-FD03,BR0047,3262091.77,3.13,24,2022-07-23,2024-07-12,False,Matured
FD0000186,CUS0006792,PRD-FD02,BR0037,3352304.77,2.79,12,2024-01-18,2025-01-12,True,Matured
FD0000187,CUS0002948,PRD-FD02,BR0045,3074400.73,2.15,12,2023-05-05,2024-04-29,True,Active
FD0000188,CUS0006937,PRD-FD02,BR0029,745684.1,1.89,12,2024-02-25,2025-02-19,True,Active
FD0000189,CUS0004748,PRD-FD03,BR0026,1212377.8,3.4,24,2023-11-10,2025-10-30,False,Active
FD0000190,CUS0000004,PRD-FD03,BR0019,2805602.19,2.93,24,2024-12-19,2026-12-09,True,Active
FD0000191,CUS0009615,PRD-FD02,BR0019,142501.75,2.74,12,2022-12-18,2023-12-13,True,Active
FD0000192,CUS0001887,PRD-FD02,BR0013,1929545.61,2.16,12,2024-06-25,2025-06-20,True,Active
FD0000193,CUS0008686,PRD-FD03,BR0034,443844.88,2.93,24,2023-10-08,2025-09-27,True,Matured
FD0000194,CUS0006908,PRD-FD02,BR0046,1639961.59,1.97,12,2025-05-26,2026-05-21,True,Active
FD0000195,CUS0000886,PRD-FD02,BR0022,567023.37,2.93,12,2025-04-24,2026-04-19,False,Active
FD0000196,CUS0001812,PRD-FD01,BR0027,75588.92,3.05,6,2023-10-04,2024-04-01,True,Active
FD0000197,CUS0009257,PRD-FD02,BR0038,1419000.19,2.1,12,2022-01-27,2023-01-22,True,Active
FD0000198,CUS0003252,PRD-FD03,BR0006,951168.07,2.87,24,2023-04-23,2025-04-12,False,Active
FD0000199,CUS0005458,PRD-FD03,BR0026,1993443.46,2.58,24,2022-01-26,2024-01-16,True,Active
FD0000200,CUS0007779,PRD-FD01,BR0015,2536981.39,1.35,6,2024-03-06,2024-09-02,True,Active
FD0000201,CUS0005241,PRD-FD01,BR0049,780272.45,1.25,6,2022-11-10,2023-05-09,False,Active
FD0000202,CUS0004818,PRD-FD03,BR0036,3924747.72,2.55,24,2026-03-28,2028-03-17,True,Active
FD0000203,CUS0009957,PRD-FD01,BR0012,3281814.7,1.88,6,2025-12-05,2026-06-03,True,Active
FD0000204,CUS0004578,PRD-FD01,BR0041,1226012.08,1.79,6,2026-02-16,2026-08-15,True,Active
FD0000205,CUS0008551,PRD-FD03,BR0013,1532262.17,1.98,24,2025-07-09,2027-06-29,True,Matured
FD0000206,CUS0000293,PRD-FD01,BR0008,737924.24,1.5,6,2022-05-27,2022-11-23,True,Active
FD0000207,CUS0000085,PRD-FD03,BR0049,2726662.8,2.11,24,2025-08-25,2027-08-15,True,Matured
FD0000208,CUS0003159,PRD-FD03,BR0048,3442044.03,1.67,24,2024-01-02,2025-12-22,False,Active
FD0000209,CUS0002541,PRD-FD03,BR0040,1506780.84,3.17,24,2023-09-14,2025-09-03,True,Active
FD0000210,CUS0000828,PRD-FD01,BR0010,2881344.59,2.85,6,2022-09-24,2023-03-23,True,Active
FD0000211,CUS0007975,PRD-FD02,BR0044,1128391.88,3.4,12,2022-02-27,2023-02-22,False,Active
FD0000212,CUS0000334,PRD-FD02,BR0019,3003814.81,1.45,12,2022-12-26,2023-12-21,True,Matured
FD0000213,CUS0009698,PRD-FD01,BR0025,1850466.29,1.94,6,2025-06-10,2025-12-07,True,Matured
FD0000214,CUS0004510,PRD-FD03,BR0005,3674506.99,1.81,24,2025-12-15,2027-12-05,True,Active
FD0000215,CUS0008156,PRD-FD02,BR0008,1345275.32,3.36,12,2026-04-03,2027-03-29,True,Active
FD0000216,CUS0001615,PRD-FD01,BR0040,3138474.86,1.94,6,2025-09-19,2026-03-18,False,Matured
FD0000217,CUS0004060,PRD-FD01,BR0041,1424386.24,3.38,6,2023-03-16,2023-09-12,True,Active
FD0000218,CUS0005149,PRD-FD02,BR0049,3816043.93,2.86,12,2025-07-05,2026-06-30,False,Active
FD0000219,CUS0004966,PRD-FD02,BR0032,1711196.6,2.17,12,2024-03-31,2025-03-26,False,Active
FD0000220,CUS0009433,PRD-FD02,BR0050,3987790.56,2.64,12,2025-10-31,2026-10-26,True,Active
FD0000221,CUS0007506,PRD-FD02,BR0038,3262009.19,3.31,12,2024-04-08,2025-04-03,False,Matured
FD0000222,CUS0004093,PRD-FD01,BR0016,4379160.91,1.3,6,2023-06-27,2023-12-24,True,Matured
FD0000223,CUS0001020,PRD-FD03,BR0025,3392227.81,2.62,24,2024-06-13,2026-06-03,False,Active
FD0000224,CUS0004028,PRD-FD02,BR0022,3167599.5,3.17,12,2023-04-06,2024-03-31,False,Matured
FD0000225,CUS0007046,PRD-FD01,BR0047,4820444.18,2.36,6,2022-11-12,2023-05-11,True,Matured
FD0000226,CUS0001178,PRD-FD02,BR0037,2523950.42,1.56,12,2026-03-30,2027-03-25,False,Active
FD0000227,CUS0001614,PRD-FD01,BR0046,4940186.95,2.28,6,2022-11-12,2023-05-11,True,Active
FD0000228,CUS0000055,PRD-FD03,BR0022,3019074.52,1.89,24,2025-07-08,2027-06-28,False,Active
FD0000229,CUS0007607,PRD-FD01,BR0046,2466715.3,3.41,6,2022-06-13,2022-12-10,True,Active
FD0000230,CUS0002740,PRD-FD02,BR0005,1032418.74,2.02,12,2025-03-10,2026-03-05,True,Active
FD0000231,CUS0005208,PRD-FD01,BR0042,2188403.34,1.39,6,2024-01-25,2024-07-23,False,Active
FD0000232,CUS0002957,PRD-FD01,BR0022,2863485.98,1.76,6,2022-10-23,2023-04-21,True,Active
FD0000233,CUS0006887,PRD-FD02,BR0007,1125731.97,1.96,12,2022-02-21,2023-02-16,True,Active
FD0000234,CUS0000940,PRD-FD02,BR0043,2242794.77,3.46,12,2024-07-05,2025-06-30,True,Active
FD0000235,CUS0001815,PRD-FD03,BR0020,3418600.76,2.9,24,2023-07-05,2025-06-24,True,Active
FD0000236,CUS0005126,PRD-FD01,BR0024,2612424.53,1.38,6,2022-07-13,2023-01-09,False,Active
FD0000237,CUS0009181,PRD-FD03,BR0012,2498964.22,2.79,24,2025-04-23,2027-04-13,True,Active
FD0000238,CUS0007765,PRD-FD03,BR0041,520707.78,1.39,24,2024-02-23,2026-02-12,True,Active
FD0000239,CUS0001491,PRD-FD02,BR0001,3840254.14,2.31,12,2022-12-11,2023-12-06,True,Active
FD0000240,CUS0002956,PRD-FD01,BR0001,2300660.67,2.19,6,2026-01-15,2026-07-14,True,Active
FD0000241,CUS0009194,PRD-FD01,BR0043,1457418.89,1.3,6,2023-02-25,2023-08-24,False,Active
FD0000242,CUS0009709,PRD-FD02,BR0007,3822355.96,2.25,12,2023-06-01,2024-05-26,True,Matured
FD0000243,CUS0004758,PRD-FD03,BR0049,2627294.97,2.19,24,2023-01-04,2024-12-24,False,Active
