holding_id,customer_id,product_id,units_held,average_cost_thb,current_nav_thb,market_value_thb,as_of_date
INV0000081,CUS0006456,PRD-WL01,26960.2576,15.2978,14.1431,381301.62,2026-05-01
INV0000082,CUS0006895,PRD-WL03,39910.8363,9.0573,11.0746,441996.55,2026-05-01
INV0000083,CUS0001039,PRD-WL01,12111.5969,26.4524,23.3492,282796.1,2026-05-01
INV0000084,CUS0008716,PRD-WL03,41558.4262,27.2322,26.4309,1098426.61,2026-05-01
INV0000085,CUS0008498,PRD-WL03,22246.3828,21.1923,19.3593,430674.4,2026-05-01
INV0000086,CUS0003329,PRD-WL01,9260.0419,15.0907,16.9136,156620.64,2026-05-01
INV0000087,CUS0003424,PRD-WL02,44916.4742,20.6953,25.0162,1123639.5,2026-05-01
INV0000088,CUS0005170,PRD-WL04,8527.5994,18.7213,18.2641,155748.93,2026-05-01
INV0000089,CUS0002214,PRD-WL01,5678.1864,24.5964,30.204,171503.94,2026-05-01
INV0000090,CUS0007947,PRD-WL04,7695.5196,36.8373,32.7544,252062.13,2026-05-01
INV0000091,CUS0004973,PRD-WL02,16145.0801,12.6782,12.0365,194330.26,2026-05-01
INV0000092,CUS0005248,PRD-WL03,5662.045,21.153,27.0455,153132.84,2026-05-01
INV0000093,CUS0009602,PRD-WL01,29267.1911,31.6765,26.8889,786962.57,2026-05-01
INV0000094,CUS0007142,PRD-WL03,17413.1393,7.6857,9.5123,165639.0,2026-05-01
INV0000095,CUS0007347,PRD-WL02,39392.3028,32.0976,34.7831,1370186.41,2026-05-01
INV0000096,CUS0005489,PRD-WL02,6775.6401,20.4592,22.5924,153077.97,2026-05-01
INV0000097,CUS0003482,PRD-WL02,46832.1635,8.4931,10.6914,500701.39,2026-05-01
INV0000098,CUS0005495,PRD-WL03,30650.8101,11.7773,12.5031,383230.14,2026-05-01
INV0000099,CUS0002308,PRD-WL03,48126.9028,19.5512,27.8494,1340305.37,2026-05-01
INV0000100,CUS0007656,PRD-WL01,29940.4939,15.2522,13.8607,414996.2,2026-05-01
INV0000101,CUS0009823,PRD-WL01,41877.5031,24.8627,24.5686,1028871.62,2026-05-01
INV0000102,CUS0008440,PRD-WL03,16629.4618,29.3238,33.0349,549352.61,2026-05-01
INV0000103,CUS0006604,PRD-WL03,40339.4251,24.1506,25.8716,1043645.47,2026-05-01
INV0000104,CUS0002482,PRD-WL04,4076.2725,12.2937,10.436,42539.98,2026-05-01
INV0000105,CUS0006405,PRD-WL01,2717.6636,12.2572,12.9498,35193.2,2026-05-01
INV0000106,CUS0003161,PRD-WL04,5444.6545,29.9573,32.6393,177709.71,2026-05-01
INV0000107,CUS0001481,PRD-WL02,44334.0646,22.6495,19.913,882824.23,2026-05-01
INV0000108,CUS0006515,PRD-WL01,15874.965,24.7841,25.2632,401052.42,2026-05-01
INV0000109,CUS0006843,PRD-WL01,32653.605,14.2835,14.1402,461728.51,2026-05-01
INV0000110,CUS0006664,PRD-WL03,22957.4103,29.7772,25.9138,594913.74,2026-05-01
INV0000111,CUS0001624,PRD-WL02,17937.5603,32.1565,27.815,498933.24,2026-05-01
INV0000112,CUS0005118,PRD-WL04,6552.996,7.3427,8.3393,54647.4,2026-05-01
INV0000113,CUS0007972,PRD-WL02,2725.3771,26.7102,26.3996,71948.87,2026-05-01
INV0000114,CUS0004078,PRD-WL02,42147.1572,21.3427,18.0717,761670.78,2026-05-01
INV0000115,CUS0005436,PRD-WL02,48903.809,7.6396,10.487,512854.24,2026-05-01
INV0000116,CUS0001448,PRD-WL01,35299.2072,16.3474,19.5122,688765.19,2026-05-01
INV0000117,CUS0000300,PRD-WL04,27827.5609,17.4188,16.098,447968.08,2026-05-01
INV0000118,CUS0002323,PRD-WL01,17649.6356,18.9632,25.9744,458438.69,2026-05-01
INV0000119,CUS0006994,PRD-WL01,46528.4557,33.0972,29.6468,1379419.82,2026-05-01
INV0000120,CUS0009738,PRD-WL01,46578.8596,21.9153,18.287,851787.61,2026-05-01
INV0000121,CUS0009357,PRD-WL01,1616.013,18.0656,22.9654,37112.38,2026-05-01
INV0000122,CUS0004922,PRD-WL02,10402.9969,14.5663,12.8135,133298.8,2026-05-01
INV0000123,CUS0002209,PRD-WL02,40822.1476,21.337,17.9606,733190.26,2026-05-01
INV0000124,CUS0006792,PRD-WL01,4932.2708,27.1019,24.7439,122043.62,2026-05-01
INV0000125,CUS0003506,PRD-WL02,29597.4443,30.7233,27.3671,809996.22,2026-05-01
INV0000126,CUS0004055,PRD-WL02,25704.4472,10.2041,13.5615,348590.86,2026-05-01
INV0000127,CUS0001921,PRD-WL04,21396.1242,22.0074,25.0669,536334.51,2026-05-01
INV0000128,CUS0003110,PRD-WL01,42707.7813,11.9857,12.0607,515085.74,2026-05-01
INV0000129,CUS0008641,PRD-WL04,15821.617,19.6873,26.1078,413067.61,2026-05-01
INV0000130,CUS0001614,PRD-WL04,23877.6481,18.9474,20.3065,484871.46,2026-05-01
INV0000131,CUS0004254,PRD-WL03,14919.5502,33.7199,29.2242,436011.92,2026-05-01
INV0000132,CUS0002286,PRD-WL03,5420.0956,10.5137,12.0664,65401.04,2026-05-01
INV0000133,CUS0002952,PRD-WL02,29489.127,20.0448,20.6647,609383.96,2026-05-01
INV0000134,CUS0000332,PRD-WL02,9667.2705,18.0305,25.5272,246778.35,2026-05-01
INV0000135,CUS0007093,PRD-WL02,24571.7462,9.1899,9.3789,230455.95,2026-05-01
INV0000136,CUS0000751,PRD-WL04,32067.6711,9.3586,11.0237,353504.39,2026-05-01
INV0000137,CUS0006040,PRD-WL01,41772.1657,17.1255,19.6795,822055.33,2026-05-01
INV0000138,CUS0001046,PRD-WL03,14398.91,23.112,20.1565,290231.63,2026-05-01
INV0000139,CUS0007272,PRD-WL02,29569.919,11.1922,13.3793,395624.82,2026-05-01
INV0000140,CUS0001555,PRD-WL02,8273.7845,16.7985,18.0372,149235.91,2026-05-01
INV0000141,CUS0001372,PRD-WL04,4404.5307,21.6308,25.8826,114000.71,2026-05-01
INV0000142,CUS0002871,PRD-WL04,21505.9837,10.8575,11.6686,250944.72,2026-05-01
INV0000143,CUS0000522,PRD-WL03,1500.5387,24.8571,34.0448,51085.54,2026-05-01
INV0000144,CUS0005169,PRD-WL01,24833.2264,11.0724,10.6728,265040.06,2026-05-01
INV0000145,CUS0007068,PRD-WL01,11872.0269,35.429,33.9443,402987.64,2026-05-01
INV0000146,CUS0000210,PRD-WL02,421.526,29.5181,33.3083,14040.31,2026-05-01
INV0000147,CUS0009460,PRD-WL02,15392.3285,15.1678,13.1528,202452.22,2026-05-01
INV0000148,CUS0007210,PRD-WL04,49736.441,38.7737,32.4916,1616016.55,2026-05-01
INV0000149,CUS0005349,PRD-WL04,8184.2406,31.9113,31.8122,260358.7,2026-05-01
INV0000150,CUS0009523,PRD-WL04,7962.2961,18.569,17.6891,140845.85,2026-05-01
INV0000151,CUS0008931,PRD-WL03,43108.4267,9.2539,8.2777,356838.62,2026-05-01
INV0000152,CUS0001412,PRD-WL04,48054.5787,29.249,30.7019,1475366.87,2026-05-01
INV0000153,CUS0001257,PRD-WL04,46104.4628,24.6588,24.4696,1128157.76,2026-05-01
INV0000154,CUS0001162,PRD-WL02,43025.1224,35.9023,34.6095,1489077.97,2026-05-01
INV0000155,CUS0005639,PRD-WL04,37103.2424,21.2646,20.2672,751978.83,2026-05-01
INV0000156,CUS0007282,PRD-WL02,5856.9319,23.6458,28.4036,166357.95,2026-05-01
INV0000157,CUS0000491,PRD-WL02,3629.8521,10.9554,12.8152,46517.28,2026-05-01
INV0000158,CUS0002256,PRD-WL03,22992.359,13.2566,15.4724,355746.98,2026-05-01
INV0000159,CUS0000115,PRD-WL02,19788.4975,33.0454,28.873,571353.29,2026-05-01
INV0000160,CUS0001084,PRD-WL02,33790.2726,20.5185,22.855,772276.68,2026-05-01
INV0000161,CUS0000794,PRD-WL02,3739.3907,9.9513,12.1447,45413.78,2026-05-01
INV0000162,CUS0006925,PRD-WL03,19508.0489,33.2008,30.162,588401.77,2026-05-01
INV0000163,CUS0001964,PRD-WL04,5230.6543,13.1204,14.2848,74718.85,2026-05-01
INV0000164,CUS0008942,PRD-WL03,48158.4652,12.3523,16.8582,811865.04,2026-05-01
INV0000165,CUS0009629,PRD-WL03,45157.8109,27.4216,25.3936,1146719.39,2026-05-01
INV0000166,CUS0008318,PRD-WL03,23749.7072,7.7581,8.1435,193405.74,2026-05-01
INV0000167,CUS0006046,PRD-WL02,36208.8585,19.586,24.7695,896875.32,2026-05-01
INV0000168,CUS0000068,PRD-WL03,19884.3779,13.157,17.7422,352792.61,2026-05-01
INV0000169,CUS0003807,PRD-WL04,18450.8155,14.1784,19.7991,365309.54,2026-05-01
INV0000170,CUS0003000,PRD-WL02,33269.3466,7.4677,8.033,267252.66,2026-05-01
INV0000171,CUS0003512,PRD-WL03,31680.2531,29.135,34.4283,1090697.26,2026-05-01
INV0000172,CUS0003602,PRD-WL04,2832.9755,25.2357,34.4213,97514.7,2026-05-01
INV0000173,CUS0006014,PRD-WL03,26384.7203,12.2404,15.4307,407134.7,2026-05-01
INV0000174,CUS0009744,PRD-WL03,47990.8912,19.1315,17.5938,844342.14,2026-05-01
INV0000175,CUS0003061,PRD-WL03,9182.8324,9.0968,11.2111,102949.65,2026-05-01
INV0000176,CUS0004508,PRD-WL03,17179.6501,39.2537,32.906,565313.57,2026-05-01
INV0000177,CUS0002894,PRD-WL01,27497.8784,23.8984,28.93,795513.62,2026-05-01
INV0000178,CUS0004935,PRD-WL02,31725.1532,19.4166,22.6563,718774.59,2026-05-01
INV0000179,CUS0007725,PRD-WL04,47995.953,24.6783,25.3387,1216155.05,2026-05-01
INV0000180,CUS0003079,PRD-WL01,2931.9968,24.9726,26.1479,76665.56,2026-05-01
INV0000181,CUS0007214,PRD-WL02,2565.5142,25.4429,30.5865,78470.1,2026-05-01
INV0000182,CUS0004256,PRD-WL01,39018.941,30.4125,33.7594,1317256.04,2026-05-01
INV0000183,CUS0000686,PRD-WL02,1294.6802,11.3403,16.1859,20955.56,2026-05-01
INV0000184,CUS0002449,PRD-WL04,40861.14,15.0611,17.0784,697842.89,2026-05-01
INV0000185,CUS0009845,PRD-WL02,8279.8339,28.5977,30.9171,255988.45,2026-05-01
INV0000186,CUS0002718,PRD-WL04,3031.4912,21.1847,27.0718,82067.92,2026-05-01
INV0000187,CUS0001541,PRD-WL04,2539.4824,22.6137,31.3662,79653.91,2026-05-01
INV0000188,CUS0003590,PRD-WL04,26425.3058,9.8173,13.9917,369734.95,2026-05-01
INV0000189,CUS0007084,PRD-WL02,32731.9284,30.5085,31.5229,1031805.31,2026-05-01
INV0000190,CUS0004678,PRD-WL02,9324.8959,16.9145,22.5439,210219.52,2026-05-01
INV0000191,CUS0007225,PRD-WL03,47771.7304,29.7035,28.8108,1376341.77,2026-05-01
INV0000192,CUS0000657,PRD-WL01,12634.9104,19.4659,24.62,311071.49,2026-05-01
INV0000193,CUS0004020,PRD-WL01,30584.6662,28.1913,30.1575,922357.07,2026-05-01
INV0000194,CUS0005713,PRD-WL02,47662.934,12.9861,15.8581,755843.57,2026-05-01
INV0000195,CUS0007437,PRD-WL01,4969.8171,19.0709,18.7293,93081.2,2026-05-01
INV0000196,CUS0006944,PRD-WL02,23217.0492,8.0722,8.7078,202169.42,2026-05-01
INV0000197,CUS0006035,PRD-WL03,49141.0797,13.6849,13.6159,669100.03,2026-05-01
INV0000198,CUS0003997,PRD-WL04,16434.5608,28.4715,29.4827,484535.23,2026-05-01
INV0000199,CUS0000590,PRD-WL02,23995.4938,23.0718,27.0908,650057.12,2026-05-01
INV0000200,CUS0009250,PRD-WL01,671.2449,10.7712,12.7297,8544.75,2026-05-01
INV0000201,CUS0008341,PRD-WL01,20263.0276,32.7768,31.4836,637953.06,2026-05-01
INV0000202,CUS0006200,PRD-WL04,16744.6886,29.7642,34.8098,582879.26,2026-05-01
INV0000203,CUS0003799,PRD-WL04,29037.8834,17.2487,21.8271,633812.78,2026-05-01
INV0000204,CUS0009243,PRD-WL01,5364.9784,14.9147,13.2157,70901.95,2026-05-01
INV0000205,CUS0005327,PRD-WL04,12189.2208,11.3716,11.237,136970.27,2026-05-01
INV0000206,CUS0008381,PRD-WL01,28914.8247,9.0799,10.4162,301182.6,2026-05-01
INV0000207,CUS0007142,PRD-WL01,21280.6632,14.1026,16.7728,356936.31,2026-05-01
INV0000208,CUS0000086,PRD-WL01,41966.3969,19.8983,23.4033,982152.18,2026-05-01
INV0000209,CUS0009122,PRD-WL03,26818.5325,12.4771,12.3263,330573.28,2026-05-01
INV0000210,CUS0006075,PRD-WL04,8527.1489,23.7484,28.0474,239164.36,2026-05-01
INV0000211,CUS0000743,PRD-WL03,49551.5057,19.0029,18.0824,896010.15,2026-05-01
INV0000212,CUS0002138,PRD-WL03,49455.0453,21.0054,26.2564,1298511.45,2026-05-01
INV0000213,CUS0009652,PRD-WL01,17723.3554,7.01,8.9154,158010.8,2026-05-01
INV0000214,CUS0006288,PRD-WL02,37976.8947,14.7129,14.2109,539685.85,2026-05-01
INV0000215,CUS0003359,PRD-WL01,39122.6313,26.2435,22.6587,886467.97,2026-05-01
INV0000216,CUS0000414,PRD-WL02,17886.1145,25.9509,22.1932,396950.12,2026-05-01
INV0000217,CUS0006090,PRD-WL01,40725.1799,29.8497,30.4835,1241446.02,2026-05-01
INV0000218,CUS0000595,PRD-WL03,640.6817,12.5962,14.1852,9088.2,2026-05-01
INV0000219,CUS0004641,PRD-WL03,26361.9896,28.2361,27.3834,721880.91,2026-05-01
INV0000220,CUS0006807,PRD-WL01,21738.6609,27.6057,27.4152,595969.74,2026-05-01
INV0000221,CUS0006599,PRD-WL03,5317.7176,24.8947,21.0505,111940.61,2026-05-01
INV0000222,CUS0006401,PRD-WL03,31643.3855,12.3776,11.9904,379416.85,2026-05-01
INV0000223,CUS0001207,PRD-WL02,1912.638,15.0958,18.3424,35082.37,2026-05-01
INV0000224,CUS0007621,PRD-WL02,30008.691,9.3175,9.5394,286264.91,2026-05-01
INV0000225,CUS0004033,PRD-WL01,15410.6787,18.3356,16.6802,257053.2,2026-05-01
INV0000226,CUS0007906,PRD-WL01,26795.4119,20.2964,22.0644,591224.69,2026-05-01
INV0000227,CUS0007937,PRD-WL01,35614.1356,18.9275,24.3389,866808.88,2026-05-01
INV0000228,CUS0004128,PRD-WL01,26071.1835,36.5683,34.7217,905235.81,2026-05-01
INV0000229,CUS0002457,PRD-WL04,10389.3102,16.691,17.4963,181774.49,2026-05-01
INV0000230,CUS0003324,PRD-WL01,24524.5706,19.3385,16.7085,409768.79,2026-05-01
INV0000231,CUS0002345,PRD-WL04,18427.1848,15.0141,20.7567,382487.55,2026-05-01
INV0000232,CUS0008315,PRD-WL04,19490.5429,14.4573,13.0095,253562.22,2026-05-01
INV0000233,CUS0006750,PRD-WL03,49387.8231,20.8015,29.3768,1450856.2,2026-05-01
INV0000234,CUS0002380,PRD-WL01,3730.9621,16.7188,15.7314,58693.26,2026-05-01
INV0000235,CUS0003355,PRD-WL04,35990.5124,31.6333,30.4197,1094820.59,2026-05-01
INV0000236,CUS0003390,PRD-WL04,31341.99,30.3037,31.3287,981903.8,2026-05-01
INV0000237,CUS0009388,PRD-WL03,46410.3411,33.9085,29.9083,1388054.4,2026-05-01
INV0000238,CUS0004866,PRD-WL03,35164.9036,29.1122,29.1456,1024902.21,2026-05-01
INV0000239,CUS0005654,PRD-WL02,38914.9809,17.8353,19.5482,760717.83,2026-05-01
INV0000240,CUS0000456,PRD-WL04,32104.8088,23.2008,22.1633,711548.51,2026-05-01
INV0000241,CUS0009745,PRD-WL04,48847.6623,9.6137,9.7646,476977.88,2026-05-01
INV0000242,CUS0003100,PRD-WL01,8545.5295,14.9964,13.255,113270.99,2026-05-01
INV0000243,CUS0009945,PRD-WL03,30309.0856,16.585,14.1355,428434.08,2026-05-01
INV0000244,CUS0000413,PRD-WL03,34188.4967,27.3371,25.5578,873782.76,2026-05-01
INV0000245,CUS0007252,PRD-WL03,25511.571,39.6721,34.0209,867926.61,2026-05-01
INV0000246,CUS0000545,PRD-WL04,6587.0988,10.5064,12.7008,83661.42,2026-05-01
INV0000247,CUS0006745,PRD-WL04,30907.0744,17.676,24.0446,743148.24,2026-05-01
INV0000248,CUS0004166,PRD-WL04,17733.3634,9.0232,11.5722,205214.03,2026-05-01
INV0000249,CUS0008840,PRD-WL01,37506.4545,11.3578,13.4233,503460.39,2026-05-01
INV0000250,CUS0002107,PRD-WL02,8461.877,8.212,10.3332,87438.27,2026-05-01
INV0000251,CUS0000568,PRD-WL02,38534.0828,19.1062,17.8649,688407.54,2026-05-01
INV0000252,CUS0009635,PRD-WL04,42793.7831,34.1314,28.8211,1233363.9,2026-05-01
INV0000253,CUS0005766,PRD-WL02,45714.9087,31.4865,28.805,1316817.95,2026-05-01
INV0000254,CUS0007377,PRD-WL02,44419.3043,24.6039,27.4718,1220278.24,2026-05-01
INV0000255,CUS0002842,PRD-WL02,31485.0146,6.6256,8.2391,259408.18,2026-05-01
INV0000256,CUS0000457,PRD-WL04,34275.0568,13.1934,17.5195,600481.86,2026-05-01
INV0000257,CUS0009137,PRD-WL04,17080.7782,17.4417,15.1937,259520.22,2026-05-01
INV0000258,CUS0003889,PRD-WL01,40103.1562,17.9759,16.0925,645360.04,2026-05-01
INV0000259,CUS0005456,PRD-WL02,14732.9507,15.3082,17.8648,263201.22,2026-05-01
INV0000260,CUS0006385,PRD-WL04,9100.0903,25.233,25.3982,231125.91,2026-05-01
INV0000261,CUS0001399,PRD-WL04,27623.9621,37.5024,34.1575,943565.49,2026-05-01
INV0000262,CUS0002936,PRD-WL02,436.8135,10.6938,11.4503,5001.65,2026-05-01
INV0000263,CUS0001234,PRD-WL02,2109.5995,32.6991,29.313,61838.69,2026-05-01
INV0000264,CUS0005771,PRD-WL04,4107.535,17.6144,14.7275,60493.72,2026-05-01
INV0000265,CUS0001994,PRD-WL04,49216.4773,22.7449,25.166,1238581.87,2026-05-01
INV0000266,CUS0005090,PRD-WL04,33723.9625,32.2369,29.7995,1004957.22,2026-05-01
INV0000267,CUS0007252,PRD-WL03,17269.6944,10.7877,12.4848,215608.68,2026-05-01
INV0000268,CUS0006987,PRD-WL03,5562.5735,20.8479,28.9456,161012.03,2026-05-01
INV0000269,CUS0004173,PRD-WL02,47351.9756,11.1409,10.3687,490978.43,2026-05-01
INV0000270,CUS0004311,PRD-WL03,15704.2487,23.2564,31.0281,487273.0,2026-05-01
INV0000271,CUS0007578,PRD-WL03,17612.1975,28.3814,28.7468,506294.32,2026-05-01
INV0000272,CUS0001225,PRD-WL01,27087.7874,26.3991,23.8327,645575.11,2026-05-01
INV0000273,CUS0005605,PRD-WL02,12565.3995,24.4344,29.783,374235.29,2026-05-01
INV0000274,CUS0007663,PRD-WL03,4246.3212,11.8171,10.8127,45914.2,2026-05-01
INV0000275,CUS0002425,PRD-WL02,40194.1449,22.8686,19.1822,771012.13,2026-05-01
INV0000276,CUS0004176,PRD-WL04,2234.8135,15.8601,22.5574,50411.58,2026-05-01
INV0000277,CUS0000337,PRD-WL03,44784.0442,18.9729,26.7027,1195854.9,2026-05-01
INV0000278,CUS0006432,PRD-WL04,18058.1494,7.9861,9.0887,164125.1,2026-05-01
INV0000279,CUS0009164,PRD-WL02,25854.1753,23.6835,31.6059,817144.48,2026-05-01
INV0000280,CUS0005069,PRD-WL02,48495.9826,28.0732,28.7944,1396412.72,2026-05-01
INV0000281,CUS0004246,PRD-WL04,24869.958,26.7666,22.3953,556970.17,2026-05-01
INV0000282,CUS0002839,PRD-WL01,21774.3663,13.9917,11.8231,257440.51,2026-05-01
INV0000283,CUS0000812,PRD-WL01,27943.3685,26.1047,22.551,630150.9,2026-05-01
INV0000284,CUS0003397,PRD-WL02,20609.2292,19.6513,25.2719,520834.38,2026-05-01
